            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
HE8         ;     0.159396;     0.043533;     0.256716;     0.059847;     0.818669;     0.071294;     0.454950;     3.089545;     0.662342;     0.215009;     0.166968;     0.660775;     1.154493;     0.595748;     0.020952;     0.054290;     0.189348;     0.100351;     0.003181;     0.113266;     0.892744;     0.027779;     0.400288;     0.044836;     0.503236;     0.224025;     3.031295;     0.012235;     0.275607;     0.290310;     0.824541;     1.793691;     0.032089;     0.094482;     0.166668;     0.702778;     0.017558;     0.040203;     0.002391;     0.008543;     0.032319;     0.096414;     0.412295
HE5         ;     3.149774;     0.512691;     7.942204;     0.402229;     5.871029;     2.296883;     9.667977;   120.005272;    24.058458;     1.188191;     3.627189;     1.416085;    25.133945;    16.362707;     0.244347;     0.843017;     3.106751;     2.693363;     0.045216;     2.069855;     7.824960;     0.575131;     2.951960;     0.501557;    18.698847;     1.896237;    81.493843;     0.228325;     3.285807;     2.440930;     8.667253;    21.274811;     0.596497;     1.902990;     1.293945;     7.251020;     0.304185;    -0.492866;     0.014441;     0.153096;     0.608719;     1.336658;     6.041533
HE1         ;     0.080318;     0.034653;     0.250733;     0.082035;     0.844018;     0.045365;     0.242191;     2.531477;     0.706693;     0.215504;     0.182296;     5.006199;     0.832260;     0.569414;     0.026375;     0.035387;     0.136155;     0.116261;     0.006208;     0.090788;     0.568274;     0.022206;     0.320706;     0.073975;     0.402585;     0.388032;     1.881375;     0.012211;     0.388858;     0.194464;     2.168597;     2.122561;     0.019705;     0.070525;     0.509127;     1.091869;     0.018425;     0.097616;     0.002575;     0.010086;     0.030611;     0.100280;     0.749008
HE2         ;     0.239843;     0.076922;     0.698941;     0.169370;     2.565563;     0.142901;     0.814117;     6.996009;     2.095629;     0.552157;     0.515285;     3.262683;     2.763123;     1.593565;     0.058371;     0.081179;     0.324360;     0.246557;     0.020056;     0.271121;     2.056242;     0.072175;     0.889126;     0.180046;     1.140823;     1.052919;     5.812296;     0.031970;     0.970520;     0.464890;     2.951772;     6.841004;     0.049360;     0.190149;     0.802522;     2.717998;     0.047261;     0.157531;     0.006440;     0.026631;     0.084754;     0.211344;     1.409470
HE3         ;     0.259685;     0.060814;     0.507298;     0.073735;     1.963019;     0.132725;     0.769084;     6.138996;     1.382813;     2.702727;     0.335175;     1.766462;     1.902510;     1.381902;     0.040195;     0.082643;     0.299965;     0.257727;     0.009792;     0.363206;     1.343147;     0.048820;     0.965277;     0.079659;     1.137448;     0.344132;     5.458213;     0.021446;     0.400772;     0.320835;     5.363529;     2.366473;     0.060126;     0.193277;     0.325599;     1.312933;     0.032985;     0.089866;     0.004042;     0.017746;     0.061598;     0.207229;     0.820370
HE4         ;     0.279479;     0.068798;     0.405255;     0.065510;     1.719876;     0.165038;     0.723071;     5.727139;     1.274049;     0.554918;     0.331618;     0.302844;     1.358111;     1.099363;     0.043527;     0.101636;     0.331639;     0.184418;     0.005397;     0.390777;     2.190389;     0.029510;     1.979698;     0.078691;     1.041355;     0.273759;     6.169829;     0.022589;     0.436819;     0.306161;     1.191147;     2.011084;     0.066273;     0.200438;     0.235331;     1.098947;     0.026636;     0.033020;     0.001916;     0.018318;     0.109297;     0.186267;     0.619065
HE7         ;     0.342524;     0.044355;     1.761474;     0.035950;     0.241602;     0.187273;     0.668423;    19.228127;    22.655718;     0.020030;     0.727727;     0.057045;     5.352448;     5.506548;     0.013894;     0.066992;     0.301912;     0.833437;     0.003760;     0.241126;     0.188944;     0.094585;     0.050921;     0.035947;     5.107831;     0.311429;     3.461783;     0.066954;     0.277512;     0.221108;     0.490255;     2.789654;     0.053431;     0.171391;     0.115492;     0.399126;     0.070474;    -0.202841;     0.001303;     0.028976;     0.090000;     0.028888;     0.974468
HE6         ;     0.042959;     0.005701;     0.225815;     0.003323;     0.031185;     0.036383;     0.082820;     3.158314;     1.895368;     0.002969;     0.113291;     0.007642;     0.674005;     0.477558;     0.000859;     0.010313;     0.034030;     0.060917;     0.000620;     0.042910;     0.026119;     0.013682;     0.007084;     0.002900;     0.619172;     0.020637;     0.491993;     0.008255;     0.029486;     0.021365;     0.053235;     0.349725;     0.008181;     0.021943;     0.010460;     0.045195;     0.006033;    -0.043931;     0.000144;     0.002967;     0.008701;    -0.007573;     0.100245
HE9         ;     0.272863;     0.026970;     1.674908;     0.015934;     0.201667;     0.200882;     0.520699;    36.375587;    12.226567;     0.017281;     0.897244;     0.046618;     4.770427;     3.720474;     0.008722;     0.070877;     0.222698;     0.548868;     0.002453;     0.153371;     0.162186;     0.092511;     0.055686;     0.010995;     5.541525;     0.098236;     2.225507;     0.055654;     0.102539;     0.109734;     0.394047;     0.736974;     0.060316;     0.119208;     0.089329;     0.263652;     0.029729;    -0.150072;     0.000659;     0.016492;     0.045818;    -0.413159;     0.701328
