	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU	
EEZ100	1.918787093829787e-08	3.238405413017225e-11	3.1059770606298345e-05	1.3244486931186557e-10	1.2731436205909253e-07	0.0014261204419545332	1.1837297672385484e-07	3.3454658662253193e-06	3.1918460473386074e-05	3.075204623952157e-11	7.989079625336631e-05	0.004165137353562782	0.00042766156274046514	1.7716225324460273e-06	0.0049996597105520565	5.38097224327729e-06	0.013260496994371063	0.04992456580688085	1.6900485093363918e-10	1.8518171577214644e-08	1.1767399464154461e-06	4.479940527739421e-06	0.04830006738429735	0.001653574050065206	4.205965152550013e-05	8.145572486671152e-12	3.328350783099475e-10	9.617208191702077e-06	6.763433797304627e-05	4.003962090188604e-06	8.927214456299637e-08	4.902328789882115e-09	1.8031937437527582e-08	3.061826943714139e-09	0.002212634245003495	0.00014751915532625865	0.0002682866837122285	0.0019636285004955597	1.8238045102450848e-06	1.6634989016140643e-06	6.907315550717063e-07	6.253573369694619e-05	1.954701577340987e-06	2.7439398395537252e-06	1.0765009819600206e-11	1.223677767876192e-10	1.7031532307279303e-08	1.302656720721234e-06	2.5513813715620806e-10	nan	nan	nan	nan	nan	1.259680264497748e-10	4.1492118007642444e-05	nan	nan	nan	0.030547259598046096	0.04096641588746131	0.03889587569577244	
EEZ108	3.6906860718913524e-07	1.1714082454576802e-09	0.0015222883713777583	4.140666958708316e-09	4.892676985316827e-06	0.10127343153586639	1.2624972477683098e-06	6.404924135589206e-05	0.002508902220194234	1.722511059988212e-10	0.002681406491867499	0.13975329494009064	0.007157742901041983	3.3812963322888175e-05	0.6071527718165409	0.00012189999105139319	1.6817317938405418	2.277842334304503	6.499266897199803e-09	2.2733643657795958e-07	5.264355533332392e-05	0.00010332639128471194	9.348646831845	0.02158457761006412	0.0029677528044686208	1.2338670606204206e-10	1.7733723661706102e-08	0.00014688679874213771	0.005337574628263468	6.222812320798903e-05	2.261669837152609e-06	1.4966750071702705e-07	2.4631742571028506e-07	7.118872304818926e-07	0.10059020682518276	0.001729482489785865	0.004517205454653398	0.33110645298305025	2.512687850436323e-05	2.8534056739836514e-05	2.195846508081245e-05	0.001313514494991324	0.00010929883365368041	7.25516476087641e-05	1.5823041577923184e-10	4.736850159248187e-09	3.1707604323495706e-07	3.7495945684718345e-05	8.776973953548197e-09	nan	nan	nan	nan	nan	2.7358474063877867e-09	0.005111575817947069	nan	nan	nan	2.4275347935358815	3.2582670692438014	4.027734691441352	
EEZ109	4.7653550670063717e-08	5.024090170158499e-11	7.89770699635209e-05	1.932026941993935e-10	2.0846308261246084e-07	0.009231033072826871	1.2225210722328055e-07	4.050248112569064e-06	0.00011779689923525567	4.863672004942029e-12	0.00018260190186029004	0.009227769977029544	0.0003014769189822496	1.0687853869481045e-06	0.02784790766198207	2.3773095797678127e-06	0.22677571494223955	0.10494238785691594	5.412152200272374e-10	4.1892324251209755e-08	1.5585881929521787e-06	3.7594272973125795e-06	0.04818218075297965	0.00010057774800814109	7.45505700592768e-05	2.359715021777964e-12	1.82445426023947e-09	7.739239802155062e-06	0.0003534530170789852	2.8328840599923574e-06	9.562696776522744e-08	1.1250640890313087e-08	3.8228434620769294e-08	1.736412808540935e-08	0.0074187805334016465	3.725032704754764e-05	0.0003769477433423432	0.008777394132770368	1.1787904563142716e-06	1.4957008819671713e-06	9.119740607406515e-07	3.972905909094421e-05	3.0583056575752142e-06	3.369940656664884e-06	3.962017197956067e-12	2.3485264414924103e-10	2.997110808940689e-08	2.2002828031920625e-06	5.420394636148203e-10	nan	nan	nan	nan	nan	1.0643934152465186e-10	0.00012978673813873935	nan	nan	nan	0.11512572706351559	0.15488159792694625	0.1935206450423662	
EEZ110	1.4846308003322492e-08	1.673141742962422e-11	2.4478443933616357e-05	6.620333808493651e-11	7.19475990796341e-08	0.002405243986190998	3.954248182070726e-08	1.0373708021795688e-06	4.6394682207417954e-05	1.4660995425899074e-12	5.7375963305596985e-05	0.002582190518924968	9.47204243479505e-05	2.4858627718945446e-07	0.011198842310453844	6.477668249351878e-07	0.13968992099595692	0.02828624375854359	1.4179886916038316e-10	1.2453960815135672e-08	5.767551934075902e-07	1.3046313061071302e-06	0.017068493187296228	3.688977166942338e-05	2.865507105775129e-05	7.219163422608171e-13	5.095130258723252e-10	2.009688906881826e-06	0.00011695332479211898	6.921894722215904e-07	3.358760810810762e-08	3.552060713012488e-09	1.1943075739421061e-08	6.3701705982102276e-09	0.0019054377922599717	1.2084068837772425e-05	0.0001053032219331555	0.0035709999807058816	3.736349252048324e-07	5.084746480298299e-07	2.4150836752543005e-07	1.1872083605480377e-05	1.089123018318883e-06	1.1549064505254152e-06	1.3509155727139458e-12	8.078216858931185e-11	7.73718119011898e-09	6.654589003414707e-07	1.9351534927806117e-10	nan	nan	nan	nan	nan	3.322612761591372e-11	4.54320323512725e-05	nan	nan	nan	0.05246497613944543	0.07071634922469285	0.09820739918445176	
EEZ119	4.8005376046689235e-09	7.931616520722562e-12	3.745473731037627e-06	3.519177978392831e-11	2.3285159308685578e-08	0.00021444187209845473	2.1818887189972604e-08	5.292589318138978e-07	4.592327190561945e-06	9.719576519093632e-12	7.156774799795875e-06	0.0004349577783563767	7.002411729533957e-05	4.150244519607417e-07	0.0003778257687593217	1.4567859741234046e-06	0.0013721169613042652	0.0038938268714852984	4.488985851882388e-11	4.395049893627717e-09	1.5758085295263475e-07	5.423546445519435e-07	0.003681766214686515	0.0007709192838491532	5.248676984322202e-06	2.839282620626357e-12	7.213351791401871e-11	1.72674672387221e-06	7.521463290759799e-06	7.228250420201908e-07	2.256234575359948e-08	1.2255138736240269e-09	4.97453010635319e-09	3.0888376676596086e-10	0.0003246687965795166	2.8117999968980794e-05	2.7667729610541696e-05	0.00016541074192181929	2.041246283719248e-07	2.1628375724199612e-07	1.8773079712054892e-07	1.2764017547013264e-05	2.82728326846186e-07	3.3211839535449455e-07	3.7902513851080335e-12	2.7397510816906962e-11	3.973985158429543e-09	2.623132258820196e-07	6.519016288290292e-11	nan	nan	nan	nan	nan	3.7948241016319525e-11	3.420154000661704e-06	nan	nan	nan	0.002991377761448307	0.0040294196787170515	0.004079963546470136	
EEZ123	2.7846432103780157e-07	8.89741353384703e-10	0.00015338833963830475	4.128304040578359e-09	9.18587490184392e-07	0.003168038291110804	1.3709945570227254e-06	3.2133181880184835e-05	0.00016747212614494583	1.8007072288052567e-10	0.00030509443959211846	0.01094190115841597	0.0016960378415189087	1.6655173033370366e-05	0.009007416498410473	6.461271434567319e-05	0.023045542637764743	0.057377796373181	2.503444591105785e-09	2.3804513720894548e-07	6.404764260355402e-06	2.2076166559380146e-05	0.0405312939102738	0.01692899880379597	0.00012014713262404498	7.323257064557889e-11	1.9625978714273704e-08	6.33746035949157e-05	0.0001562106989911104	2.9627529873661227e-05	6.673721016156846e-07	6.68038827843858e-08	3.099525158283668e-07	4.652736661542823e-08	0.005246292777322122	0.001413733913344372	0.0010301589917338261	0.003190811661125864	8.351129418780646e-06	9.094906069947172e-06	1.2745825026434432e-05	0.00048178955575045606	1.2431281596537575e-05	1.7919774147633543e-05	8.776299782176926e-11	2.6884746840206008e-09	1.1757594260826338e-07	8.927036516750684e-06	4.21472794977737e-09	nan	nan	nan	nan	nan	1.782464219279484e-09	9.181116549193929e-05	nan	nan	nan	0.059664589411455936	0.08055256902389964	0.08349997333037955	
EEZ185	3.370910982193335e-07	9.291929313772281e-10	0.0006184419927709018	4.952780356472262e-09	5.412635022020998e-06	0.017583065301728443	2.60261218186409e-06	0.00010709823842590556	0.00040360309127580077	1.0680357409298906e-10	0.0021440563801746588	0.09608576438977096	0.051522271274876456	2.6476300173988976e-05	0.015568999730946489	8.100353277186289e-05	0.09783775940969204	0.10606964277711235	5.169106791902659e-09	1.8240245166937723e-07	4.126772868572239e-05	0.0001333284139619723	0.03705815018437853	0.0001690807419389509	0.00036643435115314655	4.0764320147800156e-11	1.6484501419223437e-08	0.00019841327710783607	0.0009759668065921802	6.693553249570982e-05	1.9754716746018346e-06	1.6647581903354766e-07	4.0819488607193644e-07	4.1473803104069086e-08	0.03417465253376206	0.0032030884046437276	0.007118146651958343	0.004044841237003293	3.4741431389111666e-05	5.24731687023791e-05	1.7861516649218484e-05	0.011325049732641883	5.0630131841745476e-05	9.444323975610716e-05	4.6215476127674684e-11	3.0192572651442197e-09	1.5190523388692196e-07	3.429950711400317e-05	5.40118722495801e-09	nan	nan	nan	nan	nan	1.3841872441768351e-09	0.00012246354523053881	nan	nan	nan	0.3620617406305606	0.4889169884316242	0.6968313209689551	
EEZ187	4.331680038243329e-09	1.5564908371935502e-11	4.953104859457457e-06	8.377527303262876e-11	5.740827137751347e-08	0.00014890707364099268	4.017436869049031e-08	1.581831999740794e-06	3.43394305470853e-06	1.2600862070089515e-12	1.844415675598237e-05	0.0007352575413706867	0.0002581533533543338	4.340458886367791e-07	0.00015290515306623392	1.1521097244856276e-06	0.0008509721048349395	0.0007575037533213881	1.4482659965516607e-10	2.117217609058174e-09	4.05470915071558e-07	1.4204857944611539e-06	0.00025460898774829784	9.997500409456712e-07	2.480210990029889e-06	1.0114751465669754e-12	2.4745577684703407e-10	2.866307867082343e-06	8.780038216051467e-06	1.082933601370793e-06	3.1040479025877494e-08	2.0025679564091747e-09	5.001538275915141e-09	3.8772946929772193e-10	0.0002573413093314046	6.1758353712339e-05	7.763846402492867e-05	3.7960701211647384e-05	5.013971601997969e-07	6.140844165372708e-07	2.6851250928295915e-07	7.264589683491798e-05	4.771450009978597e-07	9.731038632448175e-07	1.0566696681087476e-12	4.6462466306356624e-11	1.9075013788394046e-09	4.5502634715337104e-07	8.785578381136692e-11	nan	nan	nan	nan	nan	2.3485634842368997e-11	1.3773048206791966e-06	nan	nan	nan	0.002707431550549776	0.0036533614703933917	0.0049744372222342344	
EEZ188	4.159457566226151e-08	2.7770258204730286e-11	8.712538393094796e-05	1.5795825366656676e-10	2.0305987007324286e-07	0.08417646502694114	1.564590891319642e-07	5.28399010968898e-06	0.00014515650750785762	2.47191627566477e-11	0.00016996327108628195	0.012873239582822204	0.00035820231958954185	8.776908952433189e-07	0.00958027101755832	2.0588902392764086e-06	0.16522689468106724	0.10792979221521522	2.0312410295825666e-10	3.2653768371528e-08	1.4276596404648193e-06	4.488690271815365e-06	0.027058664818341783	8.3845823197045e-05	6.131513829497068e-05	6.001618074759445e-13	1.3756670008565333e-09	1.070328445297098e-05	0.00041721378526212864	3.205886325123892e-06	1.4148390245677518e-07	1.0324519559594299e-08	4.019202568569458e-08	2.3303682914304125e-08	0.024145124927729886	5.1456950887171394e-05	0.00039261191654561264	0.0027814079513504794	1.566963501621702e-06	1.6987407294340485e-06	8.795794949629878e-07	4.201368898043016e-05	2.5620677118701682e-06	4.105930140257656e-06	1.0362656793883379e-12	1.9419851324314687e-10	1.8466593556898247e-08	1.925882992683465e-06	5.246470874576532e-10	nan	nan	nan	nan	nan	6.117183016766916e-11	5.484165329280049e-05	nan	nan	nan	0.1409266216334996	0.19031106328074832	0.248281849241454	
EEZ189	1.0009486163699143e-06	7.321139863306731e-10	0.002026132149558385	5.608586824857953e-09	6.7530560896987734e-06	0.3861261619899397	5.631157476135874e-06	0.00012714890399893422	0.0019267943571753515	4.4026986145445376e-10	0.004951368306928783	0.38853792357420347	0.01784934493922668	4.198998800726732e-05	0.11541250681379901	8.069556605032949e-05	1.236180235757668	1.5617651509307973	4.979971615448242e-09	8.206643870662436e-07	5.15748998211308e-05	0.00018256424020136614	0.3870381398315654	0.0016804030934029256	0.000935100094229723	1.0144955021588885e-11	3.247493251915238e-08	0.00030970501510506067	0.006569181150912109	0.00013241552639278468	3.999941293671355e-06	3.0007529995477376e-07	1.2119516847434136e-06	2.6428705205452583e-07	0.6565582079511972	0.001433494213111804	0.01051218979054705	0.03442672725230827	5.65371809047019e-05	7.05008518299578e-05	3.133476597254574e-05	0.0015612390366866102	7.57863967214318e-05	0.00013516957681088693	1.6124676444788777e-11	4.414295602990742e-09	3.7664344431530083e-07	5.9226184568651146e-05	1.087276425870423e-08	nan	nan	nan	nan	nan	1.201539249159527e-09	0.0007121008932377163	nan	nan	nan	1.8016058791926168	2.4314536663042805	3.062798000051485	
