	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU	
EEZ100	5.9163257139274735e-09	8.582324653798162e-12	5.462893511328101e-06	1.9560637410759185e-11	7.210373054088033e-08	0.001969692595818974	4.1041718579793014e-08	2.1367200002124366e-06	1.734153425681523e-05	3.0822294490113883e-12	4.4009863986630054e-05	0.0025794317175244987	0.0005220158310077612	4.2303561233542237e-07	0.004655460042566244	3.913337742846384e-06	0.015287513057920107	0.09581431549096765	3.9747755044053024e-11	5.17736067381782e-09	1.159197953681835e-06	6.07545326230018e-06	0.07156390211641962	0.002527021494610962	1.836417777662224e-05	7.459414229101373e-13	7.912702924627986e-11	2.2469660966952642e-06	5.710161880978869e-05	6.897351743691765e-07	4.651625788335207e-08	2.947937429833792e-09	1.6634654190361366e-09	2.157513769173669e-09	0.0023236610986300654	0.00023292301556008862	0.00020783296210498634	0.001954123683082273	1.5854608523186402e-06	1.4392574272626056e-06	3.6775931977150135e-07	6.0296808202031714e-05	1.1073256796985958e-06	4.180097898802806e-06	5.833237598186171e-13	9.9446494023432e-12	1.1608438874492832e-09	1.127287775150447e-06	1.8630823109439767e-11	nan	nan	nan	nan	nan	1.0971731165511097e-11	2.4816290991543183e-05	nan	nan	nan	0.03540129806256651	0.0479345164709174	0.04119937737501538	
EEZ108	1.1379741389433054e-07	3.104430910423637e-10	0.0002677450317254896	6.115305593853471e-10	2.770938464971528e-06	0.13987425071615053	4.3772707407321866e-07	4.090769431701945e-05	0.0013631050230250195	1.7264458676965384e-11	0.0014771205261955688	0.08654794572108755	0.008736943962613902	8.074004130227416e-06	0.5653535705559327	8.86523502198023e-05	1.9388034075321678	4.371593433620881	1.5285435132110836e-09	6.355933800250717e-08	5.185878307506781e-05	0.00014012566843809714	13.851443342139852	0.032985938289597415	0.001295786772396063	1.1299298513237857e-11	4.215952470966836e-09	3.431865571033988e-05	0.004506352260198999	1.0719613334177983e-05	1.1784685794990664e-06	9.000017059321098e-08	2.272304466420346e-08	5.016307355374131e-07	0.10563768098168452	0.0027307387707607646	0.0034993320469249435	0.32950375350136585	2.1843175617698864e-05	2.4687634631375405e-05	1.1691126780081044e-05	0.0012664876046532736	6.191707556222658e-05	0.00011052464975813785	8.574034078626829e-12	3.8495685172832886e-10	2.1611431080020227e-08	3.24480889828638e-05	6.409165285415577e-10	nan	nan	nan	nan	nan	2.3829048607597074e-10	0.003057215659613838	nan	nan	nan	2.813276343410898	3.812475490322749	4.266266244191265	
EEZ109	1.4693340813884676e-08	1.3314692705532153e-11	1.389074402757936e-05	2.853389389601332e-11	1.1806182502358673e-07	0.012749482414253784	4.238667235807913e-08	2.5868583013562633e-06	6.399992146043784e-05	4.874782304632034e-13	0.00010059087205846586	0.005714674100821714	0.00036799127652181594	2.552091499979367e-07	0.02593072906858229	1.7289097368154272e-06	0.2614409327848186	0.20140351540347723	1.272868197150314e-10	1.1712369723364508e-08	1.5353538812091776e-06	5.09833215338759e-06	0.07138923512729657	0.00015370471681393094	3.2550434258520905e-05	2.160939803663603e-13	4.337392751434451e-10	1.8081972546503948e-06	0.0002984096548184917	4.880015687147653e-07	4.982751019307442e-08	6.765393920257656e-09	3.5266137782392836e-09	1.2235618185697038e-08	0.00779104443658838	5.881580929151312e-05	0.00029200914847365766	0.008734907721223897	1.0247403770933517e-06	1.2940787644919723e-06	4.85553262717842e-07	3.830666587623051e-05	1.7325101848064715e-06	5.13374296876206e-06	2.1468988947597517e-13	1.908612927838836e-11	2.0427861097853003e-09	1.9040717838072395e-06	3.958107352159763e-11	nan	nan	nan	nan	nan	9.270795721389903e-12	7.762499518344486e-05	nan	nan	nan	0.13341950250443685	0.18122587358547873	0.20498137507734313	
EEZ110	4.577662320087289e-09	4.434109939479911e-12	4.305348362915627e-06	9.777498353764707e-12	4.074709414711106e-08	0.003322013436849371	1.3709982259025166e-08	6.625597239031032e-07	2.5206571961853875e-05	1.4694486182012977e-13	3.1606999299056307e-05	0.001599127125905888	0.00011561843601878748	5.9358495426128614e-08	0.010427862278163197	4.7109151468856743e-07	0.16104309606133319	0.05428644275083457	3.334926001102606e-11	3.481912168741765e-09	5.681573418239434e-07	1.7692704793085914e-06	0.025289570840796697	5.6375610113286046e-05	1.2511440300147141e-05	6.611043047610118e-14	1.2112981691796358e-10	4.6954404528377247e-07	9.874014252166407e-05	1.1923874791151633e-07	1.7501202061290107e-08	2.135975202345296e-09	1.1017614473367642e-09	4.488735330335832e-09	0.0020010499628360665	1.907994760209039e-05	8.15749787903802e-05	0.0035537147850637865	3.248064930443997e-07	4.3993170842589303e-07	1.285838938559244e-07	1.1447035251672315e-05	6.169810780916768e-07	1.7593760466484062e-06	7.320208381401043e-14	6.5650481333495004e-12	5.273547516801183e-10	5.758721167957902e-07	1.4130973446567252e-11	nan	nan	nan	nan	nan	2.8939735752557806e-12	2.7172740011939517e-05	nan	nan	nan	0.060801796383618927	0.0827447052235706	0.1040234633529223	
EEZ119	1.4801821506152998e-09	2.1020131616827917e-12	6.587661062115561e-07	5.197435338712939e-12	1.3187411264847391e-08	0.0002961773460921696	7.56494136211619e-09	3.380330842155004e-07	2.495045127882561e-06	9.741779374853095e-13	3.94249025285796e-06	0.00026936539999496996	8.54734232982611e-05	9.910131529371606e-08	0.0003518144976544163	1.0594545517139139e-06	0.0015818604666051966	0.007472961462997432	1.0557514121704196e-11	1.2287799788362223e-09	1.5523175093916791e-07	7.355120618597682e-07	0.005455097089347456	0.0011781326641042038	2.291688916483772e-06	2.600110086233591e-13	1.7148766321752878e-11	4.034373873145603e-07	6.35014317567424e-06	1.245161280667169e-07	1.1756364750341339e-08	7.369432720002737e-10	4.589056964367603e-10	2.1765468529824517e-10	0.00034096021710523105	4.439646722358703e-05	2.1433289644172616e-05	0.00016461008186836903	1.7744862755838213e-07	1.871284698203094e-07	9.995163785741281e-08	1.230703587247125e-05	1.6016375099102188e-07	5.059467363544214e-07	2.0538241261920658e-13	2.2265554439541942e-12	2.708609123798818e-10	2.2699955260151632e-07	4.760348283029618e-12	nan	nan	nan	nan	nan	3.305266505870734e-12	2.045582172996764e-06	nan	nan	nan	0.0034667154155306975	0.004714795760710387	0.0043215882100733636	
EEZ123	8.586078300532114e-08	2.3579657821602895e-10	2.6978440244937495e-05	6.097046935731384e-10	5.20236553042907e-07	0.004375550186153834	4.7534474794039216e-07	2.0523184255747097e-05	9.098883747935868e-05	1.8048206634582632e-11	0.00016806898190053373	0.006776219966406154	0.002070231885203113	3.976993515089477e-06	0.008387304341253189	4.698990485085188e-05	0.026568312948695248	0.1101184195600707	5.887777884713145e-10	6.655330559176816e-08	6.309286641483118e-06	2.9938504163569017e-05	0.06005328164386089	0.025871199331985603	5.2458905930822165e-05	6.7063681576854716e-12	4.66581046564162e-09	1.4806852761297556e-05	0.0001318839520741046	5.1037320092546455e-06	3.4774176127250257e-07	4.0171452172846974e-08	2.8593449451011065e-08	3.2785469577979456e-08	0.005509544320854547	0.0022321925960561797	0.0007980306429251545	0.0031753667425827013	7.259763144430416e-06	7.868902767970755e-06	6.786132625954081e-06	0.0004645403630763819	7.0422398503080045e-06	2.729885297839715e-05	4.755614971120279e-12	2.184883869064895e-10	8.013801214442427e-09	7.725242555139905e-06	3.0776994675099384e-10	nan	nan	nan	nan	nan	1.5525144576171207e-10	5.491193770106002e-05	nan	nan	nan	0.06914544680370295	0.09425399715850295	0.08844503049499236	
EEZ185	1.039375727898246e-07	2.4625191679332674e-10	0.0001087735898717773	7.314706959313314e-10	3.0654136016704143e-06	0.02428492890064062	9.023653852144893e-07	6.840271495292549e-05	0.00021928052699633622	1.0704755019066406e-11	0.0011811076381301822	0.059505040825978454	0.06288954537465402	6.322124296430001e-06	0.014497157875999275	5.891020577109672e-05	0.11279336100058841	0.2035669224720582	1.2157070606320814e-09	5.0996572536511336e-08	4.065253906889774e-05	0.00018081279038124087	0.05490729052839028	0.0002583922196817551	0.00015999337426649273	3.733045777294554e-12	3.91896681243003e-09	4.6357310552991814e-05	0.0008239791536548009	1.1530526547829374e-05	1.029341798686056e-06	1.001075854202413e-07	3.765641266006768e-08	2.922448031908784e-08	0.035889488211268666	0.00505746530791292	0.005514196541193309	0.004025262443247882	3.0201251894891238e-05	4.5399728075338514e-05	9.509829346542623e-06	0.01091958647062175	2.8681639082296732e-05	0.00014387414125115823	2.504278746454868e-12	2.4537060119551596e-10	1.0353634602437962e-08	2.9681967972263575e-05	3.944081621460958e-10	nan	nan	nan	nan	nan	1.2056178662045756e-10	7.324501905969922e-05	nan	nan	nan	0.419594286550469	0.5720783458154594	0.7380992469196627	
EEZ187	1.3356161336073042e-09	4.124965216449288e-12	8.71168198266439e-07	1.237267814368853e-11	3.251283251374813e-08	0.00020566366751868272	1.3929067085660904e-08	1.010302363250759e-06	1.8656865098125249e-06	1.2629646773048281e-13	1.0160429839809797e-05	0.0004553383146268537	0.0003151093037568228	1.0364333537100478e-07	0.0001423784560577077	8.378772951974919e-07	0.0009810527591923729	0.0014537873776825985	3.406134306296933e-11	5.919374459484915e-10	3.994264463106031e-07	1.9263860760144574e-06	0.000377241972194506	1.5278359276430812e-06	1.0829151905080968e-06	9.262715558704103e-14	5.882925739426473e-11	6.696846394135388e-07	7.412719786628923e-06	1.8654956754012128e-07	1.6173991722262205e-08	1.2042123830348657e-09	4.6139722882219706e-10	2.732132429762613e-10	0.00027025433187352946	9.75123667898609e-05	6.014399122727268e-05	3.777695487989167e-05	4.3587213678602547e-07	5.313051644398019e-07	1.429614399964524e-07	7.004500385886632e-05	2.702995273905043e-07	1.4824193138024924e-06	5.725777626001055e-14	3.775936360982e-12	1.300124543098452e-10	3.9376884973453264e-07	6.415448453041789e-12	nan	nan	nan	nan	nan	2.045583145216402e-12	8.237612070739457e-07	nan	nan	nan	0.003137649418186759	0.004274772683504078	0.005269034638791449	
EEZ188	1.2825136167627868e-08	7.35959033031451e-12	1.532389599979306e-05	2.3328681149082655e-11	1.1500174778892209e-07	0.116260699326731	5.424675532477996e-08	3.3748386023845724e-06	7.886459779744288e-05	2.4775629826391163e-12	9.362856291365123e-05	0.007972280303990442	0.0004372319091087436	2.0957878922314625e-07	0.008920720909278338	1.497337751891317e-06	0.19048368330603496	0.2071368873228726	4.7772161824502835e-11	9.129429194117768e-09	1.4063771174100083e-06	6.087319192408253e-06	0.04009153082652556	0.00012813468948906642	2.677155086185966e-05	5.496060017604502e-14	3.270461862452787e-10	2.5007171322195204e-06	0.0003522409362197248	5.522561187293679e-07	7.372178326441097e-08	6.20848559109211e-09	3.7077571437233328e-09	1.6420920477980622e-08	0.025356693110406225	8.124713123295589e-05	0.0003041436736417163	0.0027679447251227184	1.3621850778839742e-06	1.469748618083956e-06	4.6830574682369694e-07	4.050950067347685e-05	1.4513946289129905e-06	6.2549439694397835e-06	5.6152144995836914e-14	1.5782227800144158e-11	1.2586555258667774e-09	1.6666127917569954e-06	3.8311038836666816e-11	nan	nan	nan	nan	nan	5.328025646012393e-12	3.2800601461722974e-05	nan	nan	nan	0.16332022587444028	0.22268164299481638	0.2629856615717518	
EEZ189	3.0862924064856034e-07	1.9402264735044668e-10	0.0003563627147546051	8.283260336002987e-10	3.824553088465298e-06	0.5332998672126386	1.9524082844787635e-06	8.120890095529549e-05	0.001046841541077935	4.412755892461852e-11	0.002727586354810734	0.24061800571141803	0.021787416600376548	1.002654908892255e-05	0.10746697675244742	5.8686235503191506e-05	1.4251442841177182	2.9973111728787054	1.1712249133895996e-09	2.294435768824785e-07	5.080605831060424e-05	0.00024758375738314237	0.5734559195093802	0.0025680221194040232	0.00040828546472762643	9.290374858914284e-13	7.720475102149518e-09	7.235953044231689e-05	0.0055461602673086245	2.281031741272344e-05	2.084214529016805e-06	1.8044550792492886e-07	1.1180383273277815e-07	1.862296479533474e-07	0.6895033692294933	0.0022633928059544966	0.008143451296757772	0.03426008689412054	4.9148626687416334e-05	6.0997259767441816e-05	1.6683257243208346e-05	0.0015053430284965906	4.293249887055647e-05	0.00020591634549143329	8.73748101233242e-13	3.587433169292459e-10	2.5671456460461346e-08	5.125291473265432e-05	7.939563636875468e-10	nan	nan	nan	nan	nan	1.046532679611728e-10	0.0004259050593336796	nan	nan	nan	2.087885707582409	2.8450269151177547	3.2441838207869043	
