          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.172428;     0.044700;     1.694614;     0.010763;     0.205372;     0.219649;     6.264663;     0.239413;     0.002774;    15.088686;     0.032258;    15.945712;     4.783749;     0.038109;     0.049301;     2.002331;     0.045900;     0.814679;     0.001242;     0.128098;     0.000909;     0.008148;     2.239884;     0.062808;     0.284795;    46.244907;     0.129629;     0.243765;     0.093390;     0.161107;     0.032572;     0.025263;     0.111497;     0.105093;     1.502804
EEZ65       ;     0.070153;     0.012221;     1.968398;     0.288883;     0.111636;     0.266860;    12.208663;     3.397991;     0.041100;     3.727094;     0.076116;    11.395682;    20.376356;     0.013360;     0.048813;    10.010852;     1.208345;     0.181529;     0.188031;     0.097627;     0.094453;     0.011893;     4.639936;     1.546049;     1.963876;     0.950130;     0.057473;     0.069064;     0.582018;     1.083428;     0.014741;     0.040129;     0.072241;     0.335476;     0.133382
EEZ71       ;     0.171743;     0.049746;     3.460048;     0.839477;     0.215399;     1.131014;    24.155674;     7.577699;     0.137125;     3.112802;     0.293240;    19.498552;    34.148029;     0.043518;     0.127213;    15.641296;    21.839933;     0.591644;     0.613630;     0.215903;     0.356791;     0.031517;     7.045755;     3.836992;     4.239859;     0.317022;     0.204920;     0.317972;     3.470967;     2.845381;     0.041751;     0.130335;     0.305659;     0.884860;     0.335511
EEZ91       ;     0.186191;     0.026392;     0.662731;     0.020621;     0.198385;     0.347914;     2.751964;     0.061938;     0.001715;    23.660563;     0.009101;     5.892454;     2.126033;     0.028786;     0.068273;     1.119143;     0.006534;     0.936787;     0.022640;     0.062622;     0.005580;     0.002725;     1.042143;     0.015549;     1.033532;    18.906275;     0.044697;     0.119352;     0.066213;     0.047536;     0.020135;     0.069520;     0.023791;     0.044146;     2.546030
EEZ99       ;     0.005007;     0.001964;     0.053360;     0.000425;     0.004139;     0.009585;     0.141110;     0.021297;     0.000215;     1.122901;     0.001742;     0.762517;     0.105891;     0.001473;     0.005193;     0.088953;     0.000285;     0.022897;     0.000195;     0.004068;     0.000052;     0.001134;     0.067852;     0.003115;     0.016416;     0.104062;     0.011122;     0.009238;     0.009155;     0.010778;     0.000639;     0.002843;     0.006986;     0.007952;     0.037438
EEZ100      ;     0.005163;     0.000534;     0.087772;     0.007489;     0.005568;     0.009699;     0.401937;     0.086925;     0.001863;     0.138091;     0.002305;     0.499777;     1.065065;     0.001317;     0.003933;     0.635784;     0.027506;     0.015944;     0.005171;     0.005290;     0.002969;     0.000245;     0.168600;     0.040326;     0.051940;     0.028846;     0.003051;     0.003131;     0.016475;     0.032630;     0.001348;     0.002353;     0.000794;     0.008536;     0.006622
EEZ108      ;     0.371509;     0.109270;     4.675652;     0.087635;     0.743684;     0.704043;    16.835800;     1.007819;     0.024301;    21.304930;     0.118998;    42.674561;    49.077080;     0.142482;     0.178716;    93.505219;     0.265517;     4.402508;     0.125070;     0.350246;     0.033519;     0.007553;     6.811693;     0.291253;     2.655855;     3.502364;     0.114078;     0.240727;     0.171436;     0.383468;     0.103057;     0.122330;     0.016935;     0.139706;     1.331974
EEZ109      ;     0.017249;     0.002075;     0.283300;     0.000661;     0.060036;     0.034975;     0.560814;     0.041048;     0.000782;     0.750005;     0.003306;     4.869668;     1.763042;     0.003914;     0.007237;     0.544183;     0.000921;     0.092739;     0.000385;     0.015530;     0.000253;     0.000463;     0.249097;     0.005240;     0.057470;     0.077609;     0.008394;     0.009712;     0.004425;     0.015542;     0.003964;     0.002539;     0.001547;     0.003439;     0.038437
EEZ110      ;     0.007292;     0.001332;     0.059076;     0.000374;     0.019769;     0.018014;     0.167448;     0.010822;     0.000335;     0.301141;     0.001216;     3.123356;     0.427690;     0.001961;     0.004101;     0.211476;     0.000625;     0.043967;     0.000151;     0.003759;     0.000102;     0.000339;     0.058383;     0.002165;     0.026065;     0.022878;     0.005875;     0.006160;     0.003300;     0.003894;     0.001841;     0.001547;     0.001698;     0.002849;     0.013001
EEZ119      ;     0.000454;     0.000067;     0.005570;     0.000920;     0.000495;     0.002755;     0.044494;     0.012937;     0.000193;     0.016145;     0.000518;     0.042455;     0.050185;     0.000044;     0.000252;     0.033167;     0.014499;     0.000767;     0.000605;     0.000525;     0.000355;     0.000041;     0.009571;     0.007148;     0.009927;     0.001918;     0.000231;     0.000349;     0.003284;     0.006537;     0.000067;     0.000403;     0.000231;     0.001127;     0.000764
EEZ123      ;     0.009061;     0.001782;     0.436796;     0.014820;     0.017200;     0.031025;     0.955047;     0.325474;     0.006703;     0.214917;     0.020614;     1.785041;     2.204532;     0.002215;     0.007636;     0.325839;     0.272065;     0.016917;     0.015641;     0.022457;     0.010720;     0.000969;     0.454943;     0.215097;     0.137546;     0.026135;     0.007817;     0.012275;     0.157995;     0.067562;     0.002013;     0.009053;     0.010204;     0.026903;     0.017987
EEZ185      ;     0.183374;     0.021676;     1.085412;     0.112400;     0.106538;     0.392726;    10.392629;    10.197835;     0.009632;     0.439742;     0.032145;     3.306070;     3.213406;     0.033153;     0.194770;     0.519292;     0.003212;     0.098550;     0.072745;     0.058017;     0.022913;     0.019886;     2.977997;     0.282648;     1.786373;     0.041201;     0.172188;     0.116180;     0.260350;     2.387469;     0.024636;     0.113943;     0.082210;     0.225908;     0.057776
EEZ187      ;     0.001912;     0.000280;     0.009671;     0.001378;     0.000913;     0.005144;     0.077131;     0.064397;     0.000172;     0.005012;     0.000427;     0.025810;     0.025253;     0.000409;     0.002950;     0.003389;     0.000035;     0.001108;     0.000867;     0.000445;     0.000360;     0.000269;     0.025652;     0.003876;     0.020135;     0.000413;     0.002907;     0.001792;     0.004098;     0.022337;     0.000296;     0.001541;     0.001799;     0.003126;     0.000695
EEZ188      ;     0.011207;     0.000489;     2.156046;     0.004429;     0.020595;     0.004158;     0.747717;     0.049840;     0.000171;     0.200341;     0.000906;     3.185793;     2.203848;     0.000853;     0.000817;     0.234552;     0.000944;     0.033700;     0.002879;     0.019979;     0.000531;     0.000900;     0.937493;     0.009056;     0.017401;     0.019057;     0.005491;     0.002937;     0.006951;     0.012873;     0.000841;     0.000402;     0.004511;     0.011015;     0.015275
EEZ189      ;     0.359779;     0.013193;    13.612329;     0.154188;     0.342175;     0.501460;    19.415291;     2.479381;     0.023609;     4.148237;     0.070164;    30.482479;    43.049816;     0.040427;     0.086580;     4.893175;     0.032293;     0.451167;     0.127631;     0.209117;     0.030031;     0.010036;    27.804703;     0.230645;     1.375131;     0.329109;     0.086727;     0.052602;     0.401190;     0.492223;     0.054166;     0.056813;     0.133179;     0.310311;     0.322645
EEZ190      ;     0.401321;     0.040755;     5.840259;     0.103846;     0.313350;     0.653880;    44.653973;     3.218677;     0.026540;     2.255041;     0.094846;    14.859728;    20.151148;     0.091763;     0.187074;     2.665874;     0.031008;     0.315028;     0.160699;     0.259385;     0.046021;     0.007156;    27.072153;     0.226637;     1.638166;     0.163531;     0.070541;     0.107159;     0.281819;     0.513619;     0.060056;     0.088397;     0.071321;     0.194988;     0.165245
EEZ191      ;     0.847627;     0.150755;     6.194494;     0.496126;     0.548272;     1.621978;    44.569580;    35.352356;     0.047861;     2.935151;     0.147288;    19.621052;    29.361725;     0.234019;     0.776560;     3.956888;     0.028156;     1.000628;     0.393421;     0.323134;     0.130269;     0.071602;    16.832121;     0.649587;     6.479074;     0.231694;     0.712343;     0.681168;     0.978881;     2.828872;     0.152612;     0.346436;     0.363705;     0.872472;     0.264096
EEZ209      ;     0.479187;     0.114658;     6.056548;     0.045483;     0.702251;     0.763903;    13.656961;     0.973129;     0.020285;    72.911140;     0.096207;   122.812614;    24.062071;     0.127056;     0.287241;    13.165902;     0.038017;     2.862817;     0.024911;     0.357110;     0.007884;     0.048140;     6.448922;     0.174293;     2.003556;     6.303797;     0.524367;     0.545360;     0.528000;     0.448686;     0.093814;     0.145109;     0.279342;     0.456887;     3.103377
EEZ212      ;     0.153873;     0.053450;     1.851820;     0.973253;     0.187639;     0.580558;     8.039681;     2.556534;     0.290601;     1.654852;     1.438541;    10.554066;    14.011879;     0.047794;     0.118560;     5.116286;     4.298569;     0.511061;     0.450800;     0.094274;     0.204046;     0.054514;     2.258018;     3.203956;     2.130301;     0.140847;     0.314042;     0.449197;    14.742599;     2.041299;     0.039779;     0.081403;     0.705503;     1.522334;     0.153059
EEZ213      ;     1.481368;     0.177221;    18.091991;     0.905310;     1.748247;     2.474263;    66.617073;    12.096950;     0.120660;    29.964504;     0.586719;   119.103851;   272.572937;     0.311090;     0.618870;   108.647507;     1.035726;     4.982841;     0.549877;     1.059584;     0.193547;     0.082936;    28.776505;     3.411417;    11.425922;     3.150361;     0.715261;     0.630956;     1.531008;     2.938185;     0.316610;     0.338085;     0.372213;     1.513342;     2.037827
EEZ215      ;     0.249814;     0.043424;     1.297836;     1.702540;     0.216603;     1.098970;     6.865488;     2.380372;     0.476329;     1.882711;     3.549321;     6.324659;    13.727938;     0.045392;     0.218324;     4.199235;     0.687810;     0.303160;     0.824894;     0.095703;     0.479263;     0.092314;     2.541758;     4.405801;     6.083590;     0.100657;     0.464125;     0.377683;    17.100018;     3.119727;     0.039541;     0.220146;     0.835977;     2.221590;     0.142291
EEZ216      ;     1.514131;     0.293407;    12.738707;     2.568809;     1.331096;     3.774554;    72.676849;    30.472481;     0.331182;    10.233149;     2.261145;    54.763329;   104.797272;     0.339709;     1.487336;    20.883846;     1.508995;     2.693031;     1.363927;     0.692422;     0.541368;     0.208810;    27.124474;    38.348038;    16.658627;     0.807581;     1.692539;     1.407376;     9.836311;     8.766920;     0.235763;     0.714617;     3.432114;     4.476204;     0.863877
EEZ224      ;     0.059648;     0.009285;     2.301551;     0.088830;     0.142683;     0.147573;     4.738389;     1.345020;     0.054771;     1.606467;     0.298077;    10.729757;    12.486463;     0.011161;     0.044223;     4.059795;     1.459136;     0.102533;     0.077625;     0.145317;     0.031630;     0.006547;     2.732346;     1.820931;     0.745210;     0.178647;     0.050749;     0.078852;     1.272203;     0.652530;     0.010097;     0.051680;     0.079597;     0.201761;     0.102906
EEZ273      ;     0.510711;     0.090759;     3.927487;     0.063795;     0.662810;     0.873515;    11.835192;     0.788720;     0.016386;    94.256287;     0.090664;    47.150429;     8.278588;     0.085990;     0.251827;     5.179435;     0.041216;     1.922347;     0.062052;     0.321261;     0.016070;     0.037178;     4.915790;     0.181403;     2.297132;    11.336064;     0.387562;     0.439403;     0.518755;     0.355842;     0.063112;     0.199214;     0.244283;     0.426469;     3.941241
