
	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	NOA	
HE8	0.16556133978979887	0.04701909887498492	0.2861445431932628	0.9485160826083464	0.09491677515154522	0.4297121162541573	3.6794556130344582	1.1880048883308034	0.3940146371409756	0.25444886083370205	3.507450839213879	1.1844883269921682	0.8758006808491251	0.08590800351631345	0.24351653017937067	0.13255945629032856	0.002966376756295607	0.27494730355839975	0.7586930499383735	0.024603892360768858	0.34517023052132156	0.057416178621156576	0.5526368825463384	0.24594501025529633	3.26910077844391	0.024810841230288094	0.44434202961606467	0.08475751735511317	1.022754807340165	2.657795201994778	0.04198542533690586	0.14459291195112933	0.019575744522939167	1.754838601357504	0.2552401184662762	
HE5	4.4394580404032	0.8943258992073643	8.530390597780643	14.349411958079472	2.494363706327251	12.130867379734477	162.88828343859117	61.9274706897875	2.779376515146428	5.651155694249795	4.637717551875944	29.408479482393144	19.642141283395727	2.2871196728991863	5.057528916385091	2.7416857104759687	0.07572127865536495	7.030918526756435	18.834601985512034	0.7582402859895914	5.599254478698377	0.899583417257401	21.557111403077087	2.8766604324766205	115.17210467682973	0.546242100233419	7.564344440461444	1.8834838543216603	15.236911475163767	57.24532436309079	1.1923791507271913	3.1813249969332165	0.4232582088648686	27.864521562956202	2.9604442176844823	
HE1	0.17674736888987228	0.03542736352365736	0.30468267690468415	0.8153104986244798	0.09591548977305027	0.41809575714562425	3.2006672908015674	0.9542727959265341	0.26260299874012505	0.32395747642369904	9.921913213100709	1.2786799046359316	0.9165689405204782	0.06335812612978219	0.1829515176150676	0.13864313858583022	0.005968576678686093	0.24791533365131754	0.5416167766066561	0.024339624627626205	0.22135444208209673	0.05414043473082344	0.4997792897256718	0.42414993269530066	2.707365562911553	0.02718764225001156	0.3695624165973573	0.06619455522453892	2.4732107093589133	3.4131451387798726	0.03875756193240569	0.12266416706553213	0.03508332982936367	1.8033088739469847	0.4373020284632509	
HE2	0.5766283220123258	0.1131727138786864	0.7293558146192037	2.774488798761125	0.2998168740439506	1.12968846710371	8.763401290663802	3.4581393342923428	0.7638846660216222	0.7159064560535402	8.98570915394938	3.3845468018030935	2.4933252550877216	0.23027283719597835	0.6337854813175848	0.39905021372272237	0.010469631166765483	0.9239427705054376	1.8520069496121667	0.058519006061282075	0.783371632869851	0.17535961332670866	1.355297812248195	1.2433765204589644	8.057315679678448	0.07607447121174205	1.290549691565278	0.20916630597186903	4.1087277460422165	11.551304226878623	0.12402471666514736	0.44815961194140125	0.06459199148916536	6.303860168987401	1.2870500139967285	
HE3	0.32865759739203276	0.08857633514222958	0.656178300389151	3.30114052816054	0.16484771774040965	0.831910504569756	6.777302566187285	1.997592724603944	5.235337507050559	0.48933507654799974	4.207658936977445	2.1854856909871208	1.7211244872560119	0.16689160225432756	0.40792781018482965	0.2651638064395852	0.008117389700084437	0.6615194535213115	2.165813609672201	0.04879638223081556	1.2763632348655831	0.1429993320348041	1.1752955351520267	0.35478093641312647	6.5834289230878795	0.041980438643718206	1.0761895636260823	0.18824104166519273	6.758186876682835	2.706812402069797	0.09068073456724517	0.2762192922156404	0.07182681081053231	5.877556613706056	0.36669265712276355	
HE4	0.30397847619222773	0.07979387953548649	0.5687098040666251	2.36677512811487	0.14972053401525373	0.8259115707688366	6.83092143263366	2.0621674601868376	1.8268910145190345	0.4381724539859972	0.595709183583326	2.0201042959929	1.6960172802433544	0.1761747239961694	0.37347446157264036	0.22043036836260074	0.006182208122977107	0.5712780287385145	3.5524090389952008	0.04972425747826519	3.6189207874508256	0.12443608903407899	1.0835385425365898	0.21231705233258288	6.629571505946186	0.03361081725592654	0.8944331398957451	0.17678946618081845	1.3672557106373786	2.25167837382454	0.08769414184300699	0.24224756567116704	0.05649558000381139	2.667275883297769	0.21995689809715036	
HE7	0.4504468969159821	0.05864208409449947	2.153745147501137	0.4900492301532613	0.25611527523211913	1.2591162008022116	23.895184532955525	58.060549382678836	0.04381646420519911	1.0815257454832714	0.11391186195446552	6.63048840273963	6.331961849050568	0.1482651419986928	0.3751384731444177	0.8944783750589401	0.00977744142818661	0.8870329140228326	0.27765591093292513	0.13068863395925628	0.0853130269391514	0.027249450300875108	5.427612875781527	0.6918545998897995	5.09166307877382	0.09905997613108082	0.3851658221618795	0.11193481569830127	0.7285277317462323	6.784657472934927	0.0973799069910578	0.25854935836130594	0.01972250126282079	0.817767953650344	0.7094070632944643	
HE6	0.06062970109634571	0.007581192770265085	0.23787237249979068	0.06268633816677409	0.035907113142959045	0.1691505923942557	3.706744092673383	4.984266103074835	0.00492335236960094	0.11019120443221525	0.008189019055229698	0.7137977211308711	0.5381129909031551	0.01995200139029964	0.047029622836969216	0.07121528298529517	0.0011411337482924923	0.12316914434462889	0.04381667483641291	0.016352892349435388	0.013758501716311664	0.003490460252676079	0.6432201806260807	0.033589723332824985	0.7046205170929464	0.010148453807618472	0.04369611984302756	0.012319543528149133	0.11089931718786161	1.0254050488181026	0.010690150427484717	0.029966702222306435	0.00479610523425655	0.0891654326724805	0.03446574100784002	
HE9	0.43989972899025553	0.07878347500719302	2.4381771415288687	0.40670070716421064	0.2919267412889916	1.110021016025727	63.88661135372572	47.657834894632856	0.03507543140536689	0.8410027403176191	0.05738246069793307	6.41974165281415	4.76381264904887	0.1489792592079655	0.34647626986671054	0.6974056881941587	0.010344803638538907	0.8706442550352064	0.2926159788175216	0.15097804561102024	0.09130538183299243	0.02765301855550993	7.73611973590111	0.22288357935847544	3.8520048212510107	0.09155092648411718	0.3558719212891541	0.13540211121850063	0.7551458717106216	1.4002100740050425	0.08691206035594172	0.2148194461429114	0.02108250150343552	0.7245416034431376	0.22834213782100543	
EEZ48	0.7560629314669168	0.2633979349678717	6.0190845637436174	0.47749763311136634	1.013605658855478	2.3608759278935323	18.16025494899374	1.5387381101775544	0.12460673029316739	34.09510335414327	0.19937736614323417	44.22129256013694	20.459090027659858	0.23589580725643958	0.5247362663774542	7.045633994567251	0.1664920227535109	4.203303968013766	0.336937454285226	0.4976446343540255	0.09047093616429829	0.1277563606501184	5.334994870397378	0.2874016118665918	4.282089329972463	9.467550299825424	0.5695786995718385	0.1603141107379141	0.6986557567877579	0.5860905555297641	0.2711174329506457	0.4545668323096525	0.19791776719731746	4.844167714644413	0.29395001691645123	
