
	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	NOA	
HE8	0.16616651980287436	0.04701909887498492	0.2949793830778292	1.0022007637953712	0.09969578318798904	0.4059278991791755	3.6040412783614086	1.198112134317312	0.3850090371630816	0.2574188178852047	3.493081091336029	1.206341746359828	0.8936280323742611	0.08724668232242973	0.25994866207243333	0.1325746002626377	0.002966376756295607	0.2691057311662491	0.7382723116715463	0.024801008983765877	0.3065621203960476	0.053942166266717384	0.5885621983046246	0.2510799431371482	3.195047541474785	0.024270331989865442	0.44162732123875265	0.08425137111441316	1.0628264414176314	2.7311686415895875	0.042525154213900324	0.14191813786423468	0.01953067542023665	1.701850579522253	0.2552401184662762	
HE5	4.455685689190958	0.8943258992073643	8.793770196927152	15.161568568089066	2.6199535631183095	11.459433710182628	159.54971577710342	62.45433399290354	2.7158510754191565	5.717116648636797	4.618717190928884	29.951056239334218	20.04196668319557	2.322759176878351	5.39880341691203	2.741998928511421	0.07572127865536495	6.881538558210438	18.327655892441523	0.7643150062981912	4.972964566018125	0.8451533945625561	22.95847649189228	2.9367204362527217	112.56317098591857	0.534342104584597	7.518130065379398	1.8722362588040864	15.833895167365993	58.82568930094907	1.207707361762555	3.122474770120831	0.42228374438599975	27.023141691403012	2.9604442176844823	
HE1	0.1773934374415742	0.03542736352365736	0.31408988990275233	0.8614559304095963	0.10074478254783108	0.3949544961247251	3.135066229223187	0.9623915082158535	0.25660094364692093	0.32773874621731924	9.88126392167112	1.3022711275768675	0.9352261499255196	0.06434541691962198	0.19529681288217896	0.13865897757544557	0.005968576678686093	0.24264808661923043	0.5270387935383972	0.02453462404240429	0.19659542197854732	0.05086462391153141	0.5322684871714131	0.4330054953024524	2.6460370211564803	0.026595353914237705	0.36730457439156045	0.06579926137536521	2.5701113485254417	3.5073714352532135	0.03925579614603967	0.12039504521834021	0.03500255771909359	1.7488572737174897	0.4373020284632509	
HE2	0.5787360842223815	0.1131727138786864	0.75187499939599	2.931520977075771	0.3149124906852643	1.0671611267929093	8.583786111867473	3.487560311639013	0.7464253153199462	0.7242626004685945	8.948895416290588	3.4469905751555046	2.5440781110296156	0.23386111016428202	0.6765523793727092	0.3990958023631385	0.010469631166765483	0.9043125413296665	1.8021589258435988	0.05898783711804345	0.6957496550846414	0.16474933800367997	1.4434017795896228	1.269336205401545	7.874797504865161	0.07441717332858855	1.2826650760539857	0.2079172280994579	4.269708103779686	11.870199724280388	0.12561907281393206	0.4398692628458744	0.06444328178901708	6.113512703401518	1.2870500139967285	
HE3	0.3298589467489515	0.08857633514222958	0.6764380969065691	3.487980456399312	0.17314771072492705	0.7858649329435144	6.638394581512494	2.014587739731196	5.115678613970165	0.49504665315470797	4.190420492063448	2.225807181911765	1.7561588186099037	0.16949222433506575	0.4354541697911691	0.26519409951300665	0.008117389700084437	0.6474647102066898	2.107519266707756	0.049187319483294654	1.133598975453306	0.13434704172054748	1.2516980782018028	0.36218818689709004	6.434297937183284	0.04106588621910207	1.0696145816769833	0.18711692313792272	7.022973304090452	2.78153905374284	0.09184644887501453	0.27110960741056156	0.07166144443535201	5.700081546800155	0.36669265712276355	
HE4	0.3050896154136804	0.07979387953548649	0.5862689719041128	2.5007312839713136	0.15725888152165768	0.7801980352624586	6.690914472576573	2.079711860879302	1.7851355868543486	0.4432868544404775	0.5932686103097374	2.057374554669781	1.7305405421096145	0.17892000219533363	0.39867596065252525	0.22045555095981406	0.006182208122977107	0.559140568513478	3.4567935391459206	0.05012262849905452	3.2141359017857964	0.11690698276083089	1.1539762304765302	0.21674988799885134	6.479395276149049	0.03287859874159386	0.8889685991231367	0.1757337329963756	1.420824924034158	2.313840193901856	0.08882146305783617	0.2377663120431223	0.056365510616440385	2.5867364692254506	0.21995689809715036	
HE7	0.45209342538278197	0.05864208409449947	2.2202429856845574	0.5177853299085542	0.26901054012745607	1.1894251404161145	23.405427451212546	58.55451389451439	0.04281499494014601	1.0941494412768198	0.1134451740915078	6.752818729156121	6.4608520317087175	0.15057551350257467	0.40045225724084305	0.8945805628328047	0.00977744142818661	0.8681868772935286	0.27018261368068414	0.13173565943849383	0.07577056224220309	0.0256007002574155	5.780446196420133	0.7062994017206922	4.976324287438405	0.09690193433161397	0.38281265092354166	0.11126637485745206	0.7570715200250118	6.971960713940192	0.09863174015507507	0.25376654352898687	0.01967709428307997	0.7930751379402996	0.7094070632944643	
HE6	0.06085132217859133	0.007581192770265085	0.2452167876703368	0.06623429706907437	0.03771501677223552	0.15978824431122604	3.630770451746191	5.026670982095808	0.004810824209955493	0.11147736913951538	0.008155469293712034	0.7269670539035834	0.5490665442159613	0.020262907479459594	0.05020311157208233	0.07122341882338397	0.0011411337482924923	0.12055227389761407	0.04263731930042936	0.016483905234262273	0.012219580620422664	0.0032792671302552243	0.6850340530274698	0.034291022272189484	0.6886591155755454	0.009927367669985865	0.04342915832535075	0.012245974942866158	0.11524436335718731	1.0537132854170699	0.010827573898578068	0.029412358599978632	0.004785063193984647	0.08647304837585966	0.03446574100784002	
HE9	0.4415077041617553	0.07878347500719302	2.5134569438806076	0.429719397308723	0.30662509403481	1.0485822531788986	62.577187679014365	48.063295735068685	0.034273747217741714	0.8508190232860531	0.05714736930802077	6.538183771131379	4.860782387199958	0.15130075858741202	0.3698559712778326	0.6974853618193063	0.010344803638538907	0.8521464142570809	0.28474002118668595	0.1521876218057604	0.08109265800824586	0.025979850288195484	8.239022370585205	0.22753702696973077	3.7647473626510055	0.0895564708639058	0.3536977211874699	0.13459353079148137	0.7847325613346898	1.4388655088586928	0.08802932779712576	0.21084557577713348	0.021033963404444144	0.7026637929857579	0.22834213782100543	
EEZ48	0.7588265849583175	0.2633979349678717	6.2049264734962835	0.5045233300617546	1.0646401528289746	2.2302033603020073	17.78804131510189	1.5518293059639887	0.12175871841290799	34.49306541338208	0.19856053288872447	45.037160837835074	20.87554481901019	0.2395717012907587	0.560144686215879	7.046438907993273	0.1664920227535109	4.113999930121462	0.32786855406687215	0.5016315657036711	0.0803515470695539	0.12002635865564294	5.681807363991296	0.29340209134588313	4.185089391039299	9.2612977840915	0.5660988575487864	0.15935676338969962	0.7260291581457267	0.6022706885742424	0.27460268780863206	0.44615795826861654	0.19746210247580376	4.697896220252488	0.29395001691645123	
