----------Receptor tables----------


DDEP_OXN_m2Grid

      EEZ048  EEZ065  EEZ071  EEZ091  EEZ099  EEZ100  EEZ108  EEZ109  EEZ110  EEZ119  EEZ123  EEZ185  EEZ187  EEZ188  EEZ189  EEZ190  EEZ191  EEZ209  EEZ212  EEZ213  EEZ215  EEZ216  EEZ224  EEZ273  HE1  HE2  HE3  HE4  HE5  HE6  HE7  HE8  HE9  OR1  OR2  OR3  OR4  OR5  
2010  5.0917  3.0300  5.5822  17.7068  0.2203  0.1344  13.9670  0.9395  0.3032  0.0117  0.2649  1.2524  0.0098  0.7353  9.5480  5.3527  7.4882  25.6904  2.8308  41.4473  3.6834  19.4564  1.6186  19.8438  1.3700  3.1347  3.3750  1.6431  21.9096  0.4139  2.6198  1.6598  2.8133  34.5123  65.9748  23.9807  45.8757  61.4290  
2011  5.0396  3.1869  4.6975  19.3814  0.1909  0.1377  9.0166  0.7711  0.2424  0.0106  0.2432  1.5508  0.0117  0.7604  10.6140  5.9137  8.4559  20.9236  2.4126  42.0097  3.3758  21.6083  1.4394  17.5382  1.3470  3.2439  3.2019  1.6310  23.8552  0.4698  3.0798  1.5930  3.0872  33.9387  72.9469  18.5814  42.2664  51.3240  
2012  4.2405  2.6242  4.3471  16.3017  0.1589  0.1305  9.5275  0.7674  0.2379  0.0092  0.1745  1.2967  0.0099  0.6820  9.1812  5.0445  7.1729  18.5547  2.2224  37.4586  3.0013  17.8108  1.1309  15.7576  1.4222  3.1522  3.1428  1.6166  21.1592  0.3960  2.5988  1.5115  2.6628  31.0240  62.2227  18.0143  36.7033  47.5389  
2013  4.4181  3.0866  4.8581  16.5710  0.1866  0.1445  13.0267  0.8513  0.2785  0.0119  0.1910  1.1940  0.0092  0.7288  8.8911  4.7229  6.6650  21.6345  2.1349  40.7725  2.9238  17.2273  1.1802  16.3612  1.0555  2.5584  3.0388  1.4526  20.0660  0.3885  2.4687  1.4022  2.6307  28.0655  62.0498  21.7411  38.9998  55.6723  
2014  3.9833  3.6351  5.3201  13.6759  0.1308  0.1600  9.4218  0.6938  0.2157  0.0140  0.2438  1.2420  0.0092  0.6543  9.3446  5.4124  7.6305  16.7849  2.2365  38.8669  3.1434  20.8904  1.4553  13.6559  1.2840  3.2568  3.1923  1.5845  21.4648  0.4174  2.6872  1.5902  2.9136  33.1187  65.3439  17.8138  31.6268  43.0899  
2015  4.2704  2.6182  3.7383  17.2351  0.1699  0.1135  9.5306  0.7303  0.2219  0.0088  0.2056  1.1490  0.0084  0.6228  8.3530  4.7052  6.5534  18.4696  2.1662  35.4811  2.8921  17.5852  1.2358  16.0127  1.0294  2.6014  2.7446  1.4331  19.7651  0.3691  2.3500  1.3302  2.5546  27.8814  58.9159  17.1722  37.8712  47.1380  
2016  3.7453  2.5122  4.3267  14.9225  0.1533  0.1158  11.7016  0.7589  0.2457  0.0093  0.1979  1.1356  0.0086  0.6430  8.6593  4.8556  6.5234  18.6591  2.1110  35.6467  2.9848  17.9198  1.2185  14.6946  1.1085  2.6210  2.7377  1.3067  18.3607  0.3693  2.3299  1.3564  2.5982  29.7518  58.8628  18.9269  35.0731  45.5413  
2017  3.7856  2.5372  3.9031  16.9430  0.1339  0.1027  7.0286  0.6130  0.1874  0.0089  0.2186  1.0619  0.0080  0.6180  7.8443  4.0190  5.6760  15.5784  2.1697  31.1680  2.9611  15.3056  1.3648  14.2631  1.0001  2.3682  2.5524  1.3014  18.1857  0.3359  2.1109  1.2348  2.2400  28.0034  52.4995  13.8603  33.9735  40.7451  
2018  3.8042  3.3169  4.5683  14.7378  0.1695  0.1454  9.1906  0.7486  0.2413  0.0116  0.2666  1.2575  0.0099  0.6621  8.7508  4.6755  6.8108  19.0648  1.9964  36.4389  2.7512  19.2467  1.5265  15.4999  1.1962  2.8172  2.9170  1.3929  19.2551  0.3791  2.5203  1.4066  2.5826  31.3284  60.8389  17.7138  35.4963  42.6596  
2019  4.0207  3.3719  4.8139  13.6941  0.1227  0.1443  8.2538  0.6216  0.1901  0.0136  0.2294  1.0956  0.0084  0.5695  7.6542  4.2411  6.1477  14.9442  2.1805  33.7188  2.9044  17.2719  1.3279  12.7631  0.9223  2.2684  2.4986  1.2987  18.1160  0.3504  2.2953  1.1779  2.3784  29.0771  54.8730  15.4944  29.8807  40.2894  
2020  3.7456  2.0563  3.2292  12.4805  0.1207  0.0816  7.4225  0.6001  0.1768  0.0064  0.1788  1.0370  0.0077  0.5279  6.9093  3.9325  5.4872  14.3859  2.0137  27.7822  2.8972  14.7726  1.1559  12.2950  0.9733  2.2207  2.3864  1.2658  17.5191  0.3186  2.1183  1.1051  2.1882  26.0409  48.2335  13.5135  28.6219  37.1702  
-------------------------------------------------------------------------------------------------------------------------------

WDEP_OXN

