----------Receptor tables----------


DDEP_OXN_m2Grid

      EEZ048  EEZ065  EEZ071  EEZ091  EEZ099  EEZ100  EEZ108  EEZ109  EEZ110  EEZ119  EEZ123  EEZ185  EEZ187  EEZ188  EEZ189  EEZ190  EEZ191  EEZ209  EEZ212  EEZ213  EEZ215  EEZ216  EEZ224  EEZ273  HE1  HE2  HE3  HE4  HE5  HE6  HE7  HE8  HE9  OR1  OR2  OR3  OR4  OR5  
2004  1.4395  1.0295  1.3828  6.6979  0.0981  0.0525  6.7722  0.3987  0.2113  0.0040  0.0702  0.7676  0.0033  0.6371  5.7132  4.5161  5.1934  15.0150  0.6401  21.0011  0.6301  5.5812  0.3901  8.7202  0.4505  1.0297  0.9037  0.6322  11.6787  0.3095  2.7073  0.4611  3.9350  7.1270  36.9569  14.8396  22.6323  15.1591  
2005  1.3108  0.7503  1.2682  7.1045  0.1230  0.0381  7.4440  0.3987  0.2159  0.0033  0.0342  0.8153  0.0038  0.6146  6.0888  5.1313  5.7407  15.8747  0.5449  21.3437  0.6005  6.3960  0.1949  9.9260  0.5844  1.2279  1.2287  0.8620  12.7706  0.3085  2.8046  0.5838  4.1255  6.7801  39.6234  15.1467  24.7751  17.2045  
2006  1.3627  0.8295  0.9483  5.4152  0.1186  0.0516  8.4577  0.5146  0.2740  0.0021  0.0386  0.8411  0.0043  0.7136  6.7441  5.0769  5.5224  18.4307  0.5666  23.5363  0.7492  6.6239  0.2485  9.5393  0.4958  1.1413  1.1020  0.7030  13.2294  0.3188  2.7982  0.5238  4.1385  7.1627  41.8525  17.1051  24.6871  17.2403  
2007  1.6234  0.6978  0.8672  8.3613  0.1498  0.0439  8.6802  0.4459  0.2314  0.0015  0.0301  0.7073  0.0031  0.5929  5.5190  4.3138  4.5482  18.1516  0.5447  21.8840  0.5871  5.0259  0.2151  11.6556  0.4763  0.9668  1.0016  0.7063  11.9768  0.3117  2.5906  0.4783  3.9911  6.2262  35.3574  17.0579  28.2642  22.0219  
2008  1.3793  0.7143  1.2041  6.0385  0.0938  0.0423  8.7604  0.4390  0.2393  0.0025  0.0337  0.7617  0.0032  0.6655  6.3647  4.9235  5.1048  14.8705  0.5941  21.4483  0.6933  4.9106  0.2308  8.5034  0.4226  0.9358  1.0192  0.7164  12.4983  0.3214  2.7039  0.4917  4.1476  5.9131  37.9179  16.2643  21.1099  18.3501  
2009  1.7535  0.7301  1.1719  6.1737  0.1443  0.0428  7.7184  0.4054  0.2279  0.0023  0.0273  0.8086  0.0038  0.6556  6.4426  5.2212  5.3924  17.3840  0.6039  21.9123  0.6315  6.4510  0.1942  10.9940  0.4851  1.0651  0.9971  0.7138  12.4111  0.3044  2.6170  0.4991  4.0561  6.5381  40.1526  15.1981  25.7863  20.0007  
2010  1.6816  0.6402  1.1625  6.9505  0.1564  0.0397  10.5293  0.4597  0.2458  0.0024  0.0403  0.7286  0.0035  0.6382  5.8610  4.8647  5.0068  19.7745  0.6120  20.9108  0.6650  4.9576  0.2527  11.8430  0.5176  1.0987  1.0738  0.7449  11.7685  0.2814  2.4895  0.5257  4.0480  6.0062  36.2318  18.1107  29.3897  23.1097  
2011  1.7259  0.8632  1.0368  7.5138  0.1307  0.0444  7.8299  0.4837  0.2709  0.0027  0.0403  0.8642  0.0041  0.8296  7.6028  5.8872  5.7130  18.3664  0.5729  24.3206  0.6374  6.1646  0.2680  10.4231  0.5373  1.1945  1.0094  0.7909  14.1705  0.3266  2.8899  0.5275  4.6351  6.8412  45.1645  16.0904  26.7813  20.7114  
2012  1.5295  0.7517  1.1881  6.1892  0.1169  0.0502  8.4042  0.4263  0.2388  0.0024  0.0317  0.7432  0.0035  0.6217  5.6002  5.1283  4.9495  16.3487  0.6650  21.2362  0.5965  4.6985  0.2202  9.8033  0.5256  1.0488  1.1278  0.8096  12.8486  0.3121  2.6163  0.5052  4.5089  6.1736  36.5770  16.2116  23.8827  19.9417  
2013  1.6526  0.7535  1.3452  8.0060  0.1493  0.0467  11.0887  0.4917  0.2723  0.0026  0.0294  0.7868  0.0036  0.7026  6.7634  5.3807  5.3005  19.1937  0.6270  24.6614  0.6774  5.5048  0.2077  11.3321  0.4516  0.9923  1.0023  0.7005  11.9116  0.2948  2.5682  0.4531  4.1494  5.8859  41.3175  18.8651  28.1863  25.6235  
2014  1.6298  0.8346  1.3234  5.9269  0.1063  0.0526  7.7518  0.4590  0.2591  0.0029  0.0363  0.8684  0.0040  0.7446  7.7489  6.8744  6.1020  16.2210  0.6193  23.8646  0.7148  5.9716  0.2298  9.4169  0.4859  1.2079  1.1841  0.8987  13.7058  0.3148  2.7724  0.5501  4.5273  6.5561  45.8005  16.0159  22.6597  18.1373  
2015  1.7849  1.1639  1.2513  7.3361  0.1520  0.0638  9.3455  0.5306  0.2824  0.0040  0.0615  0.8749  0.0040  0.7494  7.5251  5.8937  5.7767  19.6217  0.7042  27.3901  0.7013  6.8659  0.3344  11.8341  0.4856  1.1196  1.1256  0.8523  15.4438  0.3456  2.9501  0.4742  4.8156  7.6607  48.1292  17.2222  28.6729  23.7584  
2016  1.4225  0.7373  1.4495  6.6138  0.1422  0.0429  11.2991  0.5767  0.2909  0.0032  0.0460  0.8365  0.0041  0.8168  7.8495  6.1517  5.7753  21.0406  0.6375  27.0831  0.6190  6.1437  0.2538  10.7279  0.5818  1.1383  1.3959  0.7630  13.0328  0.3118  2.7596  0.5386  4.5366  6.8686  47.5335  19.4568  28.5928  20.9172  
2017  1.5093  0.7935  1.1607  7.6952  0.1271  0.0458  7.9964  0.4765  0.2443  0.0029  0.0414  0.8068  0.0038  0.7447  6.9563  4.7362  5.1226  17.0660  0.6584  25.9916  0.6746  4.9794  0.2832  10.6221  0.5205  1.0308  1.3427  0.7373  14.0797  0.3288  2.8495  0.5022  4.6260  6.2078  43.5084  16.2151  26.3303  18.3723  
2018  1.7398  1.3252  1.6500  6.2463  0.1616  0.0723  9.7999  0.5458  0.2898  0.0051  0.0768  0.9210  0.0050  0.8739  8.9469  6.4051  6.4934  20.3110  0.7132  29.1264  0.7049  7.2250  0.3899  11.9661  0.6270  1.2891  1.5494  0.8857  14.3084  0.3201  2.8789  0.6179  4.2824  8.2046  52.4846  18.7650  28.0758  21.9585  
2019  2.3959  1.4243  1.7941  7.7831  0.1277  0.0778  10.0702  0.5023  0.2764  0.0057  0.0808  0.8172  0.0041  0.7385  7.6596  5.8413  5.4976  17.9418  0.8472  29.1671  0.9067  6.9182  0.4608  10.7692  0.4415  1.0570  1.1453  0.8494  14.2836  0.3235  2.7079  0.4676  4.4270  9.1406  46.9872  19.9282  26.4001  22.4563  
2020  2.1949  0.6876  1.0943  8.1772  0.1695  0.0378  11.4683  0.5449  0.2956  0.0021  0.0469  0.9199  0.0050  0.7669  7.9034  6.0037  5.8120  21.3785  0.7946  28.7283  0.7530  5.9349  0.2992  12.9126  0.5315  1.2949  1.2827  0.9070  14.9118  0.3199  2.9055  0.5055  4.3589  6.9189  48.3879  20.8587  31.3902  26.2878  
-------------------------------------------------------------------------------------------------------------------------------

WDEP_RDN

      EEZ048  EEZ065  EEZ071  EEZ091  EEZ099  EEZ100  EEZ108  EEZ109  EEZ110  EEZ119  EEZ123  EEZ185  EEZ187  EEZ188  EEZ189  EEZ190  EEZ191  EEZ209  EEZ212  EEZ213  EEZ215  EEZ216  EEZ224  EEZ273  HE1  HE2  HE3  HE4  HE5  HE6  HE7  HE8  HE9  OR1  OR2  OR3  OR4  OR5  
1995  16.6498  11.4925  19.6502  6.5981  0.2507  0.4517  31.6919  1.2926  0.5505  0.0369  0.8576  3.8536  0.0336  1.0682  17.0694  12.9660  18.7290  33.6394  8.7518  89.8158  10.4995  59.1281  5.4680  19.5106  3.1368  6.9208  5.2966  3.6855  46.8102  0.9533  7.8842  2.2541  8.3892  106.1570  145.5278  53.0367  41.1558  145.7001  
1996  13.8876  19.9612  23.7783  7.1350  0.3487  0.7960  43.5633  1.5619  0.5855  0.0502  1.3050  3.8662  0.0334  1.1028  17.3870  13.5120  20.4565  38.2316  11.8899  127.6605  12.7065  82.5571  8.2161  26.5613  2.4097  6.2433  6.0315  4.1615  48.5318  0.8437  7.4136  2.3926  7.3741  142.4380  185.6984  65.4309  51.8907  168.1014  
1997  17.4312  13.1593  21.7720  8.5813  0.2838  0.5803  34.8873  1.4363  0.5027  0.0484  0.6493  4.2012  0.0349  1.0379  18.5606  14.5053  22.7935  31.0760  7.7643  99.6948  9.0175  61.6170  4.4486  22.2766  1.8470  4.5475  3.8173  3.1941  40.0682  0.9229  8.2890  1.5357  8.0611  95.2418  164.5201  52.9965  42.7908  170.6595  
1998  12.5315  9.7938  18.2803  5.3944  0.2574  0.3445  25.4691  1.1200  0.5009  0.0331  0.7998  4.4812  0.0384  1.4302  20.3022  16.6582  23.2453  31.3889  7.6585  93.8724  8.6781  55.3614  4.8094  20.5482  3.0782  6.4070  5.3842  3.8328  53.3247  1.1705  9.1685  2.1869  10.8971  84.3639  169.7575  46.9319  39.8790  132.4528  
1999  12.9124  8.7816  23.9506  7.0647  0.3317  0.2915  23.8940  1.0182  0.4635  0.0461  0.6883  5.4542  0.0481  1.3244  19.0469  13.9759  23.2216  36.2582  10.4163  84.9836  9.8462  64.0318  4.5877  24.1372  3.1118  6.9984  5.1127  3.7569  49.9534  1.0065  10.6419  2.3926  8.9142  100.0168  161.0392  45.8630  48.4419  135.9847  
2000  15.3760  7.5259  17.0953  7.0604  0.3264  0.3308  23.4898  1.2880  0.5746  0.0255  0.6359  5.7046  0.0525  1.5910  23.8123  18.0541  27.9584  36.6266  7.9870  88.6274  9.0589  60.8048  4.4932  23.3685  3.5255  8.9158  4.9818  3.5477  50.9398  1.0774  10.3745  2.7712  9.5933  84.6101  185.1177  45.5847  46.3413  134.3375  
2001  12.5268  8.3956  16.9029  6.6089  0.3242  0.4000  23.8734  1.3001  0.5718  0.0354  0.5442  4.4087  0.0388  1.6205  21.4877  16.6737  22.0762  33.7681  5.8065  95.3836  6.7801  48.7070  3.0512  23.2126  2.7914  6.5889  4.7071  3.7155  48.3414  0.9782  8.8918  2.3339  8.7882  70.1436  170.0949  45.2219  44.2579  109.1876  
2002  13.8969  12.3503  22.5605  7.3954  0.3244  0.4221  25.9428  1.1765  0.5490  0.0442  1.5680  3.8422  0.0287  1.5007  21.5628  17.5274  22.0351  33.8763  9.0954  98.4755  7.8291  59.2100  7.1566  25.1340  2.3829  4.7698  3.7435  2.8105  44.4233  0.9444  7.8345  1.6345  8.1941  98.9998  171.3838  46.8120  48.4491  128.7162  
2003  12.6558  15.3396  28.3045  7.5435  0.2873  0.5679  36.0299  1.3327  0.5226  0.0670  1.1365  3.9629  0.0342  1.0057  14.7186  12.8261  21.9146  35.5937  9.0205  92.4435  8.5738  65.1984  5.9929  25.7818  2.8170  6.1115  4.3578  3.0663  41.1234  0.8747  8.2089  1.9552  7.7864  115.0683  149.3397  55.8294  49.1326  141.8682  
2004  12.3146  9.9308  23.2338  6.2764  0.2792  0.3901  21.9255  1.1490  0.5342  0.0456  0.9268  3.7482  0.0254  1.3692  18.8329  13.6662  18.5897  31.9922  10.4082  88.2341  9.8888  51.7150  5.9945  22.5396  2.0082  4.1827  4.2840  3.2940  40.5948  0.9031  7.7844  1.5473  8.8998  92.3926  152.6383  40.4988  42.9175  118.4817  
2005  12.5975  9.3341  20.5630  5.1270  0.3002  0.4010  21.5958  1.1755  0.5151  0.0369  0.8079  3.8765  0.0266  1.2310  17.8160  14.0776  18.3478  30.5878  7.8836  83.1306  7.1950  65.8455  3.9949  21.0897  2.9436  5.4229  3.9607  2.9445  40.9904  0.8491  8.1127  1.6014  8.5269  98.2126  151.4559  42.0475  40.9379  115.2984  
2006  14.8871  11.1903  15.9038  6.2278  0.3003  0.5288  28.8494  1.2768  0.5152  0.0445  0.8275  4.4960  0.0332  1.1413  15.1575  12.8936  19.2735  35.3979  7.5207  92.0064  8.3238  58.1660  5.2542  23.5908  2.3209  5.8317  3.9528  3.2707  46.6488  0.9960  9.0949  1.8319  9.5212  90.7370  148.1547  48.0914  47.0387  142.6179  
2007  13.7308  6.6325  17.1734  6.8360  0.3154  0.2830  19.5939  1.2270  0.5004  0.0199  0.6493  3.5906  0.0288  1.0221  14.0574  12.0129  16.2038  33.3818  7.2084  60.4534  6.7250  45.7447  3.3742  24.1074  2.0599  4.5465  4.7106  3.3477  44.0083  0.9518  6.9166  1.7879  7.8080  77.7087  114.8616  33.7168  45.5897  134.0075  
2008  11.2220  9.1941  24.3081  4.9431  0.2236  0.3261  24.9730  1.0773  0.4680  0.0421  1.0089  4.1823  0.0287  1.2981  19.1101  14.1710  18.0420  27.7270  8.5196  81.8496  7.1151  41.0958  5.3904  19.6088  2.3096  5.4489  5.4062  3.7755  45.1301  0.9132  8.2912  1.9536  8.7382  81.0893  140.3857  40.1577  36.1498  131.0126  
2009  13.8638  7.7528  18.7188  5.2159  0.1918  0.3000  19.1916  1.0020  0.4164  0.0284  0.6862  4.1238  0.0341  1.1624  16.8537  15.3342  22.9139  25.7115  7.3325  75.2485  8.0330  62.3931  4.4867  15.3834  2.3865  5.3574  3.5889  2.9114  42.3186  0.9303  8.2804  1.8240  8.5464  82.2916  154.9376  35.4922  32.1265  124.6113  
2010  17.1626  6.4739  13.4673  7.3128  0.2861  0.2657  20.3641  1.0344  0.4688  0.0240  0.5094  3.7695  0.0300  1.2432  18.1481  13.4523  18.6330  31.5411  6.2152  71.1726  7.3345  47.8051  3.7261  23.6108  3.1763  7.0564  4.6078  3.3866  45.3537  0.8159  7.6143  1.9749  8.4803  70.7956  137.8428  36.4972  45.1629  121.1895  
2011  13.0227  9.9689  21.4204  8.8247  0.2371  0.3625  21.2293  0.8754  0.3546  0.0452  0.8877  4.3342  0.0410  1.0286  14.8693  12.7933  20.4687  24.7795  8.1241  80.2324  9.2827  59.0104  6.1050  19.9570  2.5200  6.0382  4.2158  3.2372  42.8796  0.8550  8.1376  1.9659  8.6250  95.0022  144.4845  38.4297  38.0970  132.9408  
2012  12.9442  6.0293  16.3521  5.1603  0.2542  0.3473  23.3623  1.0494  0.5232  0.0253  0.4227  4.3089  0.0329  1.3478  19.4787  16.2052  21.2020  27.4841  6.5793  71.4366  7.3964  41.0878  3.1696  19.1434  2.9703  6.6939  4.9121  3.8785  48.1237  0.9522  8.7605  2.5117  9.0597  66.4306  140.8613  38.8130  36.4178  112.1200  
2013  14.8665  7.3005  21.6451  4.7663  0.3229  0.3246  31.5355  1.4209  0.5820  0.0335  0.5223  3.5959  0.0288  1.3157  16.2116  14.0750  18.3517  35.9852  6.0942  81.5728  8.2699  45.5343  3.5754  20.3796  1.8447  4.3741  4.4140  3.0294  40.1960  0.8305  7.2894  2.0010  8.3875  73.9181  138.4321  44.8375  42.2303  145.9872  
2014  12.2269  10.8336  21.8743  5.2353  0.2105  0.3805  25.2501  1.0217  0.4733  0.0353  0.7436  4.6287  0.0416  1.2497  19.8574  16.8619  24.7105  26.6055  7.9979  94.7304  7.8999  55.1715  4.3895  17.3548  2.2856  5.6740  3.8736  2.8003  43.9091  0.9247  8.9606  1.7690  9.1604  83.5745  173.9831  43.4862  34.0722  125.3891  
2015  12.8575  9.7174  19.2609  6.4883  0.2745  0.3304  19.5791  0.9776  0.4726  0.0440  0.6619  4.4070  0.0348  1.0860  16.4714  16.0508  20.8398  30.2259  9.1973  79.9885  9.1290  53.9865  4.5261  20.9225  2.4788  5.2839  4.4100  3.3289  45.5707  1.0795  9.0202  1.7612  10.5485  90.0061  148.7954  36.7904  41.2079  122.7088  
2016  10.2530  6.9056  15.6181  5.4502  0.2780  0.3071  26.3023  1.2438  0.4732  0.0224  0.4603  3.7211  0.0315  1.0404  17.5422  15.4329  19.0287  30.3115  6.2255  81.2060  8.4787  45.1061  3.4297  21.7033  2.2054  5.3063  4.0251  2.5247  37.3783  0.8616  7.8045  1.5483  9.1082  73.5109  142.0033  43.7553  40.3014  123.0059  
2017  11.2778  7.0073  15.6445  6.4453  0.2230  0.2821  19.7460  1.0104  0.4478  0.0315  0.6344  3.9213  0.0283  1.1516  17.3217  14.2613  21.2634  25.7951  7.3976  74.4613  7.6657  41.0351  3.7064  18.2560  2.2281  5.0948  4.2823  3.0541  43.1689  1.0038  8.5129  1.7041  9.6420  67.4113  141.7349  37.2575  33.9610  114.5860  
2018  13.3262  11.0853  22.2751  8.3470  0.2664  0.3787  24.6855  1.4517  0.5502  0.0463  1.2283  3.5821  0.0282  1.3751  20.0552  14.3797  21.3396  30.6697  9.5916  90.0647  9.7611  54.1114  5.9559  20.9961  2.4090  5.7376  4.0561  2.9917  37.3974  0.8683  7.4883  1.7292  7.9243  96.2833  161.9970  43.1489  40.2814  129.4579  
2019  12.7926  8.0472  22.3091  3.7744  0.2187  0.3426  26.3288  1.1480  0.5256  0.0313  0.7435  4.3553  0.0376  1.1575  17.1410  14.8728  21.1372  27.1723  9.2729  80.0526  9.5890  49.2170  4.6006  15.9514  2.2909  6.2258  4.7555  3.4842  40.9642  0.8757  8.2350  2.1316  8.3006  85.9155  142.5395  44.7614  32.4247  117.0317  
2020  9.9031  7.7284  15.8229  6.2178  0.2642  0.3375  25.2631  0.9530  0.4554  0.0269  0.7843  3.9045  0.0316  0.9924  15.2182  12.7031  18.0202  28.0669  8.1025  70.0581  8.4415  44.1840  4.7924  20.1769  2.3278  5.1655  4.1406  3.3459  39.9487  0.8703  7.3118  1.8817  7.2324  79.6213  123.7855  42.6759  38.1665  123.8725  
-------------------------------------------------------------------------------------------------------------------------------
