	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	NOA	
HE8	0.1575532765805617	0.04701915525276751	0.23224829381264414	1.088431358726008	0.10200077480943737	0.34292887640856007	3.0433496103009645	0.8663337298915125	0.4693355097996603	0.2517640036487	3.8764455874929458	1.0380161183383683	0.7362138718403074	0.06822318537155508	0.21450199312334386	0.11300653571772439	0.004283025896843159	0.2566352828338733	0.6445856774265755	0.01641057595589808	0.48113581097527386	0.038167033649330016	0.4657241103727158	0.29192593117555105	2.613020878173076	0.017360243169696605	0.27802602741491755	0.13513648967488992	2.4116878991525006	0.036836201839142366	0.11132908368920352	0.02727430241495113	0.08828174691300174	0.25648661944714535	
HE5	4.224725176756156	0.8943269715399337	6.923663962908037	16.466088705109144	2.6805275494842538	9.68095746672666	134.72808101538772	45.159626187069996	3.3106894280039794	5.591526635901648	5.125619877266036	25.771867077883936	16.511538757269236	1.81629863370648	4.4549338479998175	2.337278779184929	0.10933075063196268	6.562645791915545	16.0018793909834	0.5057394831516501	7.804849915349423	0.5979922624838542	18.166841279475737	3.4144696595181956	92.05807177560969	0.3822077454593356	4.73303107652632	3.0030067464807115	51.94450495881253	1.0461420531653685	2.4494561458575483	0.5897130693886737	1.401797657385604	2.9749019629767433	
HE1	0.16819824683074003	0.03542740600248503	0.24729471013392393	0.9355766655649248	0.10307402729873005	0.3336585188217811	2.6473344365556213	0.6958883071521793	0.3128028775350256	0.32053918814619803	10.965729373710225	1.1205600941445502	0.7704844073139016	0.05031537233810444	0.16115318801752967	0.1181928564817154	0.008617775347602946	0.2314036942608024	0.4601576578076701	0.01623431174355965	0.308547897781614	0.03598950406983859	0.42117939001416466	0.503447351631955	2.1640210015495764	0.019023300189222866	0.2312362183185772	0.10553989908831596	3.097093720038544	0.034004213668884814	0.09444508127425126	0.04888055963175558	0.09072017078528183	0.4394376543620749	
HE2	0.5487372934861386	0.11317284957730274	0.5919792900374609	3.183752672597107	0.3221933467988097	0.9015403151593958	7.248380387678533	2.521793283335228	0.9099108646238593	0.7083524564560298	9.93103373278613	2.9660183671572944	2.0959342461639143	0.18286941629451237	0.558271131964316	0.3401891007417513	0.015116657492169297	0.8624063999253267	1.5734652562211444	0.03903165319336164	1.0919485881114481	0.1165691695843336	1.1421511807012867	1.4758333505527308	6.440282976853571	0.05322960664589246	0.8075004838895596	0.3334925470843459	10.48167315618739	0.10881393863369866	0.34505978384893804	0.08999409996360831	0.31713217818606787	1.2933355035761673	
HE3	0.31276070493239844	0.08857644134880277	0.5325849970842608	3.78809061469007	0.17715092941414035	0.6639006065071006	5.605639337143064	1.456712824087638	6.236138372102439	0.4841717805055699	4.650317757148435	1.9152315155381834	1.4468083325230934	0.1325356922698211	0.35932397800935684	0.2260513433144564	0.011720355557143179	0.6174609820041081	1.8400754203345475	0.032546750133270796	1.7791339049679207	0.09505788174472805	0.9904577215542729	0.42110939806515385	5.262192386184424	0.029373877993939104	0.6733747635326904	0.3001295268807708	2.456166190099273	0.07955936648579169	0.21267460683025133	0.10007415846954487	0.29568586252698276	0.3684834522357246	
HE4	0.28927529213557795	0.07979397521154367	0.46159147469671763	2.7158973007700493	0.16089474647717192	0.6591131975647334	5.649988548946648	1.5038029262276125	2.176124297993856	0.433549008404438	0.6583796443596559	1.7703009579587665	1.4257027607987558	0.1399078125554488	0.32897568115392606	0.1879162225973674	0.008926228751688088	0.5332298101659537	3.0181270107627953	0.03316563461718073	5.0444454184118115	0.08271808593692594	0.9131312797152832	0.2520110212534907	5.299074556711751	0.023517620997985975	0.559649270379249	0.28187125598638374	2.0431767966396883	0.07693905880714953	0.1865181297491708	0.07871361073017648	0.13418429153216208	0.221031088513902	
HE7	0.4286591581389964	0.05864215440870681	1.74808028918644	0.5623362209648367	0.2752301315810471	1.0048292512039216	19.76417388453459	42.33973513098911	0.05219253455806978	1.070113856434087	0.12589574448189925	5.810571263269922	5.322761504038728	0.11774363100867491	0.3304414288732437	0.7625401104425397	0.014117234013823048	0.8279548110747417	0.2358964846913122	0.08716814895437613	0.11891857632429419	0.01811389597036014	4.57401642534942	0.8212010404328528	4.069810884139211	0.06931265482125436	0.24099931200340444	0.17846768685422873	6.156409762155893	0.08543693151171657	0.19906966922779978	0.02747877421423689	0.04113995638224242	0.7128715523628193	
HE6	0.05769709328250988	0.007581201860418832	0.19306834245980772	0.07193317801928385	0.038586997460715235	0.13498949738549118	3.0659204448506814	3.634697033878101	0.00586451333655219	0.10902850460335956	0.009050529355289733	0.6255304698937224	0.45234750004565005	0.0158447296371572	0.041426131634424955	0.06071081343830744	0.0016476347400327992	0.11496584176747904	0.037226650533181166	0.010907232809510142	0.01917809618484292	0.0023202608936159345	0.5420614437016712	0.039869527142207616	0.563209349339601	0.007100913034807419	0.027340782108548668	0.019642149967841742	0.9304542901230493	0.009379077041086403	0.02307281494354424	0.006682270726395997	0.004485700368393345	0.03463405929663728	
HE9	0.4186221478837435	0.0787835694717347	1.9789385980029481	0.46669298645550966	0.31371434345013727	0.8858448375480452	52.84186418176788	34.753720517793454	0.041780542975592166	0.8321287675965388	0.06341927421621264	5.625885168586677	4.004546961162144	0.11831074174051698	0.30519427326600007	0.5945362407042956	0.014936424305370392	0.8126576683854919	0.24860655959251687	0.10070100489966816	0.12727137235524202	0.018382165359308523	6.519466209237769	0.26455302500515604	3.078941183802644	0.0640585432562875	0.2226700378310569	0.2158836947521016	1.2705530092066226	0.076252894232633	0.1653998925327386	0.02937362208597255	0.03644996093294652	0.22945727873411093	
EEZ48	0.7194928013082983	0.2633982507925445	4.885370535615346	0.5479331422263899	1.0892549013535031	1.8840812224472927	15.020701602215164	1.1221003713118922	0.14842688005442783	33.73534350725761	0.22035248579710087	38.75294792287321	17.198280628178317	0.18733485505541544	0.4622149261044333	6.0063816791557505	0.2403907877034439	3.9233558165768017	0.2862620887834278	0.33192451630676295	0.12610823122074846	0.08492521503429146	4.495964381549373	0.34113309750996407	3.422711497669475	6.624482172964794	0.3563869555147474	0.25560312343393976	0.5318195696635455	0.2378667454751603	0.34999301302986296	0.2757529364722751	0.24369853037057101	0.29538556312530967	
