	AT	BA	BE	BG	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	GR	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	NOA	BIC	
HE8	0.4213486988720601	0.03957344789819292	0.8948440803177329	0.06247674743175757	1.0885122720789264	0.14981279069625877	1.1658478194845303	6.4943625244375776	1.6903039125467307	0.7512723245358816	0.6004047265328728	3.5179599132162984	1.8965250320005904	4.411145809666326	0.04989457870483809	0.08388920163041665	0.43942398567001867	0.19146882942908497	0.008865757478872725	0.6288047101382865	0.5788741303343896	0.07420182150605048	0.5237144443595446	0.05380206998364332	1.3822833499283125	0.9408557953510339	4.668290981118158	0.05287288681581617	0.3838322412989143	0.10365459082900404	4.805248447830219	3.604492913245728	0.07765554775055573	0.279109226360835	0.03495918699468872	1.3854140716675565	0.5087256955233341	6.654338244395698	0.018100365142739588	0.17928836311650972	0.005694918047481394	3.2998234493760474	nan	
HE5	9.992832855762682	1.170561884422735	21.27841152206855	1.322086499620994	14.418916243595042	3.4022523363654518	27.87312572343596	160.5226766296211	33.426578669080264	5.260627805089815	13.860318226428575	18.155212804663737	44.92594357240932	89.71200859626985	1.1308365336742654	1.8826730325796426	8.676055145842769	3.6989884982555785	0.1946009988892786	14.058761986500462	8.320408377504219	1.8636269201223472	6.08212699356352	0.8101240323151296	31.922012388961104	11.422175452181419	101.39623146447373	1.362875461333762	6.80230962768077	2.4346373694083994	53.9321615131938	31.83280628818547	2.0415915595164846	5.662286965576009	0.9801629729840061	22.30829661081538	10.294307080384367	98.33460630371319	0.29657184729526403	3.604199857776539	0.14861367115273147	64.30820453439536	nan	
HE1	0.44108084630009364	0.025269984113025612	1.0268061889114208	0.053204189006535396	1.1176589781069108	0.17456942350051421	1.2560005869048019	6.563564220056726	1.61886403792649	0.7963951271082134	0.7819468482366113	9.920980545269094	2.098110112871384	5.231162556777711	0.03614234345567986	0.05427837353995302	0.3500589808489569	0.2471909678186142	0.014307756632284653	0.5096067633990086	0.5948203854222748	0.08966431068112322	0.5083086703852352	0.05094238135742309	1.4578317722235417	1.9198618668632015	4.55524370403539	0.05283540989522759	0.2813297277208245	0.07146224582342346	8.455029308572406	5.928489238426809	0.06863830920125542	0.25280583554278585	0.04434119230484673	1.478651280339012	0.7533920533227564	5.865608255060059	0.023279068711151523	0.1787934263119726	0.009479541285490422	3.9150739989834964	nan	
HE2	1.1946078500870545	0.09118733694328089	2.371871923067738	0.1542674914256605	3.026990073444386	0.44512408531731373	3.0357092877669083	15.956412385383784	4.482808812370553	1.785071320921696	1.8019169515574331	12.92872399847744	5.182205069240646	12.817613446176102	0.12748509054083015	0.19371071904522266	1.0528182071646746	0.5847780170922677	0.02633147415280054	1.641831626654359	1.5595281873252131	0.2017770255667181	1.3447545716291842	0.14231875552055964	3.617731442331539	3.905840113947834	11.985427805762244	0.162425665800796	0.9057854391759609	0.2338668965257816	14.82251032440003	13.623953226910148	0.19504444088608186	0.7644299505680857	0.0905825172772416	3.7186614215691542	1.5680687969540845	15.507751550908823	0.05346365014199625	0.5186233303329074	0.017779999500614683	9.90059985749369	nan	
HE3	0.8951359700190779	0.06778518250088571	1.974391428803792	0.1695722333367724	3.529839716674093	0.27714236383568425	2.180907590604236	12.591143194350186	2.834211909806679	3.584012741231756	1.1474283630099174	8.744528766286349	3.612555156448303	8.304831865033163	0.13706981524771703	0.16818591846667763	0.7463265138721171	0.38090589070367437	0.020096663105200228	1.384287879523533	1.6175454417043091	0.15350041006573575	1.5098446705209714	0.1386659642692327	2.831194816233516	1.619040032174824	9.879501809615853	0.09634387952343178	0.8879195836740604	0.22570342843531055	21.207093494389706	4.8076526202430285	0.17784680719796106	0.5588800127617687	0.1272415903443625	4.30627327263387	1.0063836015737737	11.956994229711428	0.0673476738032783	0.4145287984441985	0.008775166637754019	5.742731878787997	nan	
HE4	0.7176316498633338	0.07555964611902773	1.4906017208042563	0.148728312987334	1.843249285101454	0.22454784792988466	1.8903706164392595	10.7047746277391	2.3285129196615326	0.8779328470018983	0.9575213233209215	2.151932153933899	2.9217928575120706	6.328503224075319	0.09441060551126905	0.1420245133603273	0.6289033378474512	0.26091644579812256	0.011164877161434902	1.039042048047987	1.3692098335904144	0.12926749045163063	1.3259842073249557	0.10186092142834946	2.2262802490847236	0.8723633643344764	7.838179180223669	0.07505515795601414	0.7259168125219754	0.1936727977596616	5.169269924989213	2.728879163837604	0.14679110523080974	0.4248769793321692	0.0920107170335842	2.329020385108407	0.6856431359674341	7.29020773394258	0.037111450509248495	0.28301518829297434	0.007826573805050778	4.277131058638893	nan	
HE7	0.929841772047041	0.08231145350105772	4.4883103885188325	0.07582950901041191	0.6971375839171278	0.34166603049613403	2.818981122248157	21.894237185161572	6.739117534135848	0.18006826291986663	2.431615134846441	0.7959607666417822	8.386550831104424	24.653392481224	0.07289391457824233	0.12444336378232657	0.6330205261689051	1.0040186111860538	0.0314014304239754	1.4142191666040294	0.2823984035424382	0.29200435995712054	0.1876451276781578	0.03172534992621721	6.70231099089295	2.374714973188245	7.735998617241214	0.23121263997432703	0.39645091459469456	0.16311764077873844	3.2100053183179327	3.3858060532871597	0.14708657942914075	0.46644235389210387	0.07062343653193232	0.9624189756669163	2.423351801770096	10.920431943449875	0.01954570042635023	0.3595267830913862	0.02644307504075785	17.273486752566416	nan	
HE6	0.13316289153795038	0.011582026553307789	0.5088074972209548	0.01235311425089107	0.09314343798383047	0.045300515599649475	0.3797610380353633	2.8824263799371024	1.0685229549233808	0.020890379706089826	0.27850493906537627	0.08745042106959461	0.993922889859277	2.326646985701924	0.009682961421473709	0.01561327132763292	0.08651736711952762	0.09698904577852009	0.003615953910261783	0.20445953581461482	0.04323553968276514	0.037989057522722705	0.02847860541216447	0.004728296401514841	0.7347491367838206	0.19675372398690796	1.0711881171015334	0.027562728299981718	0.05794201444960242	0.020138354222364135	0.42985639578759693	0.4004680936361789	0.018922900311091832	0.0574094964351928	0.01392638341189313	0.1438810304763218	0.2555968147885013	1.5556655908436714	0.0021881714573000303	0.04659190372782054	0.0024120941409703747	1.5801384705140122	nan	
HE9	0.916313098463653	0.1007884041055878	4.892579234094469	0.09197132316852137	0.5970487594609025	0.3320124839083794	2.7592553237304993	23.968157174282425	3.5140990273885975	0.1600534108371557	2.127870583239566	0.5896898771288637	8.189934563696195	20.864414150286414	0.07919494637790696	0.12339388535508854	0.6435382921248921	0.8214511450605176	0.025568194288804552	1.4167800623055438	0.2772058116012986	0.3204890567173469	0.18946598175712423	0.027821347039586556	6.822642225813873	1.3425299912877693	6.6935004393803865	0.2334656010715996	0.3581051533786772	0.18182799663259844	2.9250219054076134	1.5918883292280606	0.1347666852807862	0.426807434497519	0.08063790770972874	1.0229282505021158	2.1414683591769608	10.079407278322064	0.0162715706078521	0.34513348417295053	0.020554479973143424	14.235436840088077	nan	
EEZ48	0.41363514824544595	0.10613011681952729	2.2403436328362454	0.11457695141016845	0.09486550261680259	0.2525943304708141	0.6460576185235203	5.593769147627069	0.4433462722975124	0.07731232599531056	12.545011530564336	0.1390155898400857	8.512608131207783	10.768375938196087	0.06859796683732587	0.051178451724815936	0.08137248304034979	1.0523216309618997	0.08310490857499078	1.0608317255073176	0.04456631267774897	0.22303706844302792	0.030669793097094833	0.06363044559982721	2.0887287455979133	0.5547581332782238	0.4371608404080896	3.5002499203435478	0.09756556770028407	0.07256557601339629	0.36622565525426065	0.3237198823890401	0.06843048871495087	0.06001254233047032	0.10925502841069468	0.1369915647857676	56.32380523271837	0.5755648110116126	0.022210069357814843	1.6033629951693642	0.0716679377290453	3.800034133698135	nan	
