
 Oxidised N;

year;ARC;BAP;BOB;BOS;GUF;GUR;KAT;SOU;WEB
1998;    9.1179;  178.4768;   11.9872;   25.5268;   19.8718;   12.8928;   27.7574;    3.5789;   30.9812
1999;    9.4471;  170.3788;   11.2798;   25.9299;   19.4512;   12.7437;   31.0631;    3.2512;   27.8418
2000;   10.3723;  175.3037;   13.2647;   31.5007;   20.1125;   12.8492;   32.3114;    3.5353;   29.0795
2001;    8.8355;  164.8899;   10.5069;   24.1376;   18.1746;   12.3431;   26.9908;    3.1876;   26.5105
2002;    7.1692;  153.7568;    8.1137;   19.2674;   15.7481;   10.4160;   25.1097;    3.0124;   25.6594
2003;    8.2319;  149.5949;   10.3769;   23.1766;   18.3244;   11.0982;   26.9834;    2.9775;   25.5167
2004;    7.2917;  144.9488;    8.8009;   19.1842;   17.9690;   11.0776;   24.4359;    2.9001;   25.4110
2005;    7.6957;  149.2439;   11.1993;   22.3589;   17.6801;   11.2874;   25.8031;    2.8148;   25.2866
2006;    7.9629;  160.3915;    9.3401;   23.3007;   16.6505;   11.0201;   28.2832;    3.1549;   27.5839
2007;    7.8827;  151.6237;    9.0007;   19.5878;   18.8337;   11.9198;   22.0369;    2.9798;   23.9304
2008;    7.9903;  148.9928;    9.0332;   20.9281;   19.6573;   12.2472;   23.4582;    2.6593;   23.2514
2009;    7.1241;  138.5287;    8.3686;   19.6337;   14.8869;   10.1073;   23.7236;    2.7532;   23.9318
2010;    7.4660;  147.4791;    9.5958;   22.8259;   17.0347;   10.7827;   20.6920;    2.4116;   22.7349
2011;    7.6101;  142.9106;    9.4530;   21.4686;   16.8160;   11.1221;   23.9052;    2.6195;   24.4094
2012;    8.9235;  153.1959;   10.9862;   24.2774;   18.5192;   12.2267;   24.5523;    2.8216;   24.6316
2013;    7.0804;  127.0415;    7.3222;   16.3157;   15.7944;    9.5095;   20.4034;    2.3721;   22.7557
2014;    6.8162;  133.6692;    8.4339;   20.0647;   14.4876;    9.1228;   24.1779;    2.6303;   24.3594
2015;    6.6118;  140.8548;    8.6173;   18.3771;   15.1216;   10.0685;   23.9255;    2.9818;   27.6609
2016;    5.6557;  113.6961;    7.8065;   17.7960;   14.2048;    8.0569;   20.9024;    2.3386;   23.5167
2017;    6.0750;  128.9428;    7.6672;   17.4746;   14.5609;    9.1652;   22.0330;    2.6139;   24.2368
2018;    6.2222;  118.1644;    8.0773;   18.3887;   14.4527;    9.0103;   20.0685;    2.3372;   20.5037
2019;    7.1308;  126.7410;    7.2613;   19.1148;   15.4293;   10.0896;   21.9018;    2.4230;   21.4578
