
 Oxidised N;

year;OR1;OR2;OR3;OR4;OR5;EEZ100;EEZ1065;EEZ1071;EEZ108;EEZ109;EEZ110;EEZ1100;EEZ119;EEZ1213;EEZ185;EEZ188;EEZ189;EEZ190;EEZ191;EEZ2065;EEZ209;EEZ2100;EEZ212;EEZ213;EEZ215;EEZ216;EEZ2209;EEZ2213;EEZ2216;EEZ224;EEZ273;EEZ3108;EEZ3209;EEZ3213;EEZ4091;EEZ4209;EEZ4213;EEZ4273;EEZ48;EEZ5065;EEZ5071;EEZ5091;EEZ5100;EEZ5108;EEZ5209;EEZ5213;EEZ5273;EEZ65;EEZ71;EEZ91;EEZ99
2003;    0.6216;   11.8826;   17.1234;   44.7266;    1.9476;    0.8501;    0.3113;    0.0665;    2.4413;    4.7811;    1.8586;   22.0947;   18.0672;   27.6706;    0.7433;   55.6359;    0.0058;    4.3875;  118.1186;    3.7508;   67.2824;   11.7126;   64.8429;   38.1779;    4.6499;   34.1736;   25.3784;    9.5827;   40.3109;     7.496;   34.0662;    0.2481;    29.683;    3.8563;    3.1249;     4.138;    4.1286;    0.3046;   19.3482;    0.2744;   10.2754;    4.4906;   15.7508;   21.2614;   11.6246;    0.4009;   92.9272;  193.7899;   75.6853;   72.7275;   95.2082
2004;    0.3857;    6.5761;   11.0795;   25.1829;    1.5107;    0.7305;    0.1743;    0.0404;    1.4038;    4.4692;    1.9847;   24.1297;   17.9507;   23.4643;    0.6853;   45.4688;    0.0048;     5.091;  104.3967;    5.5235;   52.1553;   10.3335;   64.9728;   34.1648;     4.385;   29.5662;   14.9569;    6.9925;   30.2615;    7.6106;   27.9652;    0.1398;   26.1324;    5.0371;    2.0155;    3.9299;    4.3682;    0.2066;   10.2261;    0.1776;    7.6188;    3.4338;     9.277;   15.0094;   11.9788;    0.3612;    68.412;  185.3573;   52.5584;   62.6594;   70.0742
2005;    0.3762;    6.1915;   10.3852;   25.7834;    1.5442;    0.7187;    0.2023;    0.0303;    2.0167;    4.6347;    1.8284;   23.6182;   19.0123;   23.7592;    0.5584;   45.0654;    0.0048;    2.7001;   99.6549;    2.5202;   66.9922;   10.2551;   60.2322;   39.7945;    2.4167;   29.2764;   16.9096;    6.0424;    31.285;    7.2244;   28.6205;    0.1275;   26.0069;    4.7125;    1.5125;    2.4947;     3.805;    0.1692;    8.8739;    0.1473;    5.9935;    3.2695;    8.2624;   12.8799;   11.0294;    0.4069;   73.6805;  187.0079;   54.5945;   62.7203;   71.6004
2006;     0.526;    8.0962;    6.8817;   33.7455;    1.7547;    0.7746;    0.2569;    0.0381;     1.991;    5.2847;    1.8334;   21.5953;    17.745;   24.4742;    0.6556;   52.1858;    0.0054;    2.5925;  111.1085;    3.3112;   59.7759;   11.1425;   66.0886;    33.881;    3.6571;   31.0719;   18.9014;    8.1746;   35.0049;    6.6785;   32.6513;    0.2148;    27.342;    5.2621;    1.7671;    1.8286;     3.518;    0.2637;   14.8442;    0.2173;    7.8091;    3.7299;   10.5188;    8.7103;   10.1966;     0.402;    66.573;  186.2496;   62.4605;   68.2483;   89.9865
2007;     0.267;    4.2336;    5.2896;   24.9668;    1.6352;    0.7173;    0.1291;     0.012;    1.2505;    4.2358;    1.5984;   19.2953;    16.126;   20.4288;    0.3176;   49.9849;    0.0031;    1.5548;   77.7639;     1.545;   45.3483;   10.2663;   45.9567;   25.0174;     1.485;   33.9239;   14.5882;    7.3232;   25.9427;    8.7233;   32.2029;    0.1543;   28.7252;    5.8186;    1.0099;    2.1868;    5.5022;    0.1348;   10.3786;    0.1925;    4.4597;    5.1986;    5.5611;    7.4765;   14.2255;     0.448;    49.705;  146.4434;   48.1742;   70.8042;   86.0356
2008;     0.309;    5.8413;   11.3759;   29.6997;    1.4771;    0.6921;    0.1407;    0.0345;    1.4824;    4.8806;    1.9399;    25.109;   18.8553;     22.75;    0.3864;   40.9499;    0.0034;    2.8636;   97.9754;    1.7014;   40.6112;   10.3794;   59.5465;   26.9121;    3.4468;   26.0733;   16.7992;    6.2004;    29.996;    6.4737;   24.2185;    0.1164;   22.3821;     4.247;     1.816;    3.9438;    3.2948;    0.1649;   12.9005;    0.1516;    6.8341;    3.6913;    8.0437;   15.3197;    9.7685;    0.2995;   52.6076;  173.8173;    53.341;   53.9109;   77.9972
2009;    0.2933;    5.3879;    9.9799;   23.0422;    1.3713;    0.6316;    0.1472;    0.0225;    1.5338;    4.8825;    1.7994;   22.9936;   20.3386;   27.9958;    0.4233;    41.485;    0.0037;    2.6787;   92.6601;    2.8547;   64.2189;    9.9291;   57.8473;   42.1294;    3.1296;   24.4152;   14.4191;    5.2023;   27.8906;    5.9804;   26.2442;    0.0903;   21.6936;    4.8173;    1.1996;    2.4902;    3.9954;    0.1424;    8.6232;    0.1094;    5.2981;    2.7215;    7.0108;   12.4701;    9.9758;    0.3199;    59.886;  191.3724;   47.8635;   54.5484;   71.0821
2010;    0.2537;    4.0701;    5.6045;   27.6914;    1.4583;    0.7024;     0.119;    0.0174;    1.2349;    4.4537;    1.8615;   23.6965;   18.1399;   23.3539;    0.3209;   49.8453;    0.0026;    1.8897;   87.8523;    1.8688;   47.7774;   10.7141;   52.3231;   32.5471;    1.8002;   33.5356;   17.1107;     6.169;   28.6137;    8.2537;   32.7788;    0.1473;     29.21;    6.5935;    1.1504;    1.7837;    4.4212;    0.1322;   10.5808;    0.1834;    5.5333;    4.3256;    5.5414;    7.3882;   12.6748;    0.4264;   45.5547;  170.4714;   52.2096;   71.2139;   82.5863
2011;    0.3469;    6.5947;    9.7308;   24.8605;    1.3238;    0.6128;    0.1599;    0.0385;    1.7922;    5.1422;    1.8397;   22.1578;   18.4805;   25.8428;    0.5033;   41.7035;    0.0035;    2.8629;   99.4437;    4.2223;   60.3198;    9.7125;   60.4653;   38.3915;     4.638;   28.7182;   14.9224;    5.6243;   30.5574;    9.3253;   26.2525;     0.089;   25.5421;    5.0322;    1.9954;    2.4685;    5.5557;    0.1835;    9.9381;    0.1143;    6.5398;    3.1761;    9.0934;   12.1993;    14.881;    0.3529;   70.1141;   185.506;   51.4619;   61.8392;   73.3631
2012;    0.3418;    3.6129;    6.0305;   28.3156;    1.4381;    0.7472;    0.1687;    0.0184;    0.8792;    4.9816;    1.9496;   24.7383;    21.097;   25.7782;    0.3031;    42.233;    0.0034;    1.4791;   88.1884;    1.8301;   41.0128;   10.7127;   53.1466;    27.615;    1.3856;   26.8967;   17.1356;    6.2936;    28.588;    6.8426;   25.0573;    0.1325;   24.1413;    3.5584;    1.2005;    2.2639;    3.2762;    0.1696;     11.18;    0.1694;    5.4421;    2.7554;    5.1165;    8.2944;   10.1188;    0.3523;   40.6971;  173.4659;   52.3577;   56.9509;   64.2376
2013;    0.3124;    4.2589;    9.0952;   39.1097;    1.8722;    0.8397;    0.1485;    0.0272;    1.1083;    4.3265;    1.9941;   22.6725;   19.2567;   23.3255;    0.3611;   53.4797;    0.0036;    1.2767;  101.5843;    2.6017;   46.0108;    12.964;   57.7512;   29.6445;    1.7181;    29.627;   20.0627;    7.8964;   32.6259;    7.2617;   32.4335;    0.1246;   26.2882;     4.798;    1.7573;    4.4599;    4.0315;    0.1602;   19.0471;    0.1858;    9.9741;    3.3388;    6.3773;   13.5552;   11.2931;    0.4517;   47.2959;  175.9133;   60.9387;    66.836;   97.5189
