          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.157699;     0.089617;     0.581208;     0.086868;     0.148564;     0.129280;     3.391919;     0.317137;     0.043441;     0.144081;     0.091986;     3.114393;     3.479100;     0.045765;     0.087390;     1.503370;     0.003702;     0.266168;     0.126848;     0.056135;     0.041484;     0.015423;     1.355691;     0.049699;     0.438510;     0.114469;     0.067447;     0.082836;     0.161917;     0.257139;     0.052854;     0.054551;     0.036155;     0.041455;     0.049699
EEZ65       ;     0.031290;     0.033675;     0.183097;     0.075811;     0.052124;     0.054853;     1.415728;     1.152517;     0.016783;     0.059060;     0.043056;     1.070126;     2.759328;     0.018866;     0.046079;     0.821078;     0.011422;     0.068498;     0.083215;     0.031014;     0.043644;     0.023728;     0.447470;     0.174316;     0.261992;     0.039986;     0.038318;     0.032811;     0.056594;     0.377451;     0.018159;     0.037316;     0.031399;     0.060879;     0.174316
EEZ71       ;     0.049461;     0.034339;     0.328097;     0.182814;     0.044088;     0.165097;     1.930156;     0.796279;     0.052580;     0.095134;     0.068649;     0.950334;     1.614237;     0.011792;     0.055504;     0.827482;     1.831226;     0.070781;     0.104690;     0.042524;     0.044678;     0.017640;     0.589566;     0.220943;     0.605901;     0.049737;     0.072430;     0.026704;     0.158279;     0.305809;     0.015769;     0.051465;     0.035358;     0.118510;     0.220943
EEZ91       ;     0.058156;     0.014948;     0.230985;     0.053932;     0.101919;     0.053349;     1.502879;     0.062581;     0.011934;     9.891007;     0.015168;     5.647087;     1.146745;     0.018681;     0.029272;     0.304273;     0.009090;     0.196192;     0.046646;     0.033767;     0.026350;     0.007291;     0.354210;     0.019846;     0.087890;    23.458408;     0.029321;     0.015696;     0.056399;     0.027533;     0.025410;     0.026400;     0.013715;     0.030070;     0.019846
EEZ99       ;     0.002103;     0.000194;     0.012643;     0.001279;     0.001769;     0.000198;     0.017595;     0.002729;     0.000213;     0.130809;     0.000130;     0.995960;     0.024607;     0.000555;     0.000210;     0.023808;     0.000198;     0.002483;     0.001023;     0.000153;     0.000369;     0.000148;     0.016968;     0.000136;     0.000198;     0.024191;     0.000202;     0.000198;     0.002146;     0.000166;     0.000364;     0.000299;     0.000200;     0.001619;     0.000136
EEZ100      ;     0.000879;     0.000312;     0.004433;     0.003665;     0.001441;     0.001444;     0.053757;     0.042654;     0.000334;     0.000973;     0.001352;     0.058472;     0.206043;     0.000252;     0.000486;     0.064307;     0.000113;     0.002261;     0.003563;     0.000311;     0.001207;     0.000150;     0.014556;     0.002066;     0.014554;     0.000523;     0.000421;     0.000306;     0.000653;     0.011151;     0.000292;     0.000517;     0.000305;     0.001181;     0.002066
EEZ108      ;     0.064507;     0.026175;     0.702443;     0.114204;     0.066882;     0.060455;     1.912390;     0.454861;     0.021473;     0.120207;     0.023568;    10.217983;    13.343396;     0.019556;     0.040269;    51.897930;     0.010021;     0.137096;     0.044963;     0.060344;     0.013268;     0.015758;     1.004641;     0.039096;     0.170107;     0.160155;     0.056585;     0.030042;     0.077340;     0.088660;     0.021738;     0.042464;     0.051321;     0.110012;     0.039096
EEZ109      ;     0.000234;     0.000234;     0.035650;     0.001419;     0.003406;     0.000208;     0.034318;     0.011545;     0.000234;     0.000234;     0.000234;     3.802419;     0.668304;     0.000234;     0.000234;     0.098225;     0.000234;     0.000234;     0.000193;     0.000481;     0.000234;     0.000949;     0.032509;     0.000234;     0.000303;     0.000239;     0.000865;     0.000238;     0.000240;     0.000234;     0.000232;     0.000234;     0.001027;     0.003951;     0.000234
EEZ110      ;     0.000075;     0.000075;     0.003532;     0.000058;     0.000968;     0.000075;     0.014325;     0.002726;     0.000075;     0.000075;     0.000075;     2.488610;     0.085087;     0.000074;     0.000075;     0.027805;     0.000075;     0.000075;     0.000131;     0.000748;     0.000072;     0.000057;     0.009140;     0.000075;     0.000075;     0.000075;     0.000093;     0.000164;     0.000075;     0.000075;     0.000037;     0.000075;     0.000102;     0.000075;     0.000075
EEZ119      ;     0.000055;     0.000055;     0.000561;     0.000311;     0.000052;     0.000139;     0.003988;     0.002805;     0.000045;     0.000821;     0.000133;     0.003644;     0.009462;     0.000033;     0.000101;     0.003296;     0.000139;     0.000142;     0.000244;     0.000042;     0.000056;     0.000033;     0.001171;     0.000272;     0.001334;     0.000480;     0.000074;     0.000034;     0.000224;     0.000681;     0.000008;     0.000090;     0.000033;     0.000169;     0.000272
