          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ189      ;     0.173421;     0.004453;     9.427950;     0.186815;     0.094069;     0.011028;    20.679970;     2.021147;     0.004686;     0.004686;     0.005506;     3.224032;     4.093057;     0.039017;     0.026811;     0.497527;     0.004432;     0.004972;     0.036822;     0.104558;     0.007673;     0.038527;    44.703041;     0.049758;     0.982892;     0.004683;     0.070303;     0.024481;     0.014008;     0.159796;     0.012327;     0.058226;     0.004686;     0.400876;     0.049758
EEZ190      ;     0.066169;     0.003753;     0.708924;     0.203267;     0.049723;     0.015361;    30.610455;     4.550609;     0.002703;     0.002703;     0.003399;     0.354401;     0.857349;     0.026301;     0.026278;     0.173711;     0.002343;     0.004406;     0.033609;     0.027163;     0.004011;     0.029253;    14.800463;     0.050900;     0.888975;     0.002698;     0.052530;     0.022276;     0.015347;     0.233804;     0.006791;     0.039836;     0.002793;     0.317789;     0.050900
EEZ191      ;     0.089819;     0.013998;     0.404988;     0.566226;     0.061961;     0.082412;     8.958150;    35.451942;     0.006325;     0.005078;     0.049215;     0.570904;     1.338916;     0.029263;     0.078879;     0.321820;     0.003932;     0.043522;     0.179945;     0.018395;     0.023922;     0.028280;     3.421389;     0.434562;     1.339671;     0.005267;     0.086623;     0.032712;     0.114713;     2.448673;     0.013896;     0.074095;     0.006383;     0.504573;     0.434562
EEZ209      ;     0.231944;     0.021252;     4.896977;     0.063710;     0.321538;     0.020210;     3.048604;     0.333684;     0.017497;     2.740760;     0.024227;   163.844620;     6.234088;     0.059103;     0.030373;     3.868794;     0.013969;     0.162624;     0.028061;     0.197305;     0.014553;     0.019923;     3.660339;     0.034917;     0.089892;     0.202577;     0.052562;     0.029635;     0.033128;     0.077472;     0.027241;     0.035498;     0.015448;     0.060535;     0.034917
EEZ212      ;     0.016363;     0.009111;     0.113197;     0.261916;     0.024417;     0.056797;     0.756638;     0.362195;     0.052499;     0.060677;     0.132485;     0.529084;     1.155839;     0.006709;     0.019034;     0.483630;     0.417229;     0.047187;     0.121700;     0.014453;     0.054312;     0.010098;     0.160824;     0.324398;     0.460254;     0.012020;     0.030707;     0.007351;     0.536351;     0.396993;     0.021779;     0.015847;     0.010741;     0.170767;     0.324398
EEZ213      ;     0.543540;     0.062818;     8.379253;     0.806932;     0.474873;     0.408970;    19.261587;     6.895916;     0.058247;     0.188592;     0.157397;    34.828186;   130.814331;     0.138964;     0.186964;    23.727188;     0.075103;     0.509512;     0.250428;     0.227012;     0.103633;     0.124345;    11.354018;     0.796415;     3.991238;     0.112916;     0.467295;     0.088932;     0.612245;     1.538590;     0.079279;     0.345722;     0.050327;     1.698790;     0.796415
EEZ215      ;     0.048439;     0.081621;     0.125201;     0.669081;     0.039363;     0.150618;     1.413613;     2.275843;     0.186073;     0.182011;     0.503823;     0.718764;     1.308622;     0.021558;     0.113119;     0.502806;     0.133919;     0.175550;     0.494298;     0.023038;     0.200136;     0.013745;     0.230006;     1.096905;     1.640300;     0.035111;     0.098090;     0.056696;     2.433710;     1.346131;     0.040231;     0.084115;     0.062034;     0.365526;     1.096905
EEZ216      ;     0.144359;     0.074039;     1.016085;     1.747472;     0.150982;     0.154858;     7.517719;    10.489117;     0.099363;     0.128367;     0.678120;     2.632052;     5.680347;     0.073504;     0.140924;     1.142745;     0.054371;     0.301221;     0.707596;     0.061364;     0.184933;     0.051961;     1.932551;    12.118574;     2.442036;     0.033256;     0.181066;     0.079103;     1.489114;     4.285636;     0.056985;     0.117992;     0.063559;     1.179041;    12.118574
EEZ224      ;     0.020598;     0.012237;     0.050215;     0.158986;     0.013839;     0.032095;     0.603753;     0.483627;     0.019647;     0.027341;     0.044963;     0.182126;     0.609148;     0.009216;     0.025997;     0.243832;     0.072589;     0.037854;     0.058132;     0.010142;     0.019762;     0.003475;     0.115447;     0.164568;     0.233176;     0.007596;     0.025101;     0.009705;     0.135556;     0.220423;     0.009957;     0.021485;     0.005475;     0.117373;     0.164568
EEZ273      ;     0.140255;     0.029081;     2.119453;     0.032690;     0.209223;     0.045428;     2.437155;     0.377806;     0.025810;    24.271946;     0.027721;    55.954189;     3.591942;     0.078568;     0.042531;     2.994107;     0.021210;     0.630256;     0.019843;     0.161845;     0.022416;     0.016060;     2.160984;     0.064428;     0.075182;     2.806052;     0.043465;     0.039892;     0.032115;     0.069225;     0.034706;     0.029182;     0.020826;     0.074966;     0.064428
OR1         ;     0.284470;     0.182831;     1.790508;     3.393859;     0.352722;     0.452292;    11.292338;     9.496945;     0.443852;     0.534717;     2.882798;     7.603283;    14.209580;     0.119023;     0.339140;     6.296215;     3.414652;     0.700051;     1.412741;     0.153473;     0.539548;     0.126123;     3.014771;    12.294823;     4.256353;     0.173492;     0.417707;     0.153782;     9.931241;     6.233397;     0.140465;     0.281293;     0.178096;     2.302611;    12.294823
OR2         ;     0.895466;     0.109652;    27.550137;     2.773624;     0.766145;     0.510846;    84.704971;    61.515202;     0.076827;     0.156002;     0.299477;    61.525192;    91.312943;     0.266116;     0.384464;     7.875622;     0.055789;     0.598962;     0.870704;     0.471550;     0.204815;     0.223592;    74.905304;     8.050710;     8.692729;     0.055803;     0.717804;     0.212692;     1.153407;     9.549613;     0.128915;     0.554268;     0.069871;     3.695004;     8.050710
OR3         ;     0.266463;     0.029540;     2.051507;     0.143719;     0.232687;     0.290763;     5.827468;     0.942953;     0.023578;     0.115278;     0.033521;    50.641342;    67.301300;     0.064595;     0.128318;    50.281372;     0.026112;     0.281797;     0.057042;     0.087014;     0.029249;     0.037064;     2.645498;     0.076683;     1.041121;     0.110505;     0.170703;     0.036983;     0.139729;     0.233587;     0.038686;     0.144788;     0.023383;     0.332935;     0.076683
OR4         ;     0.301929;     0.047947;     2.514446;     0.086432;     0.389241;     0.056020;     3.353892;     0.643127;     0.039827;    29.227085;     0.052757;   179.185715;     4.715702;     0.119546;     0.065502;     5.341777;     0.029222;     0.637604;     0.041876;     0.284024;     0.034202;     0.036222;     3.649417;     0.081833;     0.116348;    17.985876;     0.096743;     0.067276;     0.064552;     0.147344;     0.057505;     0.061155;     0.035300;     0.114727;     0.081833
OR5         ;     0.600971;     0.231212;     6.224866;     0.433118;     0.725475;     0.722535;    13.806845;     2.430299;     0.175271;     4.722087;     0.209443;    69.175156;    37.580170;     0.218423;     0.366993;    37.478806;     0.521276;     2.047781;     0.173128;     0.375778;     0.142940;     0.110956;     6.358613;     0.540753;     2.403841;     2.762025;     0.354143;     0.202533;     0.601868;     0.824828;     0.200026;     0.262221;     0.156875;     0.702981;     0.540753
