            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.355520;     0.113760;     1.919225;     0.044102;     0.130819;     0.284792;     0.825797;     5.785316;     0.224119;     0.131405;    26.137558;     0.188688;    14.928044;    16.080338;     0.034857;     0.033989;     0.095698;     0.950382;     0.167788;     0.791751;     0.032182;     0.183327;     0.026914;     0.019753;     2.257092;     0.584250;     0.770186;     6.710948;     0.043510;     0.114952;     1.101533;     0.242070;     0.033224;     0.035043;     0.035860;     0.078535;    64.641304;     0.390013;     0.004551;     3.250720;     0.047431;     4.590899;   219.954773
EEZ65       ;     0.891720;     0.037583;     8.860206;     0.043248;     0.147576;     0.610384;     1.610929;    21.400597;     4.030810;     0.085824;     8.539744;     2.073451;    20.039761;    84.127182;     0.033735;     0.093682;     0.425757;    10.018550;     0.389340;     1.851360;     0.186038;     0.540714;     0.159556;     0.018678;    11.333283;     7.345349;     2.155810;     1.065553;     0.085069;     0.037804;     1.751903;     3.005481;     0.102772;     0.114245;     0.033934;     0.199948;    16.594572;     4.470158;     0.015376;     1.377080;     0.021112;    23.848175;    25.041950
EEZ71       ;     1.045546;     0.125401;     8.666409;     0.127773;     0.186766;     0.886305;     1.649071;    20.755930;     3.751750;     0.079275;    21.221363;     2.042645;    28.501520;    96.312866;     0.121522;     0.135667;     0.376694;     9.966757;     3.434159;     2.953782;     0.107012;     0.722919;     0.090861;     0.109412;    11.509084;     7.578578;     2.726748;     4.783112;     0.127124;     0.128360;     2.733337;     2.976882;     0.160411;     0.212671;     0.122985;     0.234824;    40.226978;     4.405334;     0.007637;     2.821854;     0.050310;    24.414961;   102.750328
EEZ91       ;     0.869417;     0.047144;     2.041827;     0.040440;     0.054197;     0.629260;     0.903287;     7.136902;     0.801515;     0.055872;    34.569019;     0.037099;    13.176904;    14.554251;     0.067610;     0.118339;     0.158928;     1.226264;     0.072878;     5.037627;     0.053897;     0.206551;     0.044765;     0.050508;     2.529507;     0.649555;     0.167567;    24.797558;     0.056493;     0.052195;     0.065413;     0.255134;     0.174753;     0.067377;     0.051730;     0.055872;    61.193222;     0.952695;     0.011083;    20.079296;     0.809579;     5.368760;    36.461704
EEZ99       ;     0.046393;     0.000496;     0.125948;     0.000398;     0.002793;     0.039426;     0.039543;     0.474339;     0.030313;     0.000496;     1.949942;     0.003915;     0.967673;     0.409132;     0.001766;     0.002620;     0.009092;     0.025449;     0.000978;     0.144771;     0.001811;     0.011133;     0.001213;     0.000132;     0.111531;     0.016183;     0.033449;     0.383485;     0.001239;     0.001450;     0.014199;     0.016276;     0.004918;     0.003887;     0.002412;     0.000496;     0.853865;     0.033774;     0.000496;     0.164272;     0.005954;     0.165965;     0.266377
EEZ100      ;     0.039214;     0.001215;     0.309717;     0.002080;     0.005772;     0.028579;     0.119015;     1.306033;     0.203610;     0.001414;     0.530422;     0.050650;     0.807576;     3.484002;     0.002187;     0.002871;     0.021404;     0.509420;     0.009704;     0.048073;     0.004518;     0.023320;     0.003224;     0.000869;     0.447596;     0.263851;     0.205588;     0.057688;     0.004036;     0.001108;     0.053016;     0.088969;     0.003302;     0.005976;     0.001133;     0.004916;     0.761549;     0.177213;     0.000898;     0.056463;     0.001206;     1.001972;     0.877630
EEZ108      ;     1.495296;     0.098689;    16.039488;     0.098467;     0.654813;     0.831143;     3.014024;    43.956940;     4.218417;     0.178751;    44.659012;     1.189125;    56.239697;   114.343376;     0.083492;     0.176255;     0.370326;    22.990522;     0.400521;     4.660640;     0.532400;     1.342104;     0.453703;     0.041401;    16.063032;     3.762604;     5.468621;     9.870794;     0.162281;     0.087475;     3.719867;     2.323594;     0.228969;     0.196163;     0.226187;     0.218870;    65.274994;     4.577958;     0.051461;     6.250669;     0.116624;    32.704071;    67.571198
EEZ109      ;     0.109506;     0.001945;     0.727785;     0.003419;     0.046010;     0.046545;     0.264135;     1.605083;     0.113667;     0.004227;     2.851301;     0.039735;     3.510104;     1.905470;     0.005433;     0.015498;     0.048826;     0.202043;     0.004027;     0.429853;     0.031127;     0.021988;     0.020357;     0.002424;     0.618089;     0.056516;     0.621211;     0.378149;     0.032314;     0.009402;     0.160254;     0.102512;     0.028596;     0.028782;     0.016557;     0.029755;     1.686647;     0.143123;     0.001632;     0.263826;     0.005842;     1.434291;     1.038994
EEZ110      ;     0.029606;     0.001321;     0.167519;     0.001505;     0.010029;     0.008990;     0.073220;     0.346070;     0.027333;     0.001453;     0.937118;     0.008807;     1.346853;     0.625828;     0.000927;     0.003640;     0.012495;     0.078140;     0.001237;     0.095889;     0.005571;     0.004701;     0.003144;     0.000647;     0.123720;     0.013643;     0.126247;     0.101380;     0.009041;     0.001924;     0.033967;     0.023657;     0.005742;     0.009838;     0.004272;     0.007529;     0.549720;     0.026386;     0.000540;     0.098453;     0.002422;     0.496698;     0.281778
EEZ119      ;     0.002102;     0.000282;     0.020719;     0.000282;     0.000413;     0.001066;     0.004653;     0.050111;     0.012804;     0.000507;     0.032166;     0.016497;     0.051245;     0.282467;     0.000282;     0.000467;     0.000612;     0.033600;     0.003450;     0.005193;     0.001180;     0.001113;     0.000902;     0.000209;     0.027802;     0.026298;     0.004668;     0.002838;     0.000282;     0.000282;     0.007059;     0.017110;     0.000471;     0.000117;     0.000282;     0.000282;     0.097598;     0.022912;     0.000012;     0.006338;     0.000070;     0.067352;     0.171905
EEZ123      ;     0.061484;     0.002512;     0.838802;     0.004564;     0.005123;     0.072075;     0.180643;     1.892390;     0.460308;     0.004362;     0.926503;     0.114676;     2.110871;     5.962911;     0.004564;     0.008152;     0.015628;     0.379626;     0.080848;     0.189994;     0.004183;     0.063282;     0.004279;     0.004564;     1.060706;     0.592235;     0.159211;     0.146900;     0.004227;     0.004564;     0.131677;     0.193424;     0.009281;     0.006217;     0.004369;     0.004583;     1.046712;     0.393010;     0.000634;     0.148862;     0.002769;     1.970426;     2.182851
EEZ185      ;     0.417281;     0.030195;     2.653830;     0.015726;     0.261189;     0.386250;     0.818939;    14.552338;     3.808128;     0.041527;     2.587952;     0.257019;     6.881967;    13.438878;     0.019313;     0.083336;     0.242107;     0.613279;     0.017950;     1.577833;     0.237812;     0.203258;     0.129738;     0.009577;     3.796812;     0.669973;     2.460746;     0.193684;     0.089576;     0.033122;     1.084400;     2.026135;     0.076158;     0.122863;     0.026135;     0.145579;     1.426298;     4.012487;     0.001829;     0.301747;     0.027701;     7.485654;     2.081669
EEZ187      ;     0.004153;     0.000028;     0.021520;     0.000089;     0.003667;     0.003438;     0.008023;     0.145768;     0.035032;     0.000496;     0.025689;     0.002074;     0.062111;     0.110437;     0.000160;     0.000741;     0.002993;     0.004056;     0.000121;     0.011165;     0.002706;     0.002227;     0.001595;     0.000097;     0.033575;     0.007653;     0.019976;     0.001291;     0.000575;     0.000028;     0.011605;     0.020546;     0.000730;     0.001478;     0.000192;     0.001719;     0.009905;     0.027916;     0.000008;     0.002546;     0.000229;     0.074988;     0.016654
EEZ188      ;     0.122850;     0.009074;     0.686857;     0.004978;     0.024721;     0.041691;     0.097630;     1.276168;     0.110304;     0.008419;     1.154405;     0.031881;     3.328335;     5.362196;     0.003929;     0.011752;     0.025055;     0.244842;     0.006770;     0.203144;     0.015214;     0.058090;     0.011065;     0.000937;     0.416596;     0.090395;     0.246683;     0.117884;     0.030287;     0.007694;     0.204171;     0.077564;     0.017424;     0.014248;     0.006086;     0.028827;     0.787663;     0.148377;     0.001098;     0.110016;     0.003814;     1.999411;     0.844457
EEZ189      ;     0.892768;     0.116989;    12.497480;     0.090193;     0.342490;     0.906598;     2.044023;    21.554085;     3.362640;     0.165196;    15.761906;     0.605115;    41.184525;   105.056038;     0.066431;     0.170865;     0.245810;     4.626255;     0.112011;     3.592846;     0.241029;     0.626163;     0.243963;     0.021311;     8.790569;     2.711696;     4.021875;     1.588186;     0.249905;     0.084122;     2.590642;     1.723625;     0.137262;     0.233488;     0.105249;     0.418625;    12.858849;     3.860982;     0.033880;     1.836302;     0.101040;    31.300556;    14.225387
