          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.015700;     0.000792;     0.065917;     0.004143;     0.009202;     0.021032;     0.210960;     0.005115;     0.000512;     0.440257;     0.000550;     0.582890;     0.615423;     0.000827;     0.003477;     0.368375;     0.001535;     0.016451;     0.001129;     0.007024;     0.000485;     0.000123;     0.089750;     0.000598;     0.017649;    12.023653;     0.000662;     0.000814;     0.004696;     0.001199;     0.000910;     0.005147;     0.000427;     0.004561;     0.027015
EEZ65       ;     0.005351;    -0.000300;     0.066547;     0.035543;     0.007425;     0.007643;     0.684160;     0.390623;     0.002228;     0.030862;     0.014586;     0.302478;     2.982936;     0.000406;     0.002458;     1.389199;     0.051894;     0.004858;     0.013042;     0.003166;     0.009242;     0.002095;     0.228776;     0.331153;     0.086601;     0.002319;     0.004310;    -0.001073;    -0.003253;     0.167250;     0.000582;     0.001646;     0.000297;    -0.003050;    -0.000995
EEZ71       ;     0.004632;    -0.000732;     0.249526;     0.017424;     0.011175;     0.006273;     1.276474;     0.215574;     0.003963;     0.046065;     0.015613;     0.934697;     2.800870;     0.000339;     0.001425;     1.844802;     4.484952;     0.007425;     0.011592;     0.014070;     0.009118;     0.000421;     0.543993;     0.180763;     0.069772;     0.002903;     0.001388;    -0.000650;     0.040933;     0.117738;     0.000862;     0.001297;    -0.000104;     0.003781;    -0.002375
EEZ91       ;     0.028080;    -0.007021;     0.307968;     0.007047;     0.072093;     0.025832;     1.081015;     0.063690;     0.000744;    30.323668;     0.001095;     6.511953;     1.429022;     0.004649;     0.018224;     0.551598;    -0.000657;     0.311228;     0.003621;     0.038518;     0.001229;     0.002448;     0.441592;     0.006759;     0.046037;    25.213036;     0.010648;    -0.006223;     0.011398;     0.010673;     0.014023;     0.008277;     0.000094;     0.014559;     0.142084
EEZ99       ;     0.001504;    -0.000431;     0.019304;     0.000988;     0.006832;     0.000443;     0.056973;     0.003527;     0.000052;     0.114488;     0.000106;     0.818280;     0.067433;     0.000098;     0.000432;     0.039515;    -0.000021;     0.006871;     0.000442;     0.002620;     0.000206;     0.000043;     0.019452;     0.000378;     0.001674;     0.003980;     0.000245;    -0.000765;     0.000583;     0.000958;     0.000225;     0.000147;     0.000045;     0.000265;    -0.000893
EEZ100      ;     0.000467;    -0.000015;     0.003989;     0.003375;     0.000643;     0.001055;     0.056888;     0.036868;     0.000088;     0.001202;     0.000702;     0.018110;     0.181040;     0.000028;     0.000242;     0.077779;     0.001753;     0.000500;     0.001257;     0.000255;     0.000624;     0.000096;     0.014045;     0.013483;     0.008890;     0.000198;     0.000312;    -0.000062;     0.000355;     0.007880;     0.000029;     0.000156;    -0.000013;    -0.000182;    -0.000036
EEZ108      ;     0.051494;    -0.009496;     1.144710;     0.106693;     0.121114;     0.055128;     5.624203;     0.723527;     0.012190;     0.791809;     0.021073;    12.886112;    20.703346;     0.004726;     0.017291;    61.893463;    -0.004972;     0.097980;     0.062440;     0.077720;     0.026306;     0.004319;     2.364732;     0.102545;     0.385924;     0.096545;     0.013856;    -0.019709;     0.053159;     0.234505;     0.007707;     0.011608;    -0.000680;     0.014665;    -0.005032
EEZ109      ;     0.002549;    -0.001072;     0.194282;     0.001435;     0.009291;     0.003348;     0.417933;     0.015003;     0.000040;     0.054340;     0.000271;     2.959419;     1.330140;     0.000559;     0.001440;     0.370175;    -0.001817;     0.010883;     0.001708;     0.008374;     0.000791;     0.000058;     0.209346;     0.001141;     0.010676;     0.001904;     0.000430;    -0.001976;    -0.000358;     0.004514;     0.000675;     0.000562;    -0.000408;     0.001855;    -0.002507
EEZ110      ;     0.001630;    -0.000492;     0.058957;     0.000686;     0.003780;     0.001579;     0.117700;     0.004558;     0.000026;     0.022025;    -0.000006;     2.111828;     0.284816;     0.000301;     0.000755;     0.103303;    -0.000458;     0.004248;     0.000578;     0.003360;     0.000278;     0.000026;     0.054275;     0.000343;     0.002322;     0.000517;     0.000265;    -0.000953;     0.000212;     0.001563;     0.000315;     0.000290;    -0.000121;     0.000641;    -0.001146
EEZ119      ;     0.000025;    -0.000001;     0.000276;     0.000084;     0.000028;     0.000020;     0.003179;     0.001014;     0.000012;     0.000166;     0.000066;     0.001197;     0.010613;     0.000002;     0.000005;     0.007481;     0.000712;     0.000033;     0.000031;     0.000010;     0.000030;     0.000004;     0.001229;     0.001041;     0.000211;     0.000006;     0.000008;    -0.000002;     0.000041;     0.000518;     0.000005;     0.000005;    -0.000000;    -0.000043;    -0.000006
