          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ189      ;     0.875275;     0.077883;    16.481737;     0.904192;     0.549671;     1.270136;    45.375435;     3.235415;     0.043052;     2.175257;     0.119475;    32.555531;    35.510170;     0.130455;     0.442135;     4.104267;     0.012584;     0.949362;     0.405622;     0.354010;     0.104887;     0.042113;    36.618084;     0.169375;     6.220092;     0.116723;     0.201552;     0.212223;     0.671566;     0.702317;     0.122871;     0.263456;     0.066721;     0.612775;     0.152594
EEZ190      ;     0.572992;     0.178882;     5.454308;     0.646394;     0.341347;     1.395447;    57.599331;     6.175322;     0.053233;     1.118316;     0.101499;    13.340421;    16.582779;     0.160728;     0.516560;     2.159973;     0.009078;     0.491387;     0.259849;     0.224470;     0.089754;     0.039710;    19.792265;     0.201302;     5.817311;     0.056352;     0.303607;     0.446918;     0.694664;     0.920659;     0.073512;     0.216135;     0.063222;     0.573847;     0.107456
EEZ191      ;     0.858279;     0.200813;     5.876122;     1.776980;     0.526162;     2.338198;    53.546104;    41.726631;     0.183444;     2.291679;     0.349035;    17.192602;    24.893524;     0.194607;     0.832993;     4.023078;     0.014290;     0.739933;     0.905699;     0.329885;     0.304886;     0.277008;    15.248135;     0.783727;    14.332102;     0.097366;     0.887488;     0.742224;     2.041169;     5.700531;     0.097702;     0.463173;     0.177784;     1.950781;     0.198847
EEZ209      ;     0.409800;     0.010886;     9.362870;     0.614090;     0.776311;     1.346770;    23.205853;     0.778874;     0.053463;    49.010513;     0.068678;   140.999695;    27.250444;     0.022496;     0.059995;     5.845510;     0.022726;     0.653147;     0.279534;     0.367632;     0.077229;     0.005687;     9.752738;     0.075984;     4.763445;     5.159312;     0.022177;     0.023216;     0.408051;     0.232106;     0.035836;     0.081518;     0.018549;     0.169564;     1.216254
EEZ212      ;     0.660600;     0.203835;     3.109791;     1.281656;     0.201260;     1.678169;    21.135366;     4.581581;     0.236034;     1.338782;     0.687984;     7.671959;    16.589449;     0.157268;     0.568823;     3.544114;     3.042094;     0.435080;     0.610853;     0.142772;     0.242660;     0.216276;     6.601748;     4.398395;     6.724163;     0.140362;     0.515980;     0.677121;     2.883491;     2.433125;     0.097470;     0.343420;     0.517321;     1.783615;     0.534387
EEZ213      ;     3.073143;     0.353321;    27.738457;     5.238159;     2.200732;     6.895252;   133.637009;    19.114550;     0.464665;    18.984602;     0.990482;   140.605911;   295.886414;     0.445834;     1.805964;   100.222275;     0.394526;     3.843062;     2.771925;     1.296657;     0.913826;     0.267910;    46.418594;     6.138167;    35.631508;     2.159417;     1.068190;     1.198181;     5.653974;     6.045981;     0.396138;     1.231053;     0.475853;     3.933839;     1.510403
EEZ215      ;     0.242569;     0.084857;     2.001926;     1.764255;     0.103848;     0.716551;    19.092445;     4.331421;     0.398271;     2.386466;     2.147033;     6.569618;    21.405878;     0.065599;     0.283573;     5.361285;     1.300689;     0.390961;     1.201348;     0.090984;     0.486284;     0.124001;     5.285334;     4.913134;     7.896324;     0.153061;     0.379860;     0.344274;     7.352413;     3.359062;     0.037735;     0.160278;     0.352972;     1.311929;     1.160748
EEZ216      ;     2.170447;     0.454185;    14.531385;     6.175322;     1.357732;     6.048769;   105.764526;    40.060287;     0.820967;     9.198406;     3.399315;    50.640297;   123.478691;     0.495273;     2.471311;    24.635567;     1.055970;     1.178190;     3.508356;     0.708912;     1.315042;     0.969349;    33.556358;    54.285374;    34.794701;     0.937804;     3.045348;     1.990818;    12.023993;    15.627965;     0.270955;     1.479277;     1.038035;     6.721654;     1.160297
EEZ224      ;     0.489634;     0.105681;     1.709473;     0.277413;     0.199412;     1.006264;    12.148961;     2.734454;     0.097659;     0.834749;     0.332151;     5.761461;    14.040097;     0.059756;     0.405299;     3.958379;     0.904966;     0.270722;     0.212758;     0.100804;     0.095303;     0.093660;     4.020022;     3.182094;     2.861598;     0.106673;     0.336879;     0.427116;     0.798275;     1.471814;     0.036822;     0.224614;     0.231202;     0.465257;     0.295583
EEZ273      ;     0.191994;     0.018759;     3.522905;     0.345654;     0.208583;     0.752645;    13.247508;     0.735862;     0.034768;    82.374481;     0.040023;    53.749413;    15.224424;     0.040354;     0.068980;     5.211393;     0.030985;     0.762247;     0.167200;     0.238477;     0.045536;     0.005980;     3.765787;     0.072191;     2.697494;     7.953130;     0.029143;     0.035647;     0.356221;     0.168256;     0.050558;     0.057933;     0.038051;     0.192506;     4.765895
OR1         ;     5.841059;     1.412296;    22.338394;    13.785583;     2.478133;    12.671796;   169.847031;    34.604256;     2.904166;    17.291077;    15.379729;    86.064293;   210.039749;     1.374491;     5.044806;    57.727951;    23.558041;     4.630415;     6.999760;     1.209934;     2.950348;     1.769035;    48.826187;    65.865318;    61.270370;     1.849029;     5.556371;     5.370826;    79.380730;    24.054325;     0.839345;     2.842086;     3.849578;    13.432390;     5.267134
OR2         ;     6.659700;     1.059481;    68.929321;    11.213266;     4.502527;    15.170823;   347.782623;   105.595505;     1.000370;    27.687645;     2.184412;   262.073425;   333.052185;     1.221206;     4.978170;    48.818813;     0.262542;     6.305909;     5.510459;     2.570038;     1.896830;     1.193845;   139.875931;    27.175772;    75.990074;     2.272160;     4.173511;     3.598423;    11.893397;    24.504148;     0.834052;     3.011474;     1.084311;    10.706388;     1.904269
OR3         ;     0.679045;     0.045326;     6.335485;     1.789540;     0.670443;     1.973065;    36.667259;     2.054332;     0.161229;     9.916847;     0.181483;    64.014671;   131.325409;     0.059189;     0.209820;   119.492790;     0.078625;     1.023012;     1.017140;     0.396654;     0.285108;     0.021958;    11.226958;     0.435251;    11.974406;     1.762980;     0.086805;     0.107569;     1.821185;     0.650738;     0.064509;     0.179289;     0.060217;     0.471670;     0.760943
OR4         ;     0.273181;     0.038196;     6.282668;     0.564240;     0.585516;     1.262509;    23.867420;     1.036971;     0.067455;   138.371796;     0.074404;   120.994637;    26.859848;     0.072669;     0.087738;     7.820943;     0.048416;     1.466416;     0.312916;     0.422945;     0.086293;     0.009087;     7.661169;     0.104630;     4.774331;    23.287178;     0.037508;     0.059254;     0.547827;     0.292326;     0.069466;     0.069543;     0.084383;     0.232958;     9.600122
OR5         ;     3.796370;     0.723065;    31.509624;     3.490239;     3.289063;     8.494016;   132.888504;    13.915623;     0.763582;   163.667892;     1.158479;   273.834595;   239.020065;     0.653305;     1.300980;   186.720825;     5.184022;     8.511423;     3.235672;     1.872071;     1.066441;     0.234124;    39.881622;     4.676706;    38.121468;    65.212067;     0.807938;     1.240393;     6.271353;     5.645077;     0.647477;     1.121937;     1.091157;     3.340214;    27.868460
