          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.178082;     0.070957;     7.000394;     0.096877;     0.400791;     0.215439;    15.008067;     1.082112;     0.074381;    17.476343;     0.197823;    49.862396;    15.198960;     0.054594;     0.170568;     8.928247;     0.349680;     0.653509;     0.099989;     0.546828;     0.055224;     0.006205;    10.323633;     0.868546;     0.268048;     2.107065;     0.052565;     0.036693;     0.154748;     0.537137;     0.111933;     0.103059;     0.011165;     0.095407;     0.868546
EEZ65       ;     0.153875;     0.030752;     1.522086;     0.152116;     0.197609;     0.698488;     6.669444;     1.344573;     0.043539;     3.173740;     0.179154;    10.123840;    31.233912;     0.035361;     0.073165;     8.998978;     0.760715;     0.301201;     0.125910;     0.071380;     0.051760;     0.018118;     2.019121;     1.057183;     2.354321;     0.461107;     0.119924;     0.039363;     0.279561;     0.602898;     0.023264;     0.066487;     0.019396;     0.248466;     1.057183
EEZ71       ;     0.289301;     0.050449;     4.548208;     0.874514;     0.333812;     1.155822;    17.092754;     4.654595;     0.202815;    16.579445;     0.617457;    28.093613;    43.800369;     0.061207;     0.138060;    13.490972;    18.161535;     1.098494;     0.679218;     0.269250;     0.253423;     0.063241;     5.840164;     2.186464;     7.577849;     2.883214;     0.398363;     0.078347;     1.628544;     1.745850;     0.045312;     0.150750;     0.023315;     0.897821;     2.186464
EEZ91       ;     0.054992;     0.040726;     0.357566;     0.016713;     0.231611;     0.184131;     2.454998;     0.100872;     0.009749;    20.706226;     0.017477;     8.761395;     0.908146;     0.027294;     0.020625;     0.250906;     0.008101;     0.613696;     0.015664;     0.042643;     0.008865;     0.006200;     0.334566;     0.016265;     0.330432;    16.765821;     0.019465;     0.033305;     0.028294;     0.042406;     0.022302;     0.015532;     0.010480;     0.014277;     0.016265
EEZ99       ;     0.002090;     0.000253;     0.040896;     0.001004;     0.006816;     0.007818;     0.116320;     0.009697;     0.000919;     0.579990;     0.000794;     1.298977;     0.133630;     0.000217;     0.000305;     0.060985;     0.000302;     0.002963;     0.000818;     0.002679;     0.000571;     0.000013;     0.049976;     0.000487;     0.014152;     0.054152;     0.000318;     0.000471;     0.001704;     0.004018;     0.000172;     0.000335;     0.000194;     0.000477;     0.000487
EEZ100      ;     0.004360;     0.000409;     0.045444;     0.003061;     0.009176;     0.023913;     0.156842;     0.035552;     0.001235;     0.073775;     0.007835;     0.387346;     1.356315;     0.000218;     0.000755;     0.563035;     0.018823;     0.008627;     0.002118;     0.002754;     0.001197;     0.000500;     0.047715;     0.018811;     0.053943;     0.014605;     0.001302;     0.000428;     0.007186;     0.023519;     0.000451;     0.000997;     0.001036;     0.003907;     0.018811
EEZ108      ;     0.311978;     0.033257;     2.286385;     0.146554;     0.511197;     0.686539;     9.755562;     1.483525;     0.053236;     5.510625;     0.072262;    35.367546;    43.361488;     0.033435;     0.065943;    90.362083;     0.163618;     0.521886;     0.080648;     0.100850;     0.040606;     0.013791;     3.276599;     0.228888;     2.142830;     1.373637;     0.084248;     0.046304;     0.295007;     0.378930;     0.036083;     0.061331;     0.025722;     0.136529;     0.228888
EEZ109      ;     0.003127;     0.001572;     0.265931;     0.005458;     0.003558;     0.017035;     0.469130;     0.029374;     0.004352;     0.281444;     0.002583;     7.642491;     1.478914;     0.000878;     0.001440;     0.288910;     0.000205;     0.003374;     0.002781;     0.007730;     0.002202;     0.000356;     0.265710;     0.001243;     0.069102;     0.043095;     0.001287;     0.001940;     0.010499;     0.007868;     0.000425;     0.000736;     0.001710;     0.004299;     0.001243
EEZ110      ;     0.000821;     0.000718;     0.054643;     0.000982;     0.000717;     0.004434;     0.094619;     0.005953;     0.000570;     0.080885;     0.000331;     3.685870;     0.279828;     0.000314;     0.000460;     0.108353;     0.000081;     0.001063;     0.000474;     0.001512;     0.000337;     0.000045;     0.054666;     0.000329;     0.009609;     0.012282;     0.000290;     0.000877;     0.001033;     0.001440;     0.000103;     0.000249;     0.000160;     0.000617;     0.000329
EEZ119      ;     0.001138;     0.000066;     0.004465;     0.000897;     0.001295;     0.004766;     0.037916;     0.004529;     0.000266;     0.013811;     0.001155;     0.034726;     0.088156;     0.000180;     0.000248;     0.033366;     0.009426;     0.002096;     0.000724;     0.000322;     0.000255;     0.000055;     0.008924;     0.003882;     0.007044;     0.002088;     0.000465;     0.000075;     0.001759;     0.002489;     0.000131;     0.000303;     0.000075;     0.001025;     0.003882
