            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
HE8         ;     0.011009;     0.005428;     0.021631;     0.001809;     0.138708;     0.004811;     0.012423;     0.303194;     0.178468;     0.071556;     0.002135;     2.479728;     0.075066;     0.060678;     0.001244;     0.004646;     0.012633;     0.022839;     0.001207;     0.015761;     0.064254;     0.001182;     0.060915;     0.007757;     0.063953;     0.113004;     0.157030;     0.001667;     0.015821;     0.004100;     0.025496;     0.788857;     0.003597;     0.006979;     0.001359;     0.030880;     0.001240;     0.021135;     0.001042;     0.001532;     0.000747;     0.001240;     0.001240
HE5         ;     0.143503;     0.034857;     0.595746;     0.042239;     2.493289;     0.221612;     0.124183;    33.572983;    17.493143;     0.840885;     0.021163;     1.689038;     1.688582;     1.057309;     0.027668;     0.106773;     0.288108;     0.575527;     0.019341;     0.133454;     3.288293;     0.026151;     2.266622;     0.117849;     4.293412;     0.755434;    19.572296;     0.016576;     0.506493;     0.081658;     1.530999;    24.278605;     0.044462;     0.112075;     0.022292;     0.233478;     0.019341;     0.057761;     0.018618;     0.021727;     0.007355;     0.019761;     0.019341
HE1         ;     0.006024;     0.001771;     0.005403;     0.002050;     0.062348;     0.003806;     0.005930;     0.078664;     0.029339;     0.004303;     0.001716;     3.027117;     0.041422;     0.010463;     0.001910;     0.001130;     0.002974;     0.004605;     0.001932;     0.005008;     0.011052;     0.000581;     0.015353;     0.001959;     0.014679;     0.064980;     0.021557;     0.001915;     0.003404;     0.001848;     0.006714;     0.815642;     0.000944;     0.002294;     0.001916;     0.009612;     0.001932;     0.001987;     0.001509;     0.001924;     0.001417;     0.001932;     0.001932
HE2         ;     0.033542;     0.005859;     0.032240;     0.005712;     0.268721;     0.015559;     0.025428;     0.489839;     0.343084;     0.055631;     0.005546;     2.978325;     0.175096;     0.119034;     0.005158;     0.009094;     0.018571;     0.049159;     0.005460;     0.031150;     0.085232;     0.003498;     0.096836;     0.007388;     0.107548;     0.487135;     0.161254;     0.003752;     0.015666;     0.004946;     0.024983;     3.654082;     0.006937;     0.011446;     0.005704;     0.026964;     0.004756;     0.007348;     0.004326;     0.004497;     0.002977;     0.004756;     0.004756
HE3         ;     0.024698;     0.002999;     0.060236;     0.003830;     0.591556;     0.020784;     0.038906;     0.696177;     0.228111;     2.595455;     0.005992;     2.605510;     0.169491;     0.113947;     0.004625;     0.012659;     0.040569;     0.029838;     0.002878;     0.034308;     0.186335;     0.003644;     0.334147;     0.017902;     0.163477;     0.104457;     0.354424;     0.001758;     0.061941;     0.007887;     1.904848;     0.607403;     0.007282;     0.014275;     0.003127;     0.122487;     0.002999;     0.003483;     0.002817;     0.003167;     0.001569;     0.003011;     0.002991
HE4         ;     0.016935;     0.001778;     0.047968;     0.008167;     0.509337;     0.015079;     0.038841;     0.685726;     0.273549;     1.082417;     0.002557;     0.254818;     0.134889;     0.093644;     0.003228;     0.009448;     0.037617;     0.029492;     0.001606;     0.025034;     0.521930;     0.002718;     1.823255;     0.021368;     0.138862;     0.051078;     0.525242;     0.001328;     0.053200;     0.011829;     0.102548;     0.613818;     0.004951;     0.015246;     0.002340;     0.030742;     0.001606;     0.019186;     0.004909;     0.002596;     0.000813;     0.001618;     0.001690
HE7         ;     0.008198;     0.002720;     0.089026;     0.002040;     0.077622;     0.016645;     0.004818;     2.516593;    18.178089;     0.007812;     0.002101;     0.031677;     0.300092;     0.395108;     0.002211;     0.003820;     0.007522;     0.137698;     0.002219;     0.002605;     0.034541;     0.002232;     0.029643;     0.004567;     0.713689;     0.247612;     0.388925;     0.002219;     0.019928;     0.003469;     0.012425;     2.928381;     0.001974;     0.003906;     0.002621;     0.021668;     0.002219;     0.033791;     0.001187;     0.002219;     0.000727;     0.002219;     0.002219
HE6         ;     0.001627;     0.000221;     0.015324;     0.000220;     0.010575;     0.001728;     0.000783;     0.596027;     1.644140;     0.000601;     0.000221;     0.003849;     0.035854;     0.024896;     0.000222;     0.000619;     0.001472;     0.012048;     0.000221;     0.000221;     0.006435;     0.000361;     0.006390;     0.000368;     0.100601;     0.006662;     0.072201;     0.000221;     0.001056;     0.000433;     0.000785;     0.531243;     0.000212;     0.000210;     0.000224;     0.000304;     0.000221;     0.010290;     0.000221;     0.000221;     0.000027;     0.000221;     0.000221
HE9         ;     0.003473;     0.001836;     0.187864;     0.001683;     0.043437;     0.019060;     0.011962;    18.120625;    16.715370;     0.002695;     0.001635;     0.019382;     0.305007;     0.182984;     0.001676;     0.006112;     0.015497;     0.147476;     0.001635;     0.001651;     0.041621;     0.003801;     0.047133;     0.001631;     1.624895;     0.038035;     0.465501;     0.001631;     0.011517;     0.002081;     0.001730;     0.405565;     0.001323;     0.006501;     0.001635;     0.013346;     0.001635;     0.251109;     0.000620;     0.001635;     0.000706;     0.001635;     0.001635
