            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
HE8         ;     0.007870;     0.000741;     0.025073;     0.000769;     0.227236;     0.004423;     0.021137;     0.403720;     0.203310;     0.135878;     0.004008;     2.231926;     0.076489;     0.120267;     0.000442;     0.001987;     0.010887;     0.022276;     0.001633;     0.002441;     0.113071;     0.001853;     0.084446;     0.009306;     0.074280;     0.094175;     0.237616;     0.000348;     0.024911;     0.003076;     0.145948;     0.923724;     0.000962;     0.004580;     0.000148;     0.003222;     0.004782;     0.042652;     0.000895;     0.000726;     0.000038;     0.009980;     0.035745
HE5         ;     0.368628;     0.017144;     0.949140;     0.032389;     5.245835;     0.196782;     1.254399;    35.040379;    20.406788;     0.950524;     0.087231;     1.310246;     2.578150;     1.952515;     0.011568;     0.140314;     0.728824;     0.698591;     0.020757;     0.171072;     4.390867;     0.035890;     1.965629;     0.230447;     4.461372;     0.846279;    28.261110;     0.009921;     1.027712;     0.217980;     3.168563;    26.871939;     0.066680;     0.283568;     0.008927;     0.048938;     0.031819;     0.108482;     0.009541;     0.016632;     0.003713;     0.039474;     0.251217
HE1         ;     0.002889;     0.001713;     0.015112;     0.000925;     0.083768;     0.001704;     0.008633;     0.199013;     0.080533;     0.009680;     0.002349;     3.379937;     0.040506;     0.030391;     0.000290;     0.000405;     0.002525;     0.009960;     0.002043;     0.000985;     0.025552;     0.001094;     0.019027;     0.001474;     0.046551;     0.067445;     0.088191;     0.000255;     0.006074;     0.001049;     0.048971;     1.059669;     0.000185;     0.001112;     0.000368;     0.002673;     0.002164;     0.004782;     0.001617;     0.001950;     0.000444;     0.002175;     0.035819
HE2         ;     0.018821;     0.001728;     0.062147;     0.002140;     0.404937;     0.008766;     0.027938;     1.047552;     0.568914;     0.114321;     0.015023;     2.814948;     0.223164;     0.227109;     0.001192;     0.004053;     0.022135;     0.059387;     0.005719;     0.005787;     0.175595;     0.003916;     0.124513;     0.010081;     0.217578;     0.583950;     0.497167;     0.001328;     0.051308;     0.008303;     0.151709;     4.480199;     0.001741;     0.009038;     0.000674;     0.007758;     0.006312;     0.027108;     0.002546;     0.004357;     0.000519;     0.008194;     0.074324
HE3         ;     0.013937;     0.001614;     0.045297;     0.001499;     0.647901;     0.004995;     0.040566;     0.542849;     0.294230;     2.430727;     0.005138;     2.045770;     0.091948;     0.165221;     0.000621;     0.002788;     0.016652;     0.031622;     0.002667;     0.004741;     0.239663;     0.002239;     0.253353;     0.014837;     0.120302;     0.068232;     0.468053;     0.000543;     0.030997;     0.002782;     2.839602;     0.565764;     0.001970;     0.011421;     0.000713;     0.006292;     0.005134;     0.057089;     0.001944;     0.002143;     0.000614;     0.011628;     0.071902
HE4         ;     0.016208;     0.001342;     0.054037;     0.001251;     0.840636;     0.005438;     0.055515;     0.707157;     0.410959;     1.219639;     0.006714;     0.199495;     0.114493;     0.206553;     0.000433;     0.005128;     0.032796;     0.039596;     0.001783;     0.013025;     0.712735;     0.003421;     1.532787;     0.019657;     0.156585;     0.053216;     0.804658;     0.000665;     0.050662;     0.008559;     0.290961;     0.648826;     0.003180;     0.020187;     0.000308;     0.010682;     0.005421;     0.046814;     0.001680;     0.001077;     0.000066;     0.010988;     0.048666
HE7         ;     0.031693;     0.004291;     0.097581;     0.005895;     0.129697;     0.015466;     0.064752;     3.327086;    19.109262;     0.003390;     0.002342;     0.012249;     0.263433;     0.355060;     0.002498;     0.015087;     0.052186;     0.154640;     0.002191;     0.006331;     0.047398;     0.002986;     0.021430;     0.006260;     0.590600;     0.229623;     0.711754;     0.002187;     0.063159;     0.032528;     0.008518;     2.799406;     0.005701;     0.019548;     0.001080;     0.003725;     0.002315;     0.048495;     0.000852;     0.002188;     0.000616;     0.002329;     0.004174
HE6         ;     0.005182;     0.000231;     0.018939;     0.000472;     0.017099;     0.002909;     0.015049;     0.654300;     1.561559;     0.001031;     0.000308;     0.003650;     0.042206;     0.051228;     0.000236;     0.001876;     0.006699;     0.013665;     0.000231;     0.000466;     0.008806;     0.000565;     0.003275;     0.001121;     0.106798;     0.007284;     0.154783;     0.000231;     0.007853;     0.003393;     0.005243;     0.553417;     0.000661;     0.002904;     0.000128;     0.000250;     0.000231;     0.003472;     0.000171;     0.000231;     0.000169;     0.000231;     0.000450
HE9         ;     0.027157;     0.002245;     0.174915;     0.003797;     0.090711;     0.019682;     0.070660;    22.462408;    19.481949;     0.002660;     0.002103;     0.010301;     0.373636;     0.173153;     0.002211;     0.012571;     0.040902;     0.144520;     0.002103;     0.002125;     0.049906;     0.002373;     0.016518;     0.006953;     1.734934;     0.025099;     0.789439;     0.002103;     0.042771;     0.012366;     0.004887;     0.323102;     0.005043;     0.010960;     0.002085;     0.002462;     0.002103;     0.038580;     0.002103;     0.002103;     0.002086;     0.002103;     0.002103
