            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
HE8         ;     0.102430;     0.019592;     0.333118;     0.014174;     0.914320;     0.085305;     0.385233;     3.747372;     0.908678;     0.300800;     0.126726;     1.759882;     1.394376;     0.999056;     0.004629;     0.032515;     0.190815;     0.140459;     0.001143;     0.070366;     0.548399;     0.027424;     0.282816;     0.040556;     0.662580;     0.251753;     2.632799;     0.012893;     0.257328;     0.078300;     0.807655;     2.236200;     0.014075;     0.095069;     0.001640;     0.077364;     0.067639;     0.032516;     0.000734;     0.007246;     0.002868;     0.132796;     1.234358
HE5         ;     3.344466;     0.605457;     9.239853;     0.268623;     9.702042;     2.669154;    11.163239;   129.776245;    29.681038;     1.451542;     5.078609;     2.061740;    35.633930;    20.496721;     0.157687;     1.760034;     5.188749;     2.406744;     0.045065;     3.921587;     7.136961;     0.676707;     2.571524;     0.540260;    20.292490;     1.838712;    78.987213;     0.359618;     3.521358;     2.389875;     7.638402;    27.677387;     0.753698;     1.975059;     0.049287;     1.387090;     1.241662;     0.087192;     0.013787;     0.231605;     0.110597;     1.664557;    16.797474
HE1         ;     0.116885;     0.043080;     0.423428;     0.016898;     0.552827;     0.107962;     0.418288;     3.644110;     0.723894;     0.250188;     0.220788;     7.965511;     1.251976;     0.960317;     0.002821;     0.044371;     0.143772;     0.122766;     0.003641;     0.115717;     0.302657;     0.027787;     0.188122;     0.029125;     0.706070;     0.376709;     2.165796;     0.016349;     0.284769;     0.124175;     0.811472;     2.628333;     0.016403;     0.067324;     0.015119;     0.084898;     0.056279;     0.073256;     0.000858;     0.008395;     0.002417;     0.138986;     2.001456
HE2         ;     0.367033;     0.048374;     1.143965;     0.049196;     2.179953;     0.361510;     1.116364;    10.690592;     2.820306;     0.627247;     0.441392;     5.716110;     4.562284;     3.017185;     0.022246;     0.107344;     0.533146;     0.421711;     0.005040;     0.202982;     1.228708;     0.087546;     0.648452;     0.099211;     2.016361;     1.073230;     7.891236;     0.029531;     0.691618;     0.215931;     2.119250;     8.630816;     0.043466;     0.310869;     0.007692;     0.216901;     0.156351;     0.148839;     0.001009;     0.016303;     0.018281;     0.336989;     4.702430
HE3         ;     0.218410;     0.038700;     0.701948;     0.035690;     3.109417;     0.107424;     0.617856;     7.086642;     1.683381;     4.634472;     0.280799;     2.628966;     1.821277;     1.806339;     0.007544;     0.065221;     0.247662;     0.348738;     0.005015;     0.195007;     1.485376;     0.032114;     1.179849;     0.116816;     1.275620;     0.380124;     5.548191;     0.021472;     0.593787;     0.161959;     5.016522;     2.691126;     0.038343;     0.175488;     0.017987;     0.279954;     0.136053;     0.075519;     0.004327;     0.018930;     0.004801;     0.307147;     2.519982
HE4         ;     0.177179;     0.098287;     0.611932;     0.025792;     2.013490;     0.096343;     0.685394;     6.703249;     1.859353;     0.854991;     0.347608;     0.303145;     1.934813;     1.752807;     0.006780;     0.118624;     0.429409;     0.207029;     0.002788;     0.334569;     2.023391;     0.038436;     2.264973;     0.062404;     1.159895;     0.222741;     5.742554;     0.016325;     0.559059;     0.324590;     0.943529;     2.261714;     0.054936;     0.205782;     0.003731;     0.060554;     0.105017;     0.006314;     0.001682;     0.023121;     0.005118;     0.206408;     1.680147
HE7         ;     0.276344;     0.078920;     2.182569;     0.030181;     0.358363;     0.244020;     0.995000;    20.285463;    26.606110;     0.005543;     0.709764;     0.033775;     6.492233;     7.290650;     0.011204;     0.151590;     0.407504;     0.892995;     0.004282;     0.581497;     0.106204;     0.134001;     0.036919;     0.024345;     4.817731;     0.324017;     3.873291;     0.057143;     0.276137;     0.221265;     0.121719;     3.232930;     0.065903;     0.168122;     0.005147;     0.066092;     0.279503;     0.002676;     0.001091;     0.042353;     0.009325;     0.127164;     2.680929
HE6         ;     0.045087;     0.012592;     0.215122;     0.002426;     0.040578;     0.040577;     0.145303;     2.781068;     1.824604;     0.001061;     0.066328;     0.007533;     0.697309;     0.543355;     0.001254;     0.027861;     0.042860;     0.065848;     0.000424;     0.130569;     0.006588;     0.014048;     0.002127;     0.002332;     0.544601;     0.016868;     0.411936;     0.005635;     0.026464;     0.016138;     0.022372;     0.502554;     0.008600;     0.013580;     0.000381;     0.004773;     0.022625;     0.000260;     0.000046;     0.004960;     0.001352;     0.005809;     0.227195
HE9         ;     0.276223;     0.092191;     2.274499;     0.028668;     0.216613;     0.300260;     0.789479;    40.812355;    16.179173;     0.010689;     0.648449;     0.045472;     6.956038;     4.996478;     0.010487;     0.127833;     0.344389;     0.586897;     0.001936;     0.809439;     0.044427;     0.129671;     0.018741;     0.013314;     6.316847;     0.144041;     2.614862;     0.042904;     0.169623;     0.170980;     0.116630;     0.549601;     0.073533;     0.111522;     0.001825;     0.018402;     0.150091;     0.002462;     0.000839;     0.054276;     0.014017;     0.002462;     2.018357
