            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
HE8         ;     0.117714;     0.009506;     0.409335;     0.010797;     0.366213;     0.031053;     0.317070;     3.175484;     0.725677;     0.354820;     0.103169;     1.171858;     0.565081;     1.056013;     0.012122;     0.029230;     0.127937;     0.069024;     0.001843;     0.070552;     0.315790;     0.033217;     0.302265;     0.006573;     0.730140;     0.324519;     2.280851;     0.009652;     0.067764;     0.062795;     1.945247;     1.379739;     0.023580;     0.103827;     0.004206;     0.272771;     0.145517;     2.955977;     0.003204;     0.042229;     0.043567;     1.283800;     1.205277
HE5         ;     3.615797;     0.117627;    10.702132;     0.048445;     6.122818;     0.911047;     9.242686;   100.110641;    17.484539;     2.380869;     1.724568;     6.053178;    14.688669;    28.055782;     0.048041;     0.586102;     3.325300;     2.098782;     0.035006;     1.744411;     6.577883;     0.837142;     4.012725;     0.274557;    18.054029;     4.533239;    67.698105;     0.215587;     1.199885;     0.644127;    20.426075;    14.734450;     0.558337;     2.744801;     0.015602;     7.284501;     2.937814;    50.094872;     0.069495;     0.627008;     0.557622;    31.253662;    21.385101
HE1         ;     0.079692;     0.003433;     0.451020;     0.012882;     0.306127;     0.027402;     0.222278;     4.040773;     0.855235;     0.429684;     0.117536;     5.764184;     0.696938;     1.218711;     0.012842;     0.015305;     0.061498;     0.089259;     0.008714;     0.027229;     0.349280;     0.043733;     0.282402;     0.006083;     0.877819;     1.056150;     2.304865;     0.011565;     0.050682;     0.040987;     5.039299;     3.162973;     0.014253;     0.054756;     0.003389;     0.239225;     0.416545;     3.892325;     0.006099;     0.041107;     0.021165;     1.841716;     2.936840
HE2         ;     0.306866;     0.023940;     1.223882;     0.027654;     1.217719;     0.079984;     0.800402;    10.301609;     2.519478;     1.340058;     0.458679;     6.520700;     1.905294;     3.816619;     0.032067;     0.072172;     0.287144;     0.255028;     0.011247;     0.159483;     1.051709;     0.106563;     0.957030;     0.020743;     2.247972;     2.036729;     7.078239;     0.049138;     0.150473;     0.177956;     8.592101;     7.108736;     0.065267;     0.253847;     0.001721;     0.933674;     0.674062;    10.068434;     0.008235;     0.139353;     0.111595;     5.005524;     5.501881
HE3         ;     0.264706;     0.023490;     0.600938;     0.071597;     1.387161;     0.066263;     0.444167;     4.317456;     1.295618;     2.450314;     0.083313;     3.617696;     0.836410;     2.160687;     0.059655;     0.078442;     0.300375;     0.154091;     0.006043;     0.212382;     0.895631;     0.044036;     0.990488;     0.063871;     1.014533;     0.676183;     4.455523;     0.010257;     0.301362;     0.198066;    13.242492;     2.250406;     0.062596;     0.197821;     0.134696;     1.425121;     0.310118;     7.826837;     0.038727;     0.131696;     0.079332;     2.209972;     3.066435
HE4         ;     0.179353;     0.012017;     0.492916;     0.010311;     0.747925;     0.050379;     0.473795;     4.456775;     1.268682;     0.577104;     0.086312;     1.058847;     0.656940;     1.775305;     0.014030;     0.047235;     0.218320;     0.153142;     0.003809;     0.115573;     1.167928;     0.033120;     1.471922;     0.030686;     0.817828;     0.505979;     4.448870;     0.012961;     0.150497;     0.089162;     2.849793;     1.557550;     0.041842;     0.178425;     0.005188;     0.633363;     0.242534;     4.565325;     0.006287;     0.053666;     0.032737;     1.986625;     1.790936
HE7         ;     0.349366;     0.005364;     2.658443;     0.001593;     0.448701;     0.151113;     0.965627;    17.663122;     6.165937;     0.060689;     0.423585;     0.195121;     3.932579;     8.875772;     0.001291;     0.031786;     0.192050;     0.694739;     0.004424;     0.249734;     0.353742;     0.153860;     0.116657;     0.015594;     5.283726;     0.682602;     5.879000;     0.042149;     0.043822;     0.026689;     0.809806;     1.940111;     0.041489;     0.159532;    -0.000818;     0.369728;     0.725731;     6.206291;     0.003646;     0.114572;     0.102023;     8.673894;     3.604115
HE6         ;     0.046007;     0.000830;     0.304559;     0.000329;     0.033225;     0.021403;     0.135030;     2.189337;     0.490768;     0.005850;     0.039069;     0.017109;     0.402706;     0.824114;     0.000282;     0.003765;     0.021235;     0.054290;     0.000367;     0.040828;     0.023189;     0.015550;     0.009873;     0.001752;     0.588395;     0.054924;     0.744108;     0.004171;     0.007716;     0.003232;     0.089086;     0.128764;     0.004286;     0.018427;     0.000079;     0.037226;     0.066747;     0.642228;     0.000334;     0.012923;     0.010057;     0.849664;     0.371171
HE9         ;     0.377923;     0.010845;     3.405635;     0.002703;     0.188132;     0.180526;     1.038100;    20.198080;     2.948000;     0.061244;     0.458792;     0.197002;     4.159112;     8.431036;     0.002838;     0.034666;     0.194495;     0.491274;     0.005141;     0.297240;     0.194982;     0.181585;     0.083777;     0.007887;     6.534523;     0.394843;     4.944064;     0.055283;     0.047483;     0.049652;     0.830808;     0.835226;     0.042609;     0.171477;     0.005601;     0.220469;     0.654263;     4.188032;     0.002854;     0.109690;     0.081184;     9.192201;     3.278714
