	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU	
AL	53.89220399454407	0.0005163961036068075	0.5111180673533257	0.0026268391874379577	0.6054121722979399	0.08512028938153898	0.8802688272988587	0.09732214111944892	0.2354017473420141	0.007566327458871868	0.5156656482262068	1.2193920302776067	0.06939319023836081	0.0026530654471549485	4.167026812422466	0.007891359943141938	1.822311916784379	0.144773736478423	0.006594142970233817	6.233869127229055	0.8846068889758031	1.331584396577866	0.03534820623798527	0.0004976371605979452	14.7049090237474	3.6346203884087016e-05	0.008434281734501328	0.022202519436792648	0.007787921487676874	0.006515074638482311	0.11234965197450003	1.7174821100030104	1.68028301821738	0.09042769277406686	0.14665014184244907	0.0072662258039215555	0.7600573416267423	0.23285645505503505	1.6659270963817914	10.332994719228237	0.5477313912559325	0.030416807735662323	0.2279800299127579	0.34394878322424144	2.047657474373997e-05	0.0009589248937881427	0.6578792387632868	0.7348762355780024	0.002210631169207028	nan	nan	nan	nan	nan	0.02254560193192513	2.365843856519502	nan	nan	nan	105.46830590747828	106.70028990428092	35.616668859921226	
AM	0.021458835112176593	29.793516355584845	0.013451172546844222	14.67433697315888	0.00816666868408796	0.004741735475946565	0.055039486572228596	0.03031070236145922	0.010929381090454082	0.3227179187421206	0.014006974031997419	0.05799695514086154	0.0068423575379273445	0.0009659420210705697	0.13706160428297245	0.002995720385193766	0.05689214978626315	0.008992089815058495	5.88029269922744	0.2472751883587673	0.014059908054384618	0.02776168491429105	0.002411631066814537	0.00012453195013758576	0.21425064225343127	0.0004865499411728061	0.06938579097964696	0.005141411739286913	0.0004507772401691743	0.0017922613223713523	0.020096750377291937	0.004989740563137471	0.019442270323555066	0.002187772146755942	0.008370653778091864	0.0011872278766355793	0.0719051768560154	0.011038034542103317	0.12240075091477105	0.08167862924177895	1.355196478249889	0.0041718489302373565	0.005036582738081234	0.008589866636939588	0.0004189889762257222	0.3124000042738307	47.51245988783569	0.25361088070221	0.17159241435036732	nan	nan	nan	nan	nan	20.455426558574853	0.7527025762493441	nan	nan	nan	131.15695209124956	112.17353823534967	1.441679932446341	
AT	0.14883414197887204	0.0005423346773414765	242.06374668970125	0.0028074346263024866	0.7620407013990796	3.753566551719858	0.4435525790855095	0.6896274361916532	23.283858424772557	0.0022651628200881613	27.75758978146227	142.26535993459805	1.5085626055738455	0.027399428732340136	6.398214352911974	0.06245285181214952	27.203000857063017	3.616133185500621	0.00580851997809657	0.2858488910112697	6.455031830191444	11.468657748460425	0.6818949056530226	0.007720562450493229	53.86225262280377	6.554348317852946e-05	0.0199640364068094	0.18753109291901882	0.5447132429273545	0.060581732678550625	0.15524948716583273	0.09068391429531976	0.13420695417306996	0.009774032365771174	6.769049640262658	0.15035693033279665	11.03377813526008	0.4909217461146868	3.0133692767683016	4.851942968683482	1.378173996779432	0.44014559940250564	14.260771207788002	4.466473518754838	4.062886853557403e-05	0.0023565862052498704	0.2001981739960513	2.0719996838249854	0.007886016320770994	nan	nan	nan	nan	nan	0.013796746214270688	0.9491170455339007	nan	nan	nan	586.3162094141015	606.221412169807	586.3181745077951	
AZ	0.0307832941672477	8.404205472026876	0.029677561536855288	174.4057748877821	0.013500242088963783	0.01737791859267102	0.10089937108709322	0.21192437622532825	0.01969800425184922	0.3687393163087273	0.04423662611562654	0.2170876935054119	0.03207607536465526	0.00633113007122503	0.1845527438651081	0.01862880719278636	0.1050109219474294	0.03492453157273497	18.78661845268193	0.33406688061621814	0.026151907486162973	0.06585809556342935	0.008309640644124377	0.0003816001855308629	0.3159616238549335	0.006192885105683302	0.5625495766258871	0.036503105217209994	0.001171945274903193	0.01215217261895317	0.06883476045382962	0.007934568598802502	0.03001408562082498	0.0028707583683264793	0.034252745730531144	0.005494371245939434	0.3813455474393017	0.015071083411551852	0.3174645410114174	0.14261624452172741	20.369538782651038	0.02049799738324009	0.01055578407176943	0.0251289766308429	0.009947089007188381	2.7239120440104045	40.393019777204515	1.5527154365795444	1.5196362403022956	nan	nan	nan	nan	nan	49.55268463277048	1.017016109884651	nan	nan	nan	363.95806852387227	321.5272677153443	2.7875970259112814	
BA	1.032592966104524	0.0006652921743946031	4.81235410052146	0.003053928188206356	44.042696253465046	0.4240590009851199	1.0936573785600956	0.4789553484484487	0.8966696615455964	0.00427093273505188	6.236295673184099	9.839862666891598	0.5090956266470009	0.010980831908439922	7.401095698395199	0.03373818948088247	4.5175927158538896	0.7003698106135672	0.008033822320700596	1.004243221962972	22.80704155054276	15.56521445928179	0.15558661805807864	0.0015651488229667802	35.34870465836649	4.585249431225287e-05	0.01529046608353292	0.11971604012444159	0.046654615655286925	0.03441713065141452	0.19047737676281007	2.180109729271775	0.37158340657928307	0.05913549502378587	0.9360703251656292	0.04568085090090527	6.1051898270541365	0.458561623995659	5.109722626573635	26.683166671707884	1.0391384881367867	0.1897139242050403	1.8516908567578285	3.8008654557296215	2.847110266539292e-05	0.0017558049440640575	0.41992987462819037	1.8339702846159973	0.005310157295621484	nan	nan	nan	nan	nan	0.016412984941957483	2.62623894143049	nan	nan	nan	205.19586486698222	209.7117030669954	128.15726749831606	
BE	0.004137884556485143	6.275941073715905e-05	0.5198687543890583	0.0005228934412946991	0.008809428962852391	217.2453451258373	0.008563043671397992	0.12168461129098157	0.8152567554960912	0.00011031916051625682	0.7859839782110224	21.506460493325946	0.7945679690178523	0.00886453598011649	4.387215856173761	0.02415097351291001	103.18215491144531	18.799351095397103	0.000568220281998992	0.009536846778451786	0.04752661923370255	0.14664364623894144	2.775317829972615	0.00845744516118588	0.8983088739240283	6.704648685346762e-06	0.002860788246578486	0.07336264327463039	3.3099994165400166	0.022483214303974475	0.015659632224778307	0.001606845775191142	0.0033349665205987225	0.0015547462154527874	35.873395466999575	0.07862076593955966	1.7905437818471663	0.3891225293571811	0.10074438905976853	0.05529113043645006	0.2432687732383758	0.14853886469983013	0.049442257657011046	0.09193893431967744	4.590267714869323e-06	0.00029793970065688	0.01734022570222549	0.16397607775754086	0.0009882373322263138	nan	nan	nan	nan	nan	0.0010970738733653595	0.1887183008111063	nan	nan	nan	374.30447696997936	387.04335695686285	378.6010787951316	
BG	4.391694548754386	0.032090203354796384	2.042304141788621	0.1802434092846064	1.3372828914777095	0.37727360963521867	137.89168486198875	2.0416289096343574	0.523479664081006	0.06600541118253327	3.1584066332281835	6.860562986688439	0.578898945208957	0.04981228545794697	4.983760871451906	0.12659619499687605	2.783106381762012	0.5556776938520516	0.3632354129678121	26.41497342196303	2.4133460041935346	10.136773174451177	0.11217650773928282	0.0022993560365640532	13.722665822815024	0.0010406882620035418	0.21688163890464232	0.3758109115052975	0.040636561843884145	0.11453713801247728	4.79172515436784	0.961365253041655	9.136693312992282	0.05452645409298621	0.7412754179242428	0.07244935837220076	7.906074885913324	0.32463388586087294	80.97793249689956	37.812887236141314	19.423649321247407	0.32037595991736995	0.6346825326914366	2.7727843192030783	0.0006307673254823209	0.061190019293344076	23.67047263882092	22.629883455723448	0.105875860738539	nan	nan	nan	nan	nan	0.3736204740321876	3.2443689939176727	nan	nan	nan	424.3019363812914	434.9315337651276	316.53008402175243	
BY	0.356841425200527	0.06148146594185206	3.652823397520731	0.42243468034020903	0.8726136072322683	3.0836361792432743	2.3302831828078774	356.7880605691183	1.5022683547125844	0.031120344867399355	10.399450845042553	45.54625041447124	9.338625203822138	1.2487959227799357	3.8795099669067716	2.2345338456724844	11.365025968700955	6.635826371947633	0.5454615140367141	1.4075891777156402	2.816801510589919	12.557952969162367	1.3456707239238792	0.014916832578390582	7.361283032386743	0.004961946559102775	0.8253661940756359	22.820989276869927	0.22482485976775557	5.068955522063959	6.68674388282885	0.21858586494693974	0.4437003181728422	0.00885075784234929	7.1098475662123475	0.8278116717220718	142.1014505486177	0.34680765055091695	26.162637397760818	8.601558811684596	91.00296546984838	5.23777824205797	1.3488589939216569	6.0713217366787235	0.004226646121465884	0.24151195177489412	8.495718804719985	105.74620060572376	0.477948996954005	nan	nan	nan	nan	nan	0.7663376503434995	0.7275123657650125	nan	nan	nan	920.5649634859606	951.8162065832536	344.9104701573446	
CH	0.010113365406737386	7.140494307933995e-05	3.264939826351501	0.00028651522946637867	0.026259443637103818	2.174156285595982	0.016540263762445374	0.05607499486050308	271.44528141061085	0.00012046536799264369	0.6936328745132531	30.30536031204117	0.1753433837016172	0.0030776503546853947	9.15290667704382	0.007853316306589692	46.11825158706497	2.3085852071272233	0.0005155732694498783	0.020591815696223	0.16376282909212792	0.18462384399780926	0.5225153508839311	0.002865503016739492	34.3044121273445	4.380639034649444e-05	0.0010787796487697183	0.023654343367805645	0.31022405131806946	0.007787645579743898	0.009954504233962672	0.005461556539901412	0.0063171906176554505	0.004235032572329129	2.019396033415083	0.02228655654735755	0.748976235160368	0.5888842328020628	0.10947708935767686	0.1306931645363398	0.10322770843030342	0.041853034597340695	0.2175269011573223	0.08095964449689343	3.338994056456253e-05	0.00022220745599472788	0.017334769225910856	0.1439528075519938	0.0006198058577667662	nan	nan	nan	nan	nan	0.0018301969758635396	0.7164591400842046	nan	nan	nan	385.4163876269142	399.0102786865009	131.0370145928002	
CY	0.026174128667705746	0.0012539429328812968	0.016443309814435255	0.004591215397888248	0.009267571047141444	0.004354599502661429	0.06853841181081387	0.013928343838762505	0.007203952933115981	14.788718933432046	0.01671557167471449	0.05353020308943016	0.003608000806589373	0.0003545392856872957	0.08865634329869966	0.0009939742048349816	0.051334882888453226	0.005981673508544362	0.012539168270008854	0.40539837121883876	0.017448887803514727	0.034093456594985125	0.0013379033214558512	2.8137962071040447e-05	0.19865477551902058	1.492330878780682e-05	0.0019348673598226357	0.0024964422234126367	0.0004373175006692202	0.0007138224002532703	0.01532314538961931	0.00577517587881167	0.029335718915610334	0.0030883588758739045	0.0075089743406598535	0.0004946652173199165	0.041989180148845416	0.005035394088094456	0.11714553117571873	0.1015735520738301	0.2593888915172031	0.0021156572782250653	0.005773828802031732	0.009877353092348586	9.739082173526865e-06	0.0011546691159873012	6.049246115852326	0.1300832110651167	0.0015099561665029304	nan	nan	nan	nan	nan	0.9807431871052343	0.713283158506703	nan	nan	nan	23.499099207556828	22.483074892470537	16.462834660944022	
