            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
HE8         ;     0.102447;     0.010691;     0.209606;     0.009351;     0.435286;     0.025695;     0.253257;     1.443399;     0.659934;     0.159246;     0.089504;     1.000950;     0.485090;     1.172647;     0.002537;     0.010848;     0.115577;     0.044247;     0.004861;     0.101823;     0.185621;     0.014021;     0.197845;     0.006551;     0.277799;     0.350207;     1.777828;     0.011068;     0.112165;     0.023606;     2.157359;     1.682863;     0.020490;     0.075870;     0.008055;     0.471695;     0.199749;     4.519063;     0.006666;     0.009639;     0.002574;     1.270671;     0.515598
HE5         ;     1.406134;     0.318652;     3.397054;     0.364328;     3.473566;     0.325909;     4.158978;    21.509563;    13.589054;     2.184916;     1.745745;     9.115809;     7.027522;    21.390934;     0.090042;     0.169363;     1.676126;     0.884615;     0.094158;     1.665747;     1.425615;     0.259129;     2.350550;     0.094585;     4.980109;     3.815276;    21.216562;     0.271172;     1.614302;     0.452184;    26.761377;    11.518411;     0.315553;     1.250622;     0.172031;     8.355380;     3.507375;    63.216419;     0.096153;     0.235043;     0.039272;    22.883358;     6.620321
HE1         ;     0.113422;     0.013288;     0.190869;     0.005342;     0.239958;     0.033642;     0.328466;     1.541975;     0.494439;     0.138437;     0.116679;     1.516448;     0.439187;     0.940884;     0.001303;     0.006865;     0.150167;     0.053376;     0.004947;     0.118730;     0.097961;     0.015542;     0.098797;     0.006275;     0.273711;     0.543076;     1.739217;     0.010084;     0.115853;     0.026103;     2.298743;     2.112626;     0.023259;     0.100593;     0.003008;     0.465640;     0.245823;     2.412052;     0.004390;     0.023946;     0.001862;     0.881551;     0.326463
HE2         ;     0.206194;     0.024712;     0.503806;     0.019802;     0.558780;     0.060715;     0.686380;     3.254696;     1.303194;     0.270801;     0.269543;     2.264836;     1.003678;     2.829970;     0.003267;     0.015503;     0.255482;     0.177196;     0.008814;     0.230902;     0.238310;     0.032258;     0.266171;     0.010971;     0.664378;     1.212768;     3.991937;     0.027340;     0.211536;     0.049090;     4.235364;     4.946794;     0.043893;     0.183361;     0.014752;     1.036306;     0.492309;     7.529451;     0.016318;     0.042030;     0.003958;     2.811491;     0.727950
HE3         ;     0.136588;     0.009422;     0.291290;     0.026825;     0.890249;     0.023721;     0.406285;     2.124153;     1.007656;     0.807823;     0.102287;     3.278194;     0.578716;     2.092945;     0.010444;     0.015967;     0.195353;     0.077465;     0.007678;     0.111957;     0.419501;     0.028237;     0.376313;     0.019305;     0.464996;     0.535176;     2.916034;     0.014928;     0.172613;     0.028782;     9.311858;     1.898029;     0.026443;     0.145213;     0.048025;     1.225737;     0.324326;     6.515455;     0.021895;     0.035930;     0.001861;     1.804368;     0.730954
HE4         ;     0.096952;     0.027298;     0.207602;     0.025359;     0.457953;     0.016788;     0.262117;     1.512698;     0.903457;     0.271970;     0.082448;     1.116988;     0.426599;     1.371291;     0.008919;     0.014480;     0.145422;     0.050869;     0.004629;     0.093993;     0.181070;     0.015925;     0.274913;     0.010245;     0.412098;     0.270836;     1.648990;     0.011356;     0.152155;     0.032823;     2.709745;     1.162071;     0.023454;     0.095745;     0.012412;     0.686115;     0.201777;     4.326464;     0.008164;     0.024062;     0.001157;     1.380156;     0.353436
HE7         ;     0.190541;     0.010672;     0.536450;     0.040659;     0.216800;     0.030510;     0.634047;     1.657184;     0.487899;     0.100339;     0.315933;     0.442305;     0.954870;     6.051894;     0.010595;     0.013635;     0.185314;     0.253989;     0.020904;     0.215924;     0.117093;     0.035743;     0.110986;     0.007493;     0.507046;     1.260528;     2.528111;     0.041462;     0.118074;     0.029896;     1.481935;     0.951037;     0.037242;     0.160280;     0.020990;     0.436058;     0.943667;     6.540272;     0.006944;     0.039197;     0.005201;     6.876443;     1.477844
HE6         ;     0.026388;     0.001370;     0.085894;     0.005574;     0.033241;     0.004477;     0.092584;     0.319703;     0.480776;     0.016554;     0.046288;     0.067260;     0.145379;     0.714381;     0.001425;     0.001797;     0.031159;     0.029203;     0.002563;     0.026196;     0.015179;     0.005975;     0.018975;     0.000841;     0.102397;     0.121156;     0.430472;     0.008705;     0.018094;     0.004068;     0.194529;     0.165018;     0.005727;     0.023308;     0.002316;     0.056793;     0.112076;     1.062001;     0.000928;     0.005110;     0.000614;     0.704372;     0.179133
HE9         ;     0.197118;     0.010946;     0.729895;     0.037975;     0.195304;     0.037051;     0.467396;     1.811041;     0.541953;     0.119841;     0.439292;     0.407862;     1.181443;     6.074027;     0.009073;     0.013306;     0.140902;     0.236299;     0.020147;     0.199054;     0.109475;     0.046475;     0.123199;     0.005896;     0.809851;     0.775397;     2.242538;     0.083760;     0.094362;     0.022848;     1.366926;     0.499042;     0.027623;     0.110344;     0.021012;     0.383693;     0.914271;     7.342571;     0.005947;     0.056133;     0.005318;     6.136382;     1.287012
