          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
HE8         ;     0.161396;     0.079930;     0.191089;     0.721019;     0.216070;     0.484511;     3.549712;     0.588609;     0.273104;     0.331289;     0.951036;     0.946157;     0.593571;     0.089091;     0.266171;     0.058116;     0.002488;     0.610584;     0.609009;     0.024708;     0.389444;     0.023380;     0.355295;     0.141370;     3.380685;     0.012766;     0.235188;     0.107906;     0.736664;     1.335256;     0.047850;     0.101389;     0.010018;     0.311760;     0.141370
HE5         ;     5.041789;     0.788298;     8.014208;    14.341069;     4.034544;    11.222301;   138.376389;    23.666056;     2.074050;     6.237212;     2.701716;    26.789547;    17.372183;     1.423940;     3.675541;     1.918756;     0.032221;    12.178240;    10.277788;     0.800592;     4.237979;     0.711038;    17.049118;     1.857144;    91.495178;     0.429264;     3.639457;     1.378370;    10.218612;    21.486084;     0.937674;     2.042821;     0.166708;     9.155999;     1.857144
HE1         ;     0.094521;     0.042069;     0.382317;     0.549412;     0.085623;     0.336387;     3.031340;     0.808996;     0.273322;     0.357699;     6.544737;     1.299867;     1.032037;     0.042081;     0.133639;     0.106763;     0.003939;     0.263017;     0.421368;     0.028163;     0.245950;     0.016791;     0.572889;     0.281601;     2.062407;     0.025370;     0.194757;     0.049778;     1.651407;     1.665374;     0.019933;     0.065666;     0.017152;     0.417031;     0.281601
HE2         ;     0.333613;     0.119324;     1.032307;     2.133870;     0.357846;     1.179341;     9.889911;     1.744128;     0.770063;     1.410180;     6.475727;     4.173356;     2.286093;     0.165104;     0.626010;     0.284751;     0.012107;     1.074363;     1.803270;     0.086255;     0.901328;     0.069822;     1.378933;     0.601632;     7.857364;     0.056457;     0.439740;     0.180766;     3.200470;     4.781381;     0.091167;     0.284101;     0.034203;     1.124378;     0.601632
HE3         ;     0.478974;     0.134062;     0.434233;     3.141961;     0.311920;     1.081422;     6.732996;     1.170056;     2.077042;     0.505166;     1.650062;     1.629037;     0.958433;     0.175092;     0.734443;     0.097940;     0.004008;     1.528642;     1.678236;     0.035905;     1.077724;     0.060630;     0.865127;     0.169696;     6.388855;     0.037936;     0.778921;     0.257824;     3.564345;     1.398210;     0.118349;     0.310681;     0.051585;     1.051787;     0.169696
HE4         ;     0.658223;     0.073812;     0.321843;     1.497840;     0.300875;     1.152292;     6.195445;     0.825101;     0.466651;     0.489122;     0.343827;     1.422901;     0.747941;     0.154319;     0.433958;     0.071594;     0.002305;     1.347914;     2.174511;     0.043924;     1.748241;     0.060341;     0.590203;     0.141619;     7.383852;     0.031600;     0.439177;     0.144559;     0.956720;     1.062214;     0.109405;     0.252706;     0.020898;     0.692452;     0.141619
HE7         ;     0.251332;     0.066117;     2.197924;     0.324468;     0.434811;     0.571778;    21.623495;    29.874565;     0.052985;     1.536839;     0.114417;     6.554237;     7.117412;     0.159320;     0.285979;     0.859478;     0.007553;     1.705664;     0.340037;     0.130802;     0.126117;     0.015006;     5.194798;     0.324354;     3.029243;     0.085222;     0.249421;     0.108503;     0.573196;     3.500215;     0.087571;     0.136865;     0.035101;     0.332836;     0.324354
HE6         ;     0.021580;     0.008103;     0.216894;     0.031313;     0.043709;     0.058662;     3.511302;     2.406543;     0.011043;     0.148040;     0.008578;     0.707283;     0.602293;     0.015906;     0.024419;     0.086012;     0.000693;     0.115452;     0.041988;     0.018706;     0.015852;     0.000932;     0.632747;     0.020267;     0.358494;     0.007592;     0.019904;     0.012300;     0.073540;     0.408331;     0.007882;     0.009247;     0.002811;     0.020315;     0.020267
HE9         ;     0.219075;     0.030294;     2.414044;     0.268422;     0.281246;     0.365372;    42.523102;    20.451023;     0.048563;     1.110567;     0.082311;     6.340859;     4.868509;     0.072876;     0.194397;     0.556082;     0.004225;     0.714672;     0.115703;     0.136085;     0.053361;     0.004170;     7.422904;     0.223886;     2.322224;     0.080077;     0.117665;     0.055476;     0.381109;     0.795286;     0.050767;     0.128565;     0.016154;     0.174046;     0.223886
