          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
HE8         ;     0.023712;     0.001586;     0.027398;     0.230416;     0.011214;     0.044586;     0.394167;     0.321325;     0.044349;     0.009640;     2.408562;     0.132044;     0.065044;     0.003797;     0.027175;     0.012513;     0.000424;     0.018993;     0.128604;     0.002454;     0.078455;     0.005691;     0.071778;     0.060168;     0.570241;     0.002132;     0.052767;     0.005367;     0.073224;     1.098435;     0.003179;     0.011778;     0.001726;     0.141890;     0.060168
HE5         ;     0.122579;     0.018668;     0.295638;     2.974382;     0.126397;     0.322407;    30.213432;    22.957798;     0.497679;     0.037011;     1.481996;     1.182671;     0.389434;     0.054357;     0.216280;     0.282295;     0.017233;     0.069845;     5.492616;     0.028920;     1.865348;     0.110647;     2.856882;     0.563683;    30.894402;     0.020505;     0.438709;     0.027146;     0.964065;    26.820726;     0.018686;     0.053361;     0.021893;     2.220651;     0.563683
HE1         ;     0.027671;     0.002327;     0.020866;     0.100911;     0.012594;     0.047597;     0.405459;     0.154367;     0.002605;     0.004270;     3.016399;     0.100992;     0.046963;     0.002658;     0.034584;     0.016208;     0.002013;     0.023211;     0.031058;     0.002721;     0.018537;     0.004570;     0.060220;     0.072582;     0.430021;     0.001115;     0.039546;     0.001786;     0.041595;     1.096557;     0.003817;     0.014103;     0.001981;     0.241511;     0.072582
HE2         ;     0.052098;     0.004474;     0.063336;     0.289038;     0.026956;     0.117666;     1.043493;     0.691201;     0.014763;     0.010098;     2.564858;     0.302940;     0.228665;     0.004574;     0.064968;     0.078982;     0.002816;     0.047992;     0.145668;     0.005760;     0.079820;     0.016104;     0.187039;     0.338950;     1.183327;     0.002770;     0.089701;     0.005869;     0.052441;     4.762868;     0.005849;     0.030721;     0.005298;     0.383944;     0.338950
HE3         ;     0.028637;     0.003671;     0.033075;     1.025547;     0.012891;     0.048628;     0.722792;     0.552858;     3.046660;     0.007188;     2.876013;     0.171084;     0.062980;     0.010395;     0.048003;     0.028554;     0.003828;     0.034778;     0.707587;     0.004625;     0.435655;     0.018857;     0.176980;     0.059484;     0.765607;     0.003210;     0.100000;     0.004723;     1.864259;     0.729659;     0.005422;     0.015952;     0.004551;     0.651363;     0.059484
HE4         ;     0.015923;     0.001981;     0.042968;     0.800494;     0.009278;     0.029328;     0.719796;     0.540809;     1.137276;     0.007941;     0.277899;     0.140366;     0.059742;     0.008213;     0.028526;     0.023102;     0.001577;     0.019956;     1.462786;     0.002437;     2.020935;     0.012844;     0.163649;     0.030043;     0.763061;     0.001921;     0.068487;     0.003166;     0.076467;     0.600661;     0.003864;     0.005776;     0.002563;     0.505122;     0.030043
HE7         ;     0.003212;     0.001515;     0.013780;     0.028794;     0.007679;     0.008989;     2.497964;    21.523605;     0.001608;     0.001658;     0.003684;     0.091897;     0.047156;     0.001944;     0.009301;     0.063411;     0.001595;     0.001610;     0.026438;     0.001733;     0.015817;     0.004165;     0.447748;     0.256385;     0.148708;     0.001591;     0.019962;     0.001598;     0.001595;     2.495395;     0.001619;     0.002417;     0.001595;     0.012447;     0.256385
HE6         ;     0.001014;     0.000177;     0.003401;     0.008621;     0.001641;     0.003222;     0.594510;     1.882353;     0.000177;     0.000177;     0.000177;     0.019125;     0.000184;     0.000115;     0.002367;     0.006775;     0.000177;     0.000177;     0.009395;     0.000123;     0.003586;     0.000685;     0.064791;     0.008563;     0.060204;     0.000177;     0.003282;     0.000177;     0.000177;     0.415063;     0.000177;     0.000229;     0.000177;     0.003245;     0.008563
HE9         ;     0.001295;     0.001261;     0.038462;     0.038002;     0.016309;     0.004675;    18.787621;    20.692013;     0.001261;     0.001261;     0.001402;     0.179971;     0.001261;     0.001256;     0.006205;     0.052340;     0.001261;     0.001261;     0.049101;     0.001157;     0.009469;     0.003031;     1.037594;     0.039244;     0.079404;     0.001257;     0.010108;     0.001261;     0.001261;     0.353979;     0.001261;     0.001261;     0.001334;     0.003901;     0.039244
