            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
HE8         ;     0.029555;     0.005839;     0.133735;     0.010795;     0.316843;     0.010085;     0.110119;     1.021816;     0.345539;     0.594109;     0.015049;     2.016227;     0.187982;     0.474885;     0.004678;     0.004334;     0.033872;     0.019817;     0.002727;     0.011540;     0.244968;     0.016262;     0.352697;     0.004999;     0.191347;     0.247482;     1.231127;     0.002346;     0.043648;     0.017480;     1.977591;     1.316709;     0.003788;     0.050466;     0.013818;     0.298402;     0.096722;     3.902459;     0.004254;     0.007914;     0.000153;     0.849102;     0.210722
HE5         ;     1.063561;     0.257417;     2.771138;     0.377194;     6.548687;     0.255578;     3.782780;    21.649111;     6.631581;     1.943375;     0.267329;     4.733899;     3.837551;     7.880135;     0.178851;     0.187628;     1.212319;     0.316518;     0.028427;     0.522750;     3.618980;     0.343716;     3.609170;     0.151995;     3.749112;     1.873610;    35.350555;     0.050910;     1.380977;     0.754008;    19.677006;     7.092087;     0.150371;     1.549508;     0.612800;     8.354436;     1.332251;    44.454491;     0.122422;     0.285631;     0.008966;    14.385971;     2.730233
HE1         ;     0.009358;     0.004825;     0.074496;     0.006334;     0.214584;     0.005430;     0.048986;     0.443793;     0.158282;     0.280289;     0.007428;     3.001795;     0.131188;     0.405535;     0.003230;     0.003422;     0.019569;     0.022092;     0.004183;     0.008071;     0.155130;     0.007757;     0.187957;     0.003140;     0.111853;     0.358383;     0.635446;     0.001796;     0.024262;     0.011208;     1.239265;     2.094800;     0.001820;     0.029814;     0.015313;     0.188144;     0.163105;     1.985464;     0.002360;     0.004775;     0.000470;     0.575902;     0.292946
HE2         ;     0.034057;     0.009608;     0.312943;     0.018539;     0.565781;     0.015181;     0.166670;     1.567128;     0.691162;     0.780126;     0.035029;     4.301942;     0.449658;     1.273016;     0.010330;     0.008449;     0.069034;     0.060286;     0.007127;     0.017254;     0.436674;     0.033155;     0.597058;     0.006856;     0.417069;     0.883481;     2.276330;     0.007283;     0.088552;     0.037278;     2.998194;     4.901862;     0.005267;     0.093233;     0.029782;     0.509109;     0.291457;     6.463804;     0.006865;     0.014845;     0.000457;     2.140591;     0.433478
HE3         ;     0.057533;     0.010497;     0.200952;     0.018529;     0.939152;     0.015400;     0.245150;     1.635350;     0.354615;     1.518177;     0.016488;     4.424035;     0.266546;     0.570890;     0.008256;     0.012976;     0.082278;     0.026070;     0.005294;     0.036616;     0.592157;     0.022408;     0.706252;     0.021519;     0.278741;     0.259667;     2.368376;     0.003222;     0.110730;     0.037281;     8.237587;     1.074709;     0.010545;     0.095498;     0.032122;     0.737609;     0.145785;     6.016055;     0.011502;     0.015905;     0.000641;     0.895310;     0.593569
HE4         ;     0.041259;     0.014474;     0.152020;     0.018383;     0.643904;     0.008694;     0.177390;     1.109437;     0.289643;     0.398046;     0.008197;     0.824202;     0.178176;     0.387638;     0.006279;     0.010697;     0.058025;     0.018083;     0.002102;     0.026031;     0.402950;     0.014897;     0.457234;     0.013527;     0.204954;     0.131152;     1.946188;     0.001784;     0.077579;     0.034514;     2.950387;     0.598795;     0.007829;     0.080518;     0.025884;     0.638420;     0.069584;     2.778079;     0.008790;     0.013037;     0.000548;     0.653259;     0.170408
HE7         ;     0.119412;     0.017686;     0.470230;     0.026680;     0.462335;     0.032166;     0.332644;     2.238707;     0.774732;     0.068192;     0.064028;     0.149585;     0.708501;     2.329355;     0.014980;     0.014359;     0.072165;     0.097060;     0.006101;     0.052908;     0.268201;     0.047813;     0.132182;     0.010618;     0.625933;     0.599511;     2.946112;     0.010911;     0.088536;     0.054485;     0.916632;     1.092204;     0.010989;     0.100340;     0.054219;     0.453815;     0.328101;     5.627110;     0.008942;     0.029854;     0.000768;     5.426385;     0.627515
HE6         ;     0.021374;     0.003529;     0.076691;     0.005192;     0.061561;     0.005855;     0.063629;     0.392709;     0.435475;     0.010231;     0.008174;     0.019516;     0.095253;     0.257108;     0.002823;     0.003069;     0.014738;     0.009705;     0.000865;     0.009537;     0.031124;     0.006091;     0.019921;     0.001519;     0.124142;     0.049472;     0.616702;     0.001383;     0.016438;     0.010483;     0.151507;     0.090037;     0.002152;     0.021149;     0.009799;     0.087304;     0.038077;     0.913221;     0.001474;     0.005188;     0.000135;     0.473813;     0.096836
HE9         ;     0.140637;     0.019957;     0.650356;     0.032652;     0.263630;     0.052619;     0.443049;     2.517234;     0.689618;     0.057576;     0.078635;     0.097941;     0.921479;     2.330698;     0.018584;     0.017814;     0.101208;     0.088908;     0.005486;     0.078068;     0.136072;     0.062708;     0.095326;     0.010347;     1.041300;     0.298820;     4.508681;     0.013013;     0.125726;     0.065403;     0.950029;     0.572102;     0.014634;     0.137513;     0.063475;     0.640439;     0.317874;     7.128006;     0.009331;     0.039023;     0.001132;     4.246707;     0.729186
