 OXN dry deposition
 ARC            
      year       AT       BA       BE       BG       BY       CH       CZ       DE       DK       EE       ES       FI       FR       GB       GR       HR       HU       IE       IT       LT       LU       LV       MD       NL       NO       PL       RO       RS       RU       SE       SI       SK       TR       UA      ATL      BAS      BLS      MED      NOS      BIC
        2007   3.70755792E-02   2.35258078E-04   5.73358126E-02   3.55306314E-03   5.12538925E-02   1.19762057E-02   9.41775069E-02  0.459757358       8.51757005E-02   4.76150550E-02   3.59965116E-02  0.188202500      0.143151775      0.233422786       4.40386962E-03   5.14706876E-03   3.18577662E-02   1.01554878E-02   3.83818373E-02   5.94772287E-02   3.07655614E-03   4.12059538E-02   3.45373689E-03   7.19859153E-02   7.38945603E-02  0.435196310       2.19179932E-02   5.09009091E-03  0.314229876      0.221090794       5.84589038E-03   1.93220172E-02   1.46380803E-02   6.25566691E-02   3.51581275E-02  0.390545398       2.56365933E-03   1.13287279E-02  0.219440684       5.10069989E-02
        2008   5.43641485E-02   8.89240950E-03   8.58834460E-02   1.33395428E-02   4.02653143E-02   2.13604756E-02  0.105035909      0.618405879       9.22618657E-02   3.58221568E-02   3.85411046E-02  0.149021834      0.224157125      0.338633239       1.44197159E-02   1.75829642E-02   4.66425754E-02   2.06140485E-02  0.127096832       4.12748456E-02   5.61551889E-03   2.23926865E-02   8.91690608E-03  0.110046811       4.73768786E-02  0.406327367       5.15885614E-02   2.03174222E-02  0.203772679      0.149967641       1.21809095E-02   2.83879805E-02   2.96641095E-03   9.90925431E-02   4.39088196E-02  0.343120635       2.70048040E-03   2.87730750E-02  0.278342664       5.77889681E-02
        2009   3.01577374E-02   7.21037993E-03   3.39071378E-02   1.54271466E-03   9.58472267E-02   9.47022811E-03   6.56338856E-02  0.321034998       5.48827462E-02   4.54299115E-02   3.11750751E-02  0.123737924      0.115014501      0.149290532       3.62557662E-03   1.02623161E-02   3.21907699E-02   6.49242522E-03   5.15796728E-02   7.00650960E-02   2.78528081E-03   3.32072414E-02   2.42584106E-03   5.70252649E-02   4.17454317E-02  0.413518906       9.03012138E-03   9.42415278E-03  0.411208302      0.107520536       6.39548479E-03   2.26158425E-02   4.94975923E-03   6.37589172E-02   3.45408544E-02  0.246933922       1.67476386E-03   2.62317881E-02  0.183599845       7.66573250E-02
        2010   3.84741500E-02   2.83415103E-03   3.53309028E-02   8.48889351E-04  0.100072652       1.33030070E-02   8.60236958E-02  0.419159770       6.15118444E-02   6.53833300E-02   2.21299622E-02  0.190586001      0.123692147      0.149003223       8.71951052E-04   3.76551459E-03   3.01512610E-02   6.32317970E-03   1.97421499E-02   6.66933060E-02   6.73286105E-03   4.65931147E-02   1.48614019E-03   5.19040786E-02   4.48061973E-02  0.470293760       7.37685896E-03   7.45772803E-03  0.352843881      0.163732782       3.47936852E-03   1.89766549E-02   6.16260059E-03   7.80882537E-02   2.97003519E-02  0.299502820       2.07678508E-03   1.10436287E-02  0.201603204       1.25377402E-02
        2011   2.58841645E-02   1.62296509E-03   6.91352114E-02   2.02926458E-03   4.48654555E-02   1.08339712E-02   7.75066540E-02  0.522393286       9.16726962E-02   3.58661525E-02   1.99725032E-02  0.155568391      0.156999290      0.297128469       1.43920979E-03   3.00426641E-03   2.19012965E-02   1.36251971E-02   1.82669777E-02   4.04832177E-02   1.36411581E-02   2.22710986E-02   3.24492785E-03  0.116724432       5.24338521E-02  0.374243319       1.59729626E-02   9.37332120E-03  0.163291335      0.172193199       2.70735659E-03   2.00052857E-02   5.27046504E-04   3.09625305E-02   4.47122641E-02  0.333058298       6.05398847E-04   7.88807776E-03  0.313831896       2.22133938E-02
        2012   3.49567458E-02   1.69387623E-03   7.00670183E-02   2.65475828E-03  0.119692028       1.43597648E-02   8.09688345E-02  0.570223749       8.43854770E-02   5.69186807E-02   2.68193483E-02  0.149253026      0.137734085      0.256030232       1.93360238E-03   5.26995631E-03   2.60195043E-02   1.03811435E-02   2.97395084E-02  0.102288641       1.21257138E-02   7.07825422E-02   3.13830562E-03   9.37923864E-02   5.07087633E-02  0.624937534       1.48697561E-02   1.06348703E-02  0.375129044      0.155040845       6.97166799E-03   2.28331313E-02   2.38908688E-03   8.74928758E-02   4.50229421E-02  0.373780161       2.13231542E-03   1.24393208E-02  0.305318087       1.70285697E-04
        2013   3.10254283E-02   1.99795095E-03   6.64155260E-02   2.49846722E-03   6.52698874E-02   1.13690356E-02   7.12736696E-02  0.555037916       9.85537022E-02   3.01017165E-02   3.81302275E-02   9.78136808E-02  0.141800508      0.163566738       5.61490003E-03   6.67070923E-03   2.31268816E-02   8.95931292E-03   3.46159190E-02   3.81582975E-02   8.24166182E-03   3.99235226E-02   7.13864167E-04   9.08481404E-02   4.74623069E-02  0.461884379       8.00396316E-03   1.10130729E-02  0.155994371      0.140927553       6.04081852E-03   1.74619239E-02   3.71518685E-03   5.58169261E-02   3.06186024E-02  0.258654028       1.00803690E-03   2.22886782E-02  0.217744648       3.94377299E-02
        2014   2.30937786E-02   2.58445041E-04   4.50459458E-02   3.18948994E-03   6.50319383E-02   1.07567748E-02   4.89969477E-02  0.471202701       6.28246889E-02   4.82205153E-02   3.47853266E-02  0.135309905      0.103572227      0.114514716       1.94242469E-03   5.04860561E-03   2.35120412E-02   5.28045045E-03   1.64230913E-02   6.40858710E-02   7.23038893E-03   4.64392640E-02   2.45277770E-03   6.09354973E-02   2.92717665E-02  0.374308407       2.01726444E-02   8.76313914E-03  0.207388908      0.147223890       4.62642778E-03   2.02822275E-02   3.58624035E-03   8.41926932E-02   1.82584766E-02  0.306722820       1.40865531E-03   7.91459810E-03  0.172424838       1.32003324E-02
        2015   2.23436132E-02   2.50049867E-04   4.35827002E-02   3.08588450E-03   6.29194826E-02   1.04073584E-02   4.74053584E-02  0.455896407       6.07839264E-02   4.66541462E-02   3.36553827E-02  0.130914584      0.100207843      0.110794887       1.87932816E-03   4.88460995E-03   2.27482896E-02   5.10892365E-03   1.58896130E-02   6.20041415E-02   6.99552102E-03   4.49307598E-02   2.37310329E-03   5.89561053E-02   2.83209197E-02  0.362149596       1.95173696E-02   8.47848319E-03  0.200652212      0.142441556       4.47614538E-03   1.96233913E-02   3.46974703E-03   8.14578310E-02   1.76653787E-02  0.296759397       1.36289746E-03   7.65750511E-03  0.166823894       1.27715403E-02
        2016   1.18005732E-02   9.52973962E-04   4.10349593E-02   1.08234363E-03   3.67121026E-02   3.11301299E-03   3.17855552E-02  0.318335533       7.27475509E-02   3.55699398E-02   1.03424629E-02  0.117476247       5.66481426E-02  0.105863094       1.21520774E-03   2.93023209E-03   1.28254378E-02   6.91955024E-03   7.07270904E-03   3.16572748E-02   3.32996715E-03   3.03014480E-02   6.58882491E-04   7.31949434E-02   3.25323381E-02  0.228650510       6.79316372E-03   6.29506214E-03  0.195006877      0.138315916       2.36387411E-03   1.04084462E-02   4.21641889E-04   2.73447391E-02   1.45877665E-02  0.296330482       3.21198575E-04   4.23334911E-03  0.128698260      0.120826460    
        2017   1.48919402E-02   4.67639416E-04   4.24775220E-02   5.72279561E-04   3.12792100E-02   6.40563248E-03   4.56024483E-02  0.361504048       8.47283825E-02   2.78641377E-02   3.38735655E-02  0.122613229       9.51199085E-02  0.173767179       6.75612595E-04   3.44419200E-03   1.49156433E-02   8.87565035E-03   1.10035995E-02   4.35496680E-02   2.96504400E-03   3.97757627E-02   9.97736352E-04   8.06624591E-02   5.46639971E-02  0.337844014       1.16595887E-02   5.61147882E-03  0.123789221      0.168798804       2.82632466E-03   1.09776417E-02   1.09940965E-03   2.06281785E-02   2.32344549E-02  0.395219684       3.55393364E-04   6.29047770E-03  0.175766066       1.07029313E-02
        2018   1.38785588E-02   3.07003618E-03   2.93540116E-02   2.88430555E-03   6.63723797E-02   5.40665817E-03   3.89016345E-02  0.253473371       6.33546337E-02   3.29871848E-02   4.44020797E-03  0.123723820       4.36459929E-02  0.111513585       2.62313243E-03   4.33766609E-03   2.00296808E-02   9.49218683E-03   1.40958810E-02   5.63477799E-02   3.20172706E-03   4.31912430E-02   6.92448998E-03   4.61519398E-02   3.36509235E-02  0.364560068       2.64585316E-02   1.10071134E-02  0.214773610      0.133131549       3.02540185E-03   1.75104477E-02   2.90719606E-03   8.02927092E-02   1.60068683E-02  0.352668792       1.42703031E-03   6.96025742E-03  0.133212551       2.87048444E-02
        2019   1.98933389E-02   3.69867450E-03   4.01865430E-02   3.53699271E-03   4.92515154E-02   8.64572264E-03   6.35037795E-02  0.427270234       6.76746517E-02   2.63905041E-02   1.12940269E-02  0.108074754       7.53355697E-02  0.139948994       2.23415415E-03   4.98162769E-03   2.07146797E-02   1.04703177E-02   1.48288161E-02   5.67939393E-02   4.45030024E-03   4.21287678E-02   6.27854746E-03   7.82443359E-02   4.37052809E-02  0.407688260       2.33429167E-02   1.19759431E-02  0.154263526      0.186525956       3.11036268E-03   1.63356960E-02   9.88254230E-03   8.31520557E-02   2.71057226E-02  0.570838451       3.06966552E-03   1.42007060E-02  0.204824641      0.164547965    
        2020   2.09734458E-02   3.85852926E-03   4.37489711E-02   6.44418458E-03   6.72450289E-02   6.56613102E-03   6.42444640E-02  0.425775796       6.51876181E-02   2.08982769E-02   1.53184989E-02   4.40002717E-02  0.110158421      0.134369016       4.45381692E-03   4.28641541E-03   1.92610100E-02   9.35103279E-03   1.10831279E-02   6.92383125E-02   5.74443396E-03   4.13619094E-02   4.99548437E-03   7.03920946E-02   4.58358116E-02  0.343473852       2.44675409E-02   1.60656646E-02  0.116143346      0.174507573       2.80506723E-03   1.32819070E-02   9.39675327E-03   9.04073194E-02   2.54594423E-02  0.369505405       2.81059998E-03   1.06039867E-02  0.180522367       1.20573286E-02
 BAP            
      year       AT       BA       BE       BG       BY       CH       CZ       DE       DK       EE       ES       FI       FR       GB       GR       HR       HU       IE       IT       LT       LU       LV       MD       NL       NO       PL       RO       RS       RU       SE       SI       SK       TR       UA      ATL      BAS      BLS      MED      NOS      BIC
        1995  0.784451425       2.81603672E-02   1.81910896       6.80627003E-02  0.764726758      0.354318112       2.29555869       16.1628151       3.65951681      0.280465394      0.889004350       1.04458368       4.02227974       9.49956799       4.86561358E-02  0.136902034      0.549914598      0.303498566       1.92012262      0.654029727      0.141153976      0.327515870      0.116017751       2.99839091      0.897362351       10.8598337      0.402898043       7.02113956E-02   1.96597016       2.64090419      0.170397863      0.706660628       3.19595858E-02   1.50173080      0.660471559       3.28839970       8.98325723E-03  0.204183757       3.09361291       1.52350116    
        1996  0.818257987       8.78838003E-02   1.70405352      0.134648010       1.83653879      0.206612065       2.18828225       13.0086002       3.39795446      0.413649440      0.602267206       1.66374135       3.37082958       6.31170368      0.135163516      0.175822273      0.799518645      0.246773437       2.15480208       1.06021607      0.134579033      0.547458053      0.144192070       2.44298005      0.617732227       11.6676950      0.598450124      0.216962397       3.33112860       2.33977294      0.210074827      0.716585875       3.77985202E-02   2.65330696      0.421576232       3.12693119       1.21932318E-02  0.293573499       2.28001237       1.24129343    
        1997  0.607949555       3.07341069E-02   1.57356119       1.44032920E-02  0.775804758      0.373625994       2.03332949       12.5720539       2.85137033      0.219928265       1.10770166      0.929667771       4.37663412       8.69560051       7.91742578E-02  0.161184236      0.531213522      0.338010520       2.00312543      0.488438666      0.115258999      0.244090557       4.87684384E-02   2.32095337      0.935708940       8.66638947      0.271595895      0.103596106       2.14480853       2.42516112      0.179416686      0.439713418       5.56935668E-02   1.06222975      0.756771147       2.73233056       9.67900455E-03  0.311549455       2.86774278       2.02033019    
        1998  0.781724274       3.81664895E-02   2.15385461       9.39446762E-02   1.22859430      0.220052063       3.37980509       18.5009136       3.53304815      0.340801209       1.48728514       1.16567731       4.31653690       10.0397711      0.116043352      0.113201253      0.571375489      0.321928173       1.02387607      0.773111641      0.203289151      0.428995669       8.80957097E-02   3.23543906      0.880579889       11.3425913      0.568250000      0.121501222       2.28886771       2.94754028      0.117903322      0.631180823       8.76091942E-02   1.82595503      0.661368430       4.72846031       1.77035667E-02  0.205251083       4.41907454       1.52452660    
        1999  0.845718503       4.76582572E-02   2.14752722      0.104830340       1.20727909      0.372192144       2.65850043       17.7433147       2.78047943      0.206266239       1.35617697       1.22044766       5.03731871       8.42939281       6.03255183E-02  0.136821896      0.582412183      0.339185238       1.83896804      0.671324015      0.189631835      0.325476259       9.44443196E-02   2.84780335      0.628336251       10.7077045      0.614385426      0.152966931       2.36509943       2.16519475      0.173629239      0.490947098       2.06714291E-02   1.58095157      0.730458856       4.17944288       2.30452698E-02  0.313435704       3.78950334       1.13932657    
        2000   1.25940645      0.142639592       1.97076082      0.181687579      0.963526487      0.383939087       3.40183616       16.9081573       2.04438257      0.114718959       1.80848157      0.597245216       4.76137304       5.87838173      0.219115883      0.405209869       1.25421321      0.248490065       3.94318128      0.494090706      0.168130890      0.195889533       8.80010873E-02   2.46121407      0.466370314       11.7166243       1.02388096      0.351745397       1.14834511       1.76118910      0.321270704      0.814292252      0.216137469       2.03246355      0.687507510       3.69789314       5.14602140E-02  0.804441631       3.30558729       1.42720175    
        2001   1.02574587       4.42373827E-02   2.15282583      0.127946407       1.10126257      0.304554254       2.74361324       17.7113647       2.35768414      0.311403602      0.919188976       1.26209819       3.31293535       6.59409332       9.86054689E-02  0.208922431      0.894416511      0.308195800       1.58249032      0.649693966      0.165784240      0.370216757       6.32522106E-02   3.14033580      0.573879063       11.8853235      0.840263844      0.191663519       1.94795966       1.94342148      0.248099118      0.760273576      0.127788752       2.06353116      0.603668153       4.82856655       3.57061066E-02  0.259723127       4.17210913      0.555348635    
        2002  0.875572741       3.81616317E-02   1.82787740       9.05833840E-02   1.23728049      0.310695201       2.11399746       13.1173468       2.18758416      0.337574273       1.16313875      0.966654480       3.52626562       7.67519140      0.106443726      0.172104642      0.725612462      0.353063941       1.59938860      0.599654973      0.145674765      0.332825899       5.63241057E-02   2.66970563      0.632078469       8.77227974      0.525325119      0.146385103       2.54593205       1.85405970      0.177472249      0.540528536       2.22348198E-02   1.69984555      0.745276928       4.17007875       2.47707516E-02  0.459824085       3.93569779       1.12687600    
        2003   1.02229750       7.15494156E-02   1.23706567       4.17000987E-02  0.676120579      0.348363250       2.49587727       12.6638603       2.23766136      0.196688920       1.45909238       1.35639977       3.60815549       5.36718607       7.50758350E-02  0.196037367      0.736551702      0.267391562       2.12612224      0.525824547      0.141224116      0.267994493       2.47756839E-02   1.83814752      0.747850478       8.83901310      0.427872747      0.174906105       1.37711775       2.05806780      0.193678021      0.539527118       2.72856709E-02  0.804097891      0.689117908       4.27157402       1.30996536E-02  0.527538121       3.67897511       1.11721909    
        2004  0.656337678       4.05588038E-02   2.02641535       7.51041844E-02  0.745212793      0.220922694       1.74994552       13.8083162       2.38388419      0.226289317       1.65393448      0.841384411       3.88600922       7.00536919       7.44393095E-02  0.104089059      0.573674619      0.324359745       1.15984333      0.452458411      0.159827247      0.246848911       3.65855917E-02   2.85998583      0.916383922       7.76712942      0.375684530       9.71992835E-02   1.52448344       2.17581272      0.138487533      0.428050965       7.22614303E-02   1.13856518      0.842399180       4.57322216       2.53239162E-02  0.327572197       5.09413528       1.12598586    
        2005  0.905143499       6.45275638E-02   1.31855190      0.156748012      0.952805459      0.350883484       1.69564307       11.8381424       2.45841241      0.228432268       1.22137213      0.833330035       3.68974638       5.44364738       9.10635814E-02  0.215286911      0.934513927      0.219491363       1.50845468      0.556887031      0.145258695      0.345972151       8.39702860E-02   2.18455815      0.537259400       7.08322859      0.686229706      0.264531642       3.41846251       1.69269860      0.236851498      0.408079058       5.57507649E-02   2.26219416      0.696772993       4.67578030       3.53316516E-02  0.378331095       4.19040966       1.03484404    
        2006  0.989575386       3.31075303E-02   2.06561518       2.43481565E-02  0.855573893      0.448410571       2.60560489       16.0759525       2.04771447      0.189737916       1.50089872      0.559250832       5.02181864       6.58321333       1.64245162E-02  0.162384927      0.567892492      0.284224778       2.07643008      0.645334244      0.194794610      0.453076303       2.23944075E-02   2.54252815      0.540476084       9.84381104      0.138363466       3.60859111E-02   2.41663671       1.43402672      0.159336671      0.299806595       1.29504465E-02  0.418940872      0.803562462       4.26345348       8.30665324E-03  0.410998940       4.23799944       1.14564073    
        2007  0.966244042       2.43969075E-02   1.86602497       7.56931081E-02  0.668447018      0.327459365       2.37528205       13.0916491       2.40556860      0.250377536      0.984926462      0.745061874       4.21276617       5.28711605       9.67079997E-02  0.133873791      0.545879662      0.217906505       1.01470053      0.834270000       8.31476003E-02  0.415050715       4.19451222E-02   2.19701815      0.737417400       9.57494640      0.403784245      0.116926715       2.50086737       2.00269651      0.133530840      0.359733611      0.118790098      0.811870694      0.663706720       6.10669041       2.56999768E-02  0.287088603       4.96019745       1.17235124    
        2008  0.909298241      0.179040849       1.89266920      0.146203607      0.400732070      0.371309370       1.99348164       14.7757244       1.91683209      0.296336174      0.853186846      0.854885757       4.80009604       6.50575352      0.214038178      0.201549530      0.706872523      0.298439056       1.36549723      0.505756915      0.140711129      0.310007095       5.93029633E-02   2.76090741      0.531978726       7.88077259      0.654884338      0.350460678       2.54561901       1.44904149      0.168675050      0.466007859       4.74018306E-02  0.907103121      0.812235713       5.43278646       2.49679349E-02  0.468006939       5.51111937      0.808206797    
        2009  0.628265440      0.106876269       1.01352918       8.39251205E-02   1.23990738      0.248483241       1.86151636       9.91143990       1.49448442      0.304730773      0.701077163      0.911951959       2.74286628       3.17522645      0.103374086      0.175416455      0.643978298      0.140372053      0.969515920      0.853753030       8.12001079E-02  0.327259690       5.46946414E-02   1.48170888      0.673699796       10.0742331      0.374317348      0.153696671       4.43513155       1.46696436      0.125579417      0.483860791      0.256232202       1.16320157      0.669605792       4.23350763       4.47027721E-02  0.483215421       4.12312412       1.94027972    
        2010  0.849422097       9.89628434E-02  0.945132971       4.83481996E-02   1.49915731      0.307441384       2.03564000       11.5592861       1.87165844      0.565685689      0.448668212       1.27456057       2.83577204       3.23671436       6.29781038E-02  0.195441559      0.672868490      0.112393156      0.987728238       1.22145259      0.195156381      0.607466161       4.48818132E-02   1.58257961      0.831320643       11.1742229      0.437717736      0.287979275       3.81504822       2.28812814      0.176694483      0.535287976      0.241622955       1.68424559      0.579922080       5.75037670       4.08179425E-02  0.417550534       4.48057938      0.854992032    
        2011  0.670498610       7.27497712E-02   1.67683315       3.94901894E-02  0.516675353      0.241440758       1.75221348       12.4108429       1.67828512      0.181530789      0.731048226      0.480494708       3.86055803       5.27536678       3.47973965E-02  0.134150848      0.492139131      0.196650296      0.542218208      0.473275602      0.304429263      0.229030848       4.28079702E-02   2.40094829      0.525837839       8.27464104      0.225834891      0.309432894       1.30599356       1.37415981      0.103825562      0.334314376       9.62370262E-03  0.496014416      0.926044822       4.38093996       1.34036774E-02  0.172057271       5.47075844      0.694032550    
        2012  0.879575193       6.73603266E-02   1.45712686       3.74276452E-02   1.00742650      0.301724970       2.22003722       14.7383537       1.52849460      0.242202669      0.764346480      0.690644085       3.53564525       4.73540354       3.01637501E-02  0.139009088      0.546330690      0.227712601      0.764622569      0.882195652      0.327239454      0.467252672       4.44876440E-02   1.95315242      0.646527290       12.0719414      0.285354227      0.254290551       2.61952567       1.57992864      0.151182756      0.449321926       3.25542837E-02  0.828102171      0.911243379       4.50226355       2.06484385E-02  0.323871285       5.27619267      0.246121779    
        2013  0.612627685       4.27682512E-02   1.35489190       6.22837394E-02  0.876894772      0.217907339       1.43598759       12.8512220       1.64942658      0.224306837      0.512038171      0.602041543       2.94673705       3.65215540       7.81909153E-02  0.106653228      0.456846535      0.184459999      0.537551343      0.638372898      0.206530988      0.419228166       2.13023797E-02   1.91086268      0.446808666       7.90789652      0.250419080      0.185157806       1.86465418       1.25072110      0.101222478      0.367860407       8.56452212E-02  0.969046474      0.553892970       3.72753882       1.99365653E-02  0.283036500       3.88552451      0.605440080    
        2014  0.665699363       2.94073913E-02   1.20577061       9.07879993E-02  0.870763540      0.226657242       1.41753745       13.1166344       1.58136034      0.213818923      0.417635381      0.530372381       2.21753860       2.62715459       6.25391081E-02  0.121359743      0.523908198      0.120459467      0.491464406      0.650337338      0.169739574      0.395176172       4.30644751E-02   1.76340067      0.365819097       8.77363205      0.392013103      0.214887723       2.24231911       1.40187120      0.116231553      0.455315351      0.208563745       1.51982844      0.362164587       4.32021284       2.85660848E-02  0.213230431       3.82921171      0.260846645    
        2015  0.664549708       2.93566044E-02   1.20368826       9.06312093E-02  0.869259775      0.226265803       1.41508937       13.0939817       1.57862937      0.213449672      0.416914135      0.529456437       2.21370912       2.62261748       6.24311008E-02  0.121150151      0.523003399      0.120251440      0.490615636      0.649214208      0.169446439      0.394493699       4.29901034E-02   1.76035523      0.365187317       8.75848007      0.391336113      0.214516610       2.23844647       1.39945018      0.116030820      0.454529017      0.208203554       1.51720369      0.361539125       4.31275177       2.85167526E-02  0.212862179       3.82259870      0.260396183    
        2016  0.362208068       1.17830932E-02   1.07207310       4.85294964E-03  0.613345921       9.12629887E-02  0.925874949       10.0284624       1.75149262      0.238500670      0.172756493      0.606369793       1.47141969       2.81045413       4.81243851E-03   5.87120429E-02  0.333107889      0.210242987      0.174744278      0.658931434       8.38596374E-02  0.401969910       2.75034420E-02   1.80854046      0.454111695       6.78157568      0.120197073       6.45245984E-02   2.04615736       1.47600579       5.59307486E-02  0.274957061       1.56292436E-03  0.729716063      0.294291943       5.01819324       6.96160924E-03   6.28097951E-02   3.13079786       2.14222693    
        2017  0.427631050       1.65101532E-02   1.26727331       7.68400868E-03  0.521392822      0.144023851      0.894251049       11.6101818       2.48285508      0.197360203      0.405210733      0.596813858       1.93314421       4.37599850       6.72325352E-03   6.79349601E-02  0.220358148      0.270254940      0.344882905      0.560664415       7.80763105E-02  0.357108414       1.36663700E-02   2.61972380      0.789612174       7.12461996      0.126658082      0.101629406       1.59255826       1.96890557       6.33568838E-02  0.173874453       1.23701487E-02  0.339435697      0.512418628       6.17355442       5.02457470E-03  0.138445690       4.82116032      0.194752946    
        2018  0.399733454       6.58323392E-02  0.830112338       3.85749191E-02  0.635271847      0.130162194       1.04124737       9.27112198       1.39091098      0.248897046      0.169404134      0.821108758       1.21291304       2.98497224       5.28817959E-02   7.57927522E-02  0.375442177      0.216663152      0.248562708      0.678427219       7.19791353E-02  0.421223164       4.39965762E-02   1.62278867      0.449408233       7.68797112      0.289312661      0.199831367       2.60342574       1.44747484       5.47576100E-02  0.293687344       2.52884589E-02  0.639240026      0.338395655       5.51497889       1.41506996E-02  0.134631068       3.30221200      0.338207632    
        2019  0.578589499       8.08401927E-02   1.05190527       5.02740555E-02  0.444994807      0.155633494       1.36968720       10.5545158       1.44345200      0.109280340      0.299049020      0.436295927       1.88667619       2.81926703       3.26093957E-02  0.130390570      0.510586023      0.176631033      0.421865404      0.489968359      0.107219353      0.235513881       6.10710271E-02   1.90006614      0.556173861       7.40428066      0.320574164      0.237184584       1.01830745       1.62084711       9.75945517E-02  0.372648507       9.35148373E-02  0.837428927      0.515021205       6.45942926       3.52120437E-02  0.313357323       4.44616079       2.53509235    
        2020  0.418804288       6.21281154E-02   1.05221713       4.91333492E-02  0.446500957      0.193317100       1.23365116       10.9130688       1.19352543      0.110692143      0.298962414      0.244126707       2.21865463       2.94104052       4.46458757E-02   7.30712041E-02  0.332454860      0.189636976      0.219545081      0.484151155      0.107395351      0.252902478       5.14979996E-02   1.86878943      0.379010946       6.11066246      0.297662199      0.222573608       1.10228145       1.14710081       5.17567620E-02  0.265035242       7.35615715E-02  0.838415623      0.426501185       4.38219643       2.11000293E-02  0.188549072       3.74519229      0.202289909    
 BOB            
      year       AT       BA       BE       BG       BY       CH       CZ       DE       DK       EE       ES       FI       FR       GB       GR       HR       HU       IE       IT       LT       LU       LV       MD       NL       NO       PL       RO       RS       RU       SE       SI       SK       TR       UA      ATL      BAS      BLS      MED      NOS      BIC
        1995   3.91659103E-02   1.93097664E-03  0.146148309       7.65843550E-03  0.137935162       1.96643583E-02  0.158472627      0.881523132      0.232260510       7.16854185E-02   3.21875475E-02  0.740797639      0.196314469      0.610938966       1.11574237E-03   4.18472942E-03   1.96580011E-02   1.21726096E-02   7.91631937E-02   5.32987118E-02   8.19385611E-03   3.94257568E-02   5.53447707E-03  0.222554952      0.147249803      0.514817357       1.96267460E-02   2.95642228E-03  0.544703066      0.398801178       6.17755624E-03   4.17321883E-02   1.28006674E-02  0.138574958       4.23483029E-02  0.264609456       9.47867695E-04   1.17705753E-02  0.246178091       3.85210514E-02
        1996   2.57049818E-02   5.37879439E-03   8.08793455E-02   1.19725140E-02  0.102523603       1.82968881E-02  0.101687185      0.575577736      0.162715018       6.56725168E-02   4.37520146E-02  0.755029559      0.162224621      0.428690523       8.94870795E-03   3.97423701E-03   2.51749624E-02   1.21391341E-02  0.104111724       4.62550893E-02   5.98101551E-03   3.79823111E-02   1.13604330E-02  0.210275024      0.114402942      0.411336482       4.37854528E-02   8.15472938E-03  0.482832938      0.327657193       6.34451397E-03   2.21714694E-02   9.82131809E-03  0.190683067       3.31279263E-02  0.192333713       1.82371633E-03   2.52679028E-02  0.124652825       3.63955721E-02
        1997   1.99226905E-02   7.82361662E-04   6.53674528E-02   5.91618533E-04   6.52135760E-02   1.28750317E-02   6.57272041E-02  0.359010220      0.113743819       5.55962175E-02   8.87802169E-02  0.649281681      0.207404181      0.541524708       9.49556357E-04   2.70107808E-03   1.32381618E-02   1.67204309E-02   8.00826848E-02   6.40885606E-02   5.10481047E-03   4.24414128E-02   9.13095311E-04   9.64154452E-02  0.144328937      0.341154248       4.23572492E-03   1.66074408E-03  0.314472228      0.374475092       4.57511283E-03   1.41641935E-02   2.78267520E-03   4.12303396E-02   4.69607562E-02  0.223877698       5.16962202E-04   1.56690031E-02  0.179599196       8.43219012E-02
        1998   3.31907868E-02   1.69045187E-03   8.03034604E-02   3.51231685E-03  0.145540968       1.23742251E-02   9.12232250E-02  0.547466397      0.183720738       8.67329463E-02   8.33223388E-02   1.04579592      0.214156896      0.471703082       3.55053786E-03   1.03764832E-02   3.18567008E-02   1.37474323E-02   7.28757158E-02   8.20231959E-02   7.07434490E-03   5.31521402E-02   6.23705518E-03  0.110270709      0.155044183      0.514421463       2.32180823E-02   5.06858807E-03  0.713139832      0.527654529       9.21339355E-03   3.39654684E-02   4.16970951E-03  0.180544868       4.82247621E-02  0.378740311       1.35130342E-03   2.16346923E-02  0.264931232      0.144479811    
        1999   2.86432877E-02   2.95434264E-03   9.19970348E-02   1.01330364E-02  0.101655029       1.36260157E-02   9.65404883E-02  0.776907682      0.217507303       6.67169765E-02   5.67919053E-02  0.747552335      0.169136122      0.591656446       5.08840568E-03   5.41801704E-03   3.06742657E-02   1.39891328E-02   5.78910708E-02   5.02255075E-02   7.58471293E-03   4.04850170E-02   6.99258689E-03  0.169927403      0.129085943      0.415804029       6.03289120E-02   5.91056282E-03  0.562687933      0.471631527       4.74067731E-03   2.34444030E-02   5.30243153E-03  0.169773847       4.82079536E-02  0.355832279       1.72333803E-03   1.31189190E-02  0.304257989       7.63541013E-02
        2000   6.15697205E-02   5.20952791E-03  0.158025235       1.34884520E-02  0.145633250       2.10313480E-02  0.189342380      0.737350404      0.155218720       7.88954198E-02  0.107037619      0.871317208      0.312521338      0.675389528       1.21591259E-02   1.79885197E-02   6.52382448E-02   2.88302880E-02  0.175956354       7.57974908E-02   9.31392424E-03   5.46786487E-02   6.86735241E-03  0.202692583      0.129691079      0.717215300       6.48375228E-02   1.07612461E-02  0.523743987      0.407228589       1.92278773E-02   4.77774590E-02   8.35597888E-03  0.191772342       7.69653171E-02  0.413949192       3.29724792E-03   3.83837856E-02  0.349263847      0.113376975    
