 OXN dry deposition
 ARC            
      year       AT       BA       BE       BG       BY       CH       CZ       DE       DK       EE       ES       FI       FR       GB       GR       HR       HU       IE       IT       LT       LU       LV       MD       NL       NO       PL       RO       RS       RU       SE       SI       SK       TR       UA      ATL      BAS      BLS      MED      NOS      BIC
        2005   1.02540962E-02   1.07008428E-03   2.09797807E-02   9.35953518E-04   4.35684472E-02   2.57186685E-03   2.53489185E-02  0.144472018       6.60538152E-02   1.59391984E-02   8.95863958E-03  0.100186594       4.85534370E-02  0.117372029       2.53882725E-04   1.08576415E-03   1.15682688E-02   4.42870753E-03   1.01916324E-02   1.85790956E-02   1.40341034E-03   1.98025983E-02   6.55735086E-04   2.78052893E-02   3.50527354E-02  0.177945524       1.12268040E-02   2.36273790E-03  0.215933323      0.168440312       2.05084844E-03   7.59394746E-03   8.06261378E-04   4.72127125E-02   1.99932326E-02  0.452319980       6.67259737E-04   9.64745355E-04  0.127183422       5.16069792E-02
        2006   1.08382758E-02   1.52074150E-04   2.69378461E-02   7.43905723E-04   2.50618178E-02   4.25929669E-03   2.98167318E-02  0.166787922       5.56852780E-02   2.16411222E-02   8.24431051E-03  0.143421754       5.88679649E-02  0.122365169       5.16123313E-04   1.83935103E-03   9.97548923E-03   4.88749426E-03   1.77723728E-02   1.90066770E-02   1.37963973E-03   1.85508840E-02   3.94903909E-04   3.57623622E-02   2.88764015E-02  0.158391178       4.13902057E-03   6.28378766E-04  0.189321786      0.139321342       1.80820923E-03   6.01333566E-03   1.21584476E-03   1.55672822E-02   2.14930642E-02  0.483578920       2.56148400E-04   1.75047596E-03  0.117782749       4.92470413E-02
        2007   8.20368063E-03   1.81163909E-04   1.66608207E-02   5.20050991E-04   1.50417145E-02   1.26024603E-03   2.11257227E-02  0.128776982       4.65943404E-02   2.80072708E-02   4.30425210E-03  0.166493863       3.46488021E-02  0.129630312       6.52399380E-04   8.64842616E-04   7.80649250E-03   5.00374567E-03   4.20481572E-03   1.94545072E-02   6.15712663E-04   1.58484578E-02   5.16062195E-04   2.54330784E-02   4.20450196E-02  0.149678901       4.53949021E-03   7.69997016E-04  0.174980834      0.162203789       1.00095302E-03   5.17391553E-03   1.91049126E-03   1.93187650E-02   1.88802574E-02  0.326944083       4.21473436E-04   1.66160450E-03  0.121653646       2.21674833E-02
        2008   8.95638857E-03   1.29411998E-03   2.15823725E-02   9.93664376E-04   1.13816746E-02   2.58866791E-03   2.20259260E-02  0.133046433       4.86724302E-02   1.98827758E-02   5.42003475E-03  0.141665101       4.44998443E-02  0.112596840       1.10600470E-03   2.54773349E-03   8.42328183E-03   5.81410993E-03   1.13423029E-02   1.28287897E-02   1.15299330E-03   9.38552991E-03   1.44650624E-03   3.07845157E-02   3.99655737E-02  0.101761192       7.48800021E-03   2.40064133E-03  0.138802141      0.134969503       1.57524121E-03   5.79637801E-03   6.61264698E-04   3.14208642E-02   1.74886156E-02  0.307856679       5.00611204E-04   3.52109666E-03  0.120100781       3.41535583E-02
        2009   4.23594099E-03   9.39949765E-04   1.39231896E-02   3.43262713E-04   4.08158265E-02   1.89854391E-03   1.22288782E-02   9.76343453E-02   3.47975306E-02   3.28490436E-02   4.01851581E-03  0.140789717       3.36243249E-02   7.26187602E-02   4.78864938E-04   1.24410936E-03   5.54885529E-03   3.74200917E-03   5.68567216E-03   2.64368579E-02   7.37037451E-04   1.94046404E-02   5.79483167E-04   2.29223557E-02   3.03807072E-02  0.107163548       2.59582791E-03   1.69940176E-03  0.241078973      0.121658757       6.78792188E-04   4.11707954E-03   1.99191691E-03   2.10570078E-02   1.67298876E-02  0.359650642       4.66752157E-04   2.22511799E-03  0.109033309       4.55744639E-02
        2010   3.32681462E-03   2.60511879E-04   1.25578837E-02   2.33974977E-04   4.74929214E-02   5.08860103E-04   1.13431690E-02   9.18692425E-02   3.41417529E-02   4.68016900E-02   9.08144691E-04  0.223341286       2.12602317E-02   4.81641963E-02   1.89168597E-04   2.46856362E-04   4.01392579E-03   1.83076691E-03   5.49692835E-04   3.28099690E-02   3.74728494E-04   3.01541705E-02   2.23569150E-04   2.21884344E-02   3.25336903E-02  0.124443538       1.09061413E-03   4.79787355E-04  0.222274318      0.147263765       2.36305859E-04   3.24596791E-03   3.76503594E-04   2.46327762E-02   1.52483890E-02  0.387358755       2.46522395E-04   4.48887120E-04   9.64912623E-02   3.40370163E-02
        2011   4.45774151E-03   3.70714726E-04   1.65435672E-02   5.19103312E-04   2.49813721E-02   1.28936209E-03   1.75924618E-02  0.141479671       4.58902679E-02   3.75114232E-02   2.73177098E-03  0.167632401       2.56188605E-02  0.100515522       3.11433861E-04   4.61760676E-04   3.54915741E-03   4.53935238E-03   1.37110753E-03   2.30879635E-02   2.72646593E-03   1.86686441E-02   1.55042880E-03   3.14570107E-02   4.03491147E-02  0.120577738       5.06524136E-03   1.50687958E-03  0.104321651      0.141245395       4.12196358E-04   3.16859339E-03   2.30321661E-04   1.83261521E-02   2.06575543E-02  0.341325164       2.03633914E-04   1.01187173E-03  0.148136064       2.31048111E-02
        2012   4.12371755E-03   1.07216751E-04   1.91226751E-02   2.78266292E-04   2.98103187E-02   1.67595316E-03   1.09188668E-02  0.126109809       4.04548869E-02   3.43677029E-02   1.68110582E-03  0.122264735       2.61595678E-02   8.56643617E-02   2.71360448E-04   4.81175812E-04   3.73164960E-03   2.84957257E-03   1.77799328E-03   2.21057385E-02   1.66682561E-03   2.32473239E-02   5.59842505E-04   2.84134522E-02   2.77876500E-02  0.131305993       2.03704811E-03   8.48500757E-04  0.195819303      0.114501819       5.63162437E-04   2.75620888E-03   8.41501926E-04   1.64117813E-02   1.69389676E-02  0.326849520       4.12367663E-04   1.16632215E-03  0.141802400       3.11330915E-03
        2013   4.24050959E-03   4.69709630E-04   1.47236111E-02   2.78199441E-04   1.58086102E-02   1.13100570E-03   1.08840903E-02   9.49949473E-02   4.17465530E-02   2.99474802E-02   2.58260989E-03  0.198940843       2.22848244E-02   6.84435666E-02   4.34470159E-04   1.05102756E-03   3.50141455E-03   3.94606264E-03   5.29787969E-03   9.19091981E-03   1.04842521E-03   1.68578811E-02   9.34229538E-05   2.41249502E-02   3.30940895E-02  0.103884511       1.12509110E-03   1.63512351E-03  0.110912867      0.139029905       1.00415375E-03   2.90546147E-03   4.99189831E-04   9.69948713E-03   1.56534221E-02  0.362271667       1.31408029E-04   2.02564825E-03   9.92009714E-02   2.58040689E-02
        2014   2.95646815E-03   5.84108406E-04   1.33777233E-02   1.07980566E-03   3.16943973E-02   1.00877543E-03   1.10154320E-02  0.102214113       3.45648490E-02   5.94298318E-02   1.50534709E-03  0.201686829       1.88041739E-02   4.75036502E-02   4.67948528E-04   4.33511945E-04   3.38823139E-03   1.98234175E-03   1.15437724E-03   2.45045796E-02   1.62669877E-03   3.52809019E-02   5.00095019E-04   1.91407539E-02   2.47560367E-02  0.123151824       4.36619250E-03   1.74855685E-03  0.197822005      0.131712824       3.78896104E-04   5.04816929E-03   1.38222473E-03   2.98496690E-02   9.67523176E-03  0.390370011       4.25536564E-04   7.91644328E-04   8.49371850E-02   2.10788865E-02
