          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.049253;     0.030204;     0.265904;     0.003729;     0.052833;     0.039726;     0.824118;     0.041364;     0.000225;     1.560724;     0.001376;     7.281756;     2.408247;     0.014218;     0.010561;     0.935358;     0.023297;     0.237642;     0.003087;     0.037557;     0.000762;     0.000197;     0.337569;     0.037950;     0.039103;     0.211183;     0.008476;     0.020399;     0.007652;     0.034676;     0.010602;     0.005265;     0.006894;     0.010143;     0.037950
EEZ65       ;     0.016873;     0.016511;     0.083407;     0.034833;     0.007908;     0.023733;     0.780690;     0.617781;     0.012164;     0.068748;     0.038252;     0.718797;     1.683461;     0.001653;     0.009071;     0.970712;     0.196790;     0.026638;     0.039322;     0.004010;     0.017885;     0.000949;     0.206715;     0.313440;     0.143647;     0.011080;     0.017408;     0.002808;     0.039524;     0.181199;     0.001761;     0.006557;     0.001428;     0.008806;     0.313440
EEZ71       ;     0.017003;     0.046874;     0.096776;     0.009232;     0.034611;     0.014311;     0.757406;     0.514622;     0.011045;     0.206019;     0.021994;     1.036342;     1.599171;     0.004005;     0.003359;     0.805066;     4.081593;     0.084788;     0.020939;     0.007189;     0.008857;     0.001248;     0.171106;     0.214368;     0.080845;     0.030830;     0.003229;     0.023495;     0.028766;     0.140498;     0.002784;     0.002469;     0.003723;     0.007070;     0.214368
EEZ91       ;     0.091959;     0.024751;     0.653459;     0.043079;     0.058935;     0.043558;     1.104277;     0.026674;     0.003974;    24.381367;     0.004388;     8.271479;     1.655512;     0.033950;     0.026804;     0.440438;     0.013135;     0.429190;     0.006174;     0.047879;     0.002507;     0.002193;     0.380522;     0.007451;     0.077366;    24.252018;     0.019874;     0.024878;     0.015852;     0.009523;     0.019133;     0.005831;     0.015106;     0.024303;     0.007451
EEZ99       ;     0.001508;     0.000243;     0.018902;     0.001112;     0.002872;     0.000174;     0.034339;     0.000712;     0.000010;     0.098663;     0.000008;     0.844584;     0.048948;     0.000220;     0.000588;     0.033863;     0.000243;     0.005467;     0.000377;     0.000172;     0.000160;     0.000021;     0.016998;     0.000115;     0.002850;     0.007439;     0.000642;     0.000243;     0.000486;     0.000238;     0.000173;     0.000159;     0.000113;     0.000243;     0.000115
EEZ100      ;     0.001196;     0.000448;     0.006761;     0.002139;     0.000815;     0.001932;     0.061738;     0.027526;     0.000072;     0.002656;     0.000858;     0.049892;     0.150702;     0.000058;     0.000854;     0.080621;     0.004029;     0.001532;     0.000877;     0.000239;     0.000520;     0.000080;     0.020284;     0.007810;     0.008080;     0.000495;     0.001714;     0.000110;     0.001660;     0.006602;     0.000050;     0.000571;     0.000067;     0.000202;     0.007810
EEZ108      ;     0.075293;     0.030232;     0.606147;     0.023749;     0.094397;     0.048425;     1.979396;     0.285229;     0.013277;     0.515144;     0.012553;    10.920974;    14.046663;     0.011897;     0.031804;    48.989941;     0.034993;     0.112670;     0.012915;     0.026179;     0.010770;     0.001479;     0.917343;     0.062001;     0.154751;     0.137788;     0.026334;     0.021336;     0.031963;     0.110384;     0.008999;     0.016016;     0.018089;     0.024872;     0.062001
EEZ109      ;     0.001748;     0.000161;     0.080098;     0.002407;     0.007494;     0.001268;     0.093237;     0.003698;     0.000419;     0.002256;     0.000419;     2.571397;     0.941171;     0.000766;     0.001919;     0.208761;     0.000419;     0.002173;     0.001367;     0.000359;     0.000577;     0.000056;     0.090348;     0.000419;     0.008355;     0.001267;     0.001340;     0.000865;     0.001142;     0.001140;     0.000388;     0.000630;     0.000097;     0.000419;     0.000419
EEZ110      ;     0.000136;     0.000135;     0.021121;     0.000742;     0.002833;     0.000112;     0.022193;     0.000756;     0.000135;     0.000137;     0.000135;     1.955569;     0.151075;     0.000160;     0.000443;     0.045661;     0.000135;     0.000945;     0.000384;     0.000135;     0.000218;     0.000022;     0.025181;     0.000135;     0.002028;     0.000139;     0.000349;     0.000074;     0.000154;     0.000168;     0.000073;     0.000118;     0.000132;     0.000135;     0.000135
EEZ119      ;     0.000014;     0.000092;     0.000130;     0.000046;     0.000014;     0.000025;     0.002453;     0.001705;     0.000019;     0.000237;     0.000069;     0.002011;     0.006444;     0.000005;     0.000016;     0.002755;     0.002746;     0.000077;     0.000202;     0.000003;     0.000076;     0.000002;     0.000379;     0.001127;     0.000484;     0.000045;     0.000014;     0.000002;     0.000099;     0.000527;     0.000004;     0.000009;     0.000003;     0.000040;     0.001127
