          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
HE8         ;     0.004235;     0.000837;     0.014519;     0.236727;     0.003355;     0.014857;     0.388350;     0.173449;     0.220384;     0.004464;     2.065748;     0.079078;     0.052736;     0.001729;     0.011981;     0.012467;     0.001129;     0.004531;     0.168799;     0.001371;     0.120932;     0.002268;     0.062029;     0.043286;     0.245428;     0.000420;     0.018852;     0.004107;     0.198711;     0.620142;     0.001014;     0.007214;     0.005912;     0.055655;     0.043286
HE5         ;     0.158661;     0.024261;     0.478801;    12.129642;     0.163223;     0.793422;    38.633682;    14.569172;     1.853498;     0.034029;     1.787983;     1.795579;     0.932852;     0.106097;     0.865974;     0.418441;     0.022973;     0.219337;    11.383183;     0.025306;     4.731583;     0.204304;     2.988652;     0.488211;    32.239540;     0.013733;     1.128035;     0.086185;     4.138105;    22.595556;     0.061488;     0.425746;     0.176170;     2.315382;     0.488211
HE1         ;     0.001344;     0.002036;     0.007154;     0.107452;     0.001267;     0.003578;     0.089199;     0.053834;     0.023598;     0.002373;     3.011090;     0.040286;     0.045944;     0.001986;     0.009167;     0.014634;     0.002054;     0.002974;     0.060323;     0.000362;     0.040641;     0.000979;     0.019837;     0.050798;     0.060093;     0.000375;     0.007564;     0.002439;     0.029629;     0.960137;     0.000627;     0.005780;     0.007541;     0.011107;     0.050798
HE2         ;     0.005789;     0.004933;     0.038620;     0.539871;     0.004844;     0.019846;     0.671719;     0.493313;     0.235215;     0.024522;     3.099983;     0.285589;     0.172280;     0.005078;     0.035532;     0.059555;     0.005128;     0.008653;     0.325573;     0.004230;     0.231264;     0.004228;     0.169025;     0.273835;     0.482663;     0.003322;     0.047424;     0.007900;     0.252951;     3.656026;     0.002335;     0.025063;     0.014801;     0.112058;     0.273835
HE3         ;     0.013292;     0.002623;     0.029554;     1.036762;     0.007734;     0.050674;     0.745951;     0.228558;     3.215211;     0.003632;     1.838304;     0.113907;     0.077743;     0.004907;     0.038937;     0.020353;     0.002982;     0.016319;     0.561674;     0.001988;     0.469955;     0.015691;     0.110877;     0.046420;     0.611307;     0.000661;     0.071219;     0.006615;     2.401114;     0.469966;     0.003390;     0.019830;     0.009847;     0.195588;     0.046420
HE4         ;     0.009552;     0.001571;     0.026902;     1.144654;     0.006098;     0.041574;     0.625860;     0.188420;     1.408692;     0.002173;     0.209918;     0.090153;     0.070493;     0.004960;     0.033479;     0.019178;     0.001543;     0.014437;     1.123890;     0.001965;     2.140681;     0.014453;     0.094875;     0.023640;     0.688695;     0.000161;     0.060872;     0.004370;     0.397008;     0.364822;     0.002782;     0.013823;     0.007696;     0.135968;     0.023640
HE7         ;     0.025864;     0.002383;     0.039135;     0.475165;     0.012828;     0.061045;     5.176624;    16.028358;     0.017041;     0.004154;     0.034430;     0.405680;     0.198094;     0.007549;     0.053963;     0.108342;     0.002331;     0.003471;     0.219970;     0.002728;     0.077652;     0.009922;     0.958961;     0.190615;     0.748675;     0.002354;     0.043971;     0.004972;     0.039802;     3.669227;     0.005802;     0.027105;     0.007325;     0.089839;     0.190615
HE6         ;     0.002785;     0.000245;     0.013869;     0.061877;     0.002100;     0.009164;     0.875920;     1.261169;     0.002184;     0.000213;     0.003657;     0.034273;     0.023276;     0.001283;     0.009564;     0.007324;     0.000245;     0.000849;     0.029510;     0.000183;     0.010391;     0.001584;     0.112476;     0.007585;     0.182079;     0.000245;     0.008441;     0.000993;     0.009181;     0.686036;     0.000856;     0.004847;     0.000456;     0.021556;     0.007585
HE9         ;     0.009097;     0.002062;     0.101990;     0.330216;     0.015514;     0.030385;    27.032547;    16.751740;     0.004566;     0.002080;     0.009706;     0.367069;     0.037706;     0.005019;     0.052258;     0.077498;     0.002080;     0.002284;     0.147564;     0.002074;     0.043943;     0.011172;     1.647007;     0.034472;     0.987408;     0.002080;     0.045565;     0.002781;     0.007529;     0.458278;     0.006040;     0.021094;     0.002187;     0.056520;     0.034472
