          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
HE8         ;     0.112063;     0.026860;     0.169176;     0.980969;     0.089592;     0.322817;     3.138233;     0.408049;     0.496053;     0.321882;     1.462516;     0.830658;     0.390964;     0.047088;     0.232874;     0.057481;     0.000912;     0.158684;     0.811929;     0.019691;     0.426834;     0.043869;     0.271064;     0.104097;     2.641213;     0.022670;     0.329010;     0.158383;     1.231140;     1.364536;     0.033371;     0.131070;     0.085609;     1.000546;     0.104097
HE5         ;     3.809879;     0.645211;     5.296604;    16.214592;     2.132684;    10.511105;   138.613647;    20.092579;     2.371313;     3.635794;     2.485167;    19.423346;    10.375797;     1.165259;     5.740845;     1.543276;     0.022398;     4.109901;    11.903111;     0.566738;     4.529957;     0.751042;    12.734828;     1.544247;    84.569962;     0.223146;     5.939913;     3.650200;    14.848705;    21.479668;     0.914969;     3.189149;     4.449300;    16.860403;     1.544247
HE1         ;     0.066881;     0.027358;     0.280078;     1.079255;     0.032253;     0.169320;     2.319363;     0.658583;     0.400943;     0.104128;     7.265114;     0.911333;     1.132044;     0.027066;     0.161294;     0.148252;     0.000942;     0.085245;     0.651357;     0.013185;     0.403983;     0.026918;     0.628539;     0.269591;     1.740110;     0.010627;     0.271907;     0.115292;     1.286487;     2.282322;     0.021947;     0.105010;     0.125252;     0.931428;     0.269591
HE2         ;     0.248589;     0.045795;     0.833223;     3.101029;     0.205601;     0.607942;     8.993229;     1.960629;     1.135964;     0.749440;     5.905692;     2.930041;     1.648270;     0.087739;     0.544718;     0.200020;     0.003849;     0.382294;     1.736881;     0.060236;     1.014380;     0.095524;     1.801545;     0.568920;     6.317906;     0.066959;     0.801736;     0.382067;     4.139915;     6.995016;     0.074458;     0.338637;     0.340889;     2.906949;     0.568920
HE3         ;     0.224808;     0.073836;     0.361564;     3.302314;     0.190060;     0.672580;     5.289626;     0.777342;     4.262037;     0.489118;     2.097458;     1.455042;     0.717378;     0.088682;     0.453099;     0.090125;     0.002267;     0.410095;     2.152211;     0.035142;     1.402086;     0.119150;     0.699048;     0.157861;     5.840325;     0.036135;     0.768649;     0.300164;     3.686243;     1.256170;     0.058162;     0.254530;     0.270756;     2.172075;     0.157861
HE4         ;     0.212543;     0.062815;     0.232696;     1.829736;     0.096797;     0.557475;     4.361697;     0.970007;     0.966733;     0.209271;     0.371636;     0.947848;     0.658912;     0.084138;     0.400440;     0.088028;     0.001913;     0.267531;     2.717844;     0.028019;     2.568023;     0.070702;     0.439531;     0.134919;     5.483135;     0.012546;     0.528432;     0.273366;     1.213898;     1.240179;     0.056787;     0.225157;     0.269867;     0.955457;     0.134919
HE7         ;     0.560614;     0.047122;     1.729376;     1.293092;     0.311837;     1.272475;    26.038372;    23.071648;     0.097089;     0.947816;     0.087332;     5.904305;     4.240825;     0.089764;     0.559705;     0.628235;     0.002420;     0.410310;     0.682459;     0.155962;     0.175819;     0.056529;     4.537570;     0.367291;     5.977789;     0.055686;     0.623484;     0.261773;     1.032688;     4.999480;     0.110940;     0.413854;     0.451193;     1.342855;     0.367291
HE6         ;     0.053148;     0.005465;     0.174108;     0.152657;     0.037388;     0.139809;     3.460137;     1.524816;     0.013864;     0.071872;     0.016931;     0.495366;     0.324474;     0.008896;     0.070857;     0.047996;     0.000269;     0.038215;     0.076954;     0.015232;     0.022832;     0.006307;     0.511257;     0.030456;     0.756664;     0.004567;     0.071440;     0.037759;     0.120362;     0.583678;     0.009285;     0.035509;     0.036226;     0.157748;     0.030456
HE9         ;     0.731246;     0.074410;     1.628493;     0.743181;     0.376833;     1.302139;    47.460533;    12.645996;     0.043978;     0.552859;     0.045966;     5.199456;     2.999608;     0.119323;     0.684830;     0.443504;     0.001344;     0.542107;     0.226722;     0.144362;     0.071511;     0.045835;     5.223246;     0.127839;     5.224524;     0.027939;     0.552390;     0.432117;     0.685592;     0.802244;     0.124458;     0.355033;     0.297306;     1.093242;     0.127839
