	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	NOA	
HE8	0.16785783134705787	0.05578584406885489	0.21195983039270558	1.0880215616942912	0.10185724325426444	0.36554229837240304	3.7431425549913855	0.84493970678185	0.4932796004173727	0.2499150956933882	3.940531323192667	1.0977686682503822	0.7202806628087068	0.055301664723538584	0.29600747763067276	0.11639733808823292	0.0023488566830017652	0.2552343390126004	0.685980731258251	0.01612392818696377	0.372027760297698	0.02895623305018108	0.5183747722636887	0.29525051135354236	2.621746443249409	0.018583982699792344	0.29617562761934985	0.15844935100893023	2.449283341761903	0.03664840979174607	0.11159474874063695	0.05281921100111134	0.9339006141412799	0.31972711601524445	
HE5	4.501037500448255	1.061073613779172	6.318834964006005	16.459889182997582	2.6767556145300326	10.31933933325775	165.7076833020024	44.04441382382648	3.479590877001664	5.550463505630327	5.210357071001327	27.255403553562306	16.15419450104743	1.4722903589449834	6.14769919923146	2.407409682452293	0.05995813951738261	6.526821029350303	17.029514167856316	0.4969056009712194	6.034929779143678	0.4536795673926181	20.220624187702608	3.4533551333186048	92.36547792869082	0.4091499214562592	5.042004385942088	3.5210657846747533	52.75426009161356	1.0408087900105738	2.4553012931578695	1.142033939796703	14.829109514839232	3.7084071952792463	
HE1	0.1791990211955293	0.042032821227733934	0.22569184021340752	0.9352244186938492	0.10292898550405973	0.3556606347035553	3.256066983965581	0.6787034163747858	0.32876114254756833	0.3181852080443419	11.147015765725016	1.1850642205948847	0.7538095121687797	0.040785604429458416	0.2223874380028739	0.12173927630062259	0.004726079109805177	0.2301404869102205	0.4897088124222961	0.0159507428271498	0.2385779248557244	0.027304203852504007	0.468794218547167	0.5091808302549667	2.1712472377550727	0.020364270140327333	0.24633136949664927	0.12374695062986345	3.1453738516627756	0.03383085918101263	0.0946704559611067	0.0946617278697769	0.9596958167906257	0.5477873824394303	
HE2	0.5846266993802488	0.13427384871989542	0.5402658846379144	3.182553982037073	0.32173996875125266	0.9609897023840129	8.915085204818565	2.4595178553795125	0.9563317889768764	0.7031504479364417	10.095214446447573	3.136754791565826	2.0505738424307665	0.14823381659814472	0.7704004387117908	0.35039659893546315	0.008290134785619949	0.8576986181111491	1.6745126130963126	0.03834987722548808	0.8443254031993318	0.08843768347214208	1.2712727234862482	1.4926407862043298	6.461788778316521	0.05698181064368726	0.8602142930381155	0.39102449515268395	10.64507039416849	0.10825920195344836	0.345883201433868	0.17428190398839397	3.3548264089494584	1.6122261328480159	
HE3	0.3332163874972475	0.10509145727299174	0.4860600859472651	3.786664389437251	0.1769016494606631	0.7076795519089162	6.894609505188879	1.4207394494545447	6.554287455579954	0.48061611311968205	4.727197214883084	2.02548025320562	1.4154963721370055	0.10743333630481089	0.4958582567650454	0.23283409641717875	0.006427566897936208	0.6140903303226097	1.9582443833546233	0.031978247642143326	1.3756764448550436	0.07211768675413466	1.1024301392440579	0.42590517606245465	5.279764232813502	0.03144446970754703	0.7173328161636173	0.35190590540929084	2.4944549981459034	0.07915377048034135	0.21318211312141844	0.19380287024550893	3.1279536060718165	0.4593383925314182	
HE4	0.30819494366615746	0.09467150642871754	0.4212683291717192	2.7148747588859155	0.16066834159716817	0.7025764515623694	6.949156449588706	1.4666666663244916	2.2871436355436874	0.4303651052290858	0.6692640339186479	1.8722068864707897	1.3948475691572921	0.11340917167686258	0.45397835312518825	0.19355471747727218	0.004895238217648545	0.5303189671999297	3.211950011267785	0.03258632191092019	3.9005072749660172	0.0627558378222715	1.0163618516345359	0.2548810329805094	5.316769562624317	0.025175399762242076	0.5961832978101663	0.33049783730924737	2.0750275746885074	0.07654682120781091	0.18696321873123245	0.15243619252155247	1.4194870021488315	0.2755295096195968	
HE7	0.4566950191954613	0.06957594333882205	1.5953736215935006	0.5621245000213609	0.2748428383581271	1.0710897192550732	24.308781377284728	41.2941596897988	0.05485524119528959	1.0622551395660031	0.1279770638824908	6.145052051469661	5.20756580491775	0.09544290214406563	0.4560010489468939	0.7854204049111266	0.007742040383951094	0.8234350967000847	0.25104566970188386	0.08564556038179617	0.09195119257084694	0.013742493010684665	5.091114395866981	0.8305532370334593	4.083401054816589	0.07419856769767705	0.2567318000840162	0.20925576227522777	6.252381114823224	0.08500137150577718	0.19954471000027107	0.05321518956532684	0.43520469264143263	0.8886403743694835	
HE6	0.06147069209619912	0.00899471167795905	0.17620251348323887	0.07190609500426601	0.03853269932655559	0.14389097718221847	3.7709033653231168	3.5449385612983164	0.006163703224867113	0.1082278195705692	0.009200153493979315	0.6615386204064931	0.4425577534124698	0.01284372638505562	0.057167043319971154	0.06253246356513127	0.0009035803106220707	0.11433825586462461	0.03961733226372511	0.010716713356780663	0.014829044123650992	0.0017603153493681006	0.6033421314754457	0.04032357875423507	0.5650900537267384	0.007601462934686372	0.029125594376524223	0.023030684919462627	0.9449590031405529	0.009331262228692756	0.023127873696976567	0.012940835739600058	0.04745259892766513	0.04317358901093368	
HE9	0.4460015521269205	0.09347271124100644	1.8060648916054483	0.46651727542050575	0.3132728967289768	0.9442592333135978	64.99241159621158	33.89548093384291	0.043912061017966235	0.8260177688995215	0.064467727174975	5.949734652613336	3.91788018368135	0.09590260169316535	0.42116059483348195	0.612375517711857	0.008191293000511123	0.8082214594326032	0.2645719809129621	0.09894203443686983	0.0984098097195437	0.013946021296848852	7.256499580384253	0.2675658705561424	3.089222579519717	0.06857408896937423	0.23720598686329722	0.2531265345812555	1.290359470381229	0.07586415472060702	0.16579458697825708	0.05688473784669182	0.3855909300735763	0.2860332992672218	
EEZ48	0.766550235695517	0.3125086715771472	4.458600289954744	0.5477268440767976	1.0877221438792282	2.0083213393588655	18.474587074312062	1.0943902170758182	0.15599917448329934	33.487597427270835	0.22399537226276703	40.98372971333895	16.82607384056656	0.15185349802835127	0.6378452358750197	6.186605354773357	0.13183284944540452	3.901938648098659	0.30464573426321373	0.32612670504714414	0.09751043623433457	0.06443032332466458	5.004238476135911	0.3450180704189188	3.4341408330260705	7.091448022591955	0.37965197433622055	0.29969809872520825	0.54011002553757	0.23665409376542823	0.3508282027999278	0.534021083806746	2.577998455362296	0.3682171585175273	
