EEZ100	    0.0303
EEZ108	    6.8148
EEZ109	    0.4145
EEZ110	    0.2209
EEZ119	    0.0017
EEZ123	    0.0338
EEZ185	    0.8395
EEZ187	    0.0039
EEZ188	    0.7534
EEZ189	    6.5714
EEZ190	    4.6251
EEZ191	    5.5499
EEZ209	   15.3113
EEZ212	    0.6928
EEZ213	   19.1569
EEZ215	    0.8272
EEZ216	    4.7478
EEZ224	    0.2328
EEZ273	    9.0256
EEZ48	    1.9845
EEZ65	    0.5336
EEZ71	    0.9220
EEZ91	    5.3440
EEZ99	    0.1044
HE1	    0.4051
HE2	    0.9403
HE3	    1.0205
HE4	    0.6891
HE5	   11.3566
HE6	    0.3191
HE7	    3.0693
HE8	    0.4844
HE9	    4.2433
OR1	    6.3910
OR2	   36.9217
OR3	   14.6959
OR4	   21.5218
OR5	   18.3923
