          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
HE8         ;     0.008310;     0.001111;     0.024088;     0.141430;     0.005148;     0.029657;     0.469253;     0.301858;     0.097469;     0.009017;     1.484347;     0.090489;     0.097494;     0.002510;     0.012644;     0.022751;    -0.001733;     0.005852;     0.153272;     0.001869;     0.099037;     0.005435;     0.066127;     0.079337;     0.408359;     0.000731;     0.022767;     0.002744;     0.325253;     0.969487;     0.001588;     0.007872;     0.008177;     0.100872;     0.000382
HE5         ;     0.489274;     0.031163;     1.023993;     2.454221;     0.308535;     1.526321;    32.690731;    19.623344;     0.921620;     0.343782;     1.314174;     3.074800;     2.359698;     0.135859;     0.677245;     0.703216;    -0.053727;     0.310294;     4.359445;     0.067556;     2.197131;     0.167383;     3.637877;     1.099645;    32.978760;     0.012074;     0.825005;    -0.197228;     5.680108;    27.516346;     0.086153;     0.418537;    -0.035496;     2.382314;    -0.012149
HE1         ;     0.003964;     0.000040;     0.021638;     0.097346;     0.004714;     0.009665;     0.284740;     0.174808;     0.042319;     0.006959;     2.366846;     0.074320;     0.069854;     0.001403;     0.006437;     0.018864;    -0.003496;     0.006041;     0.058925;     0.001599;     0.057410;     0.003126;     0.060099;     0.082359;     0.127843;     0.000369;     0.009330;    -0.010109;     0.308006;     1.383478;     0.000863;     0.003206;    -0.001146;     0.042860;     0.000318
HE2         ;     0.014559;     0.001460;     0.090565;     0.240089;     0.011996;     0.047992;     1.444044;     1.017093;     0.110294;     0.027008;     1.609073;     0.324628;     0.315560;     0.004318;     0.019772;     0.086396;    -0.011261;     0.018519;     0.249058;     0.006070;     0.142506;     0.008937;     0.265625;     0.446251;     0.677551;     0.002006;     0.034588;    -0.005923;     0.644879;     4.903400;     0.002909;     0.013191;     0.012821;     0.171545;     0.001477
HE3         ;     0.017277;     0.001336;     0.030279;     0.497757;     0.009901;     0.041053;     0.492109;     0.301439;     1.741369;     0.013572;     2.069430;     0.099797;     0.098504;     0.006071;     0.032278;     0.023961;    -0.004334;     0.014946;     0.294723;     0.002085;     0.277642;     0.013106;     0.075783;     0.080401;     0.739430;     0.001128;     0.051991;    -0.018517;     4.885228;     0.665479;     0.004139;     0.020656;     0.021160;     0.226515;    -0.000696
HE4         ;     0.023364;     0.002275;     0.039998;     0.531481;     0.014556;     0.069515;     0.707537;     0.391255;     1.052648;     0.019426;     0.238713;     0.113539;     0.119984;     0.008416;     0.040597;     0.031992;    -0.002421;     0.020762;     0.809820;     0.002520;     1.722541;     0.016293;     0.109534;     0.069055;     1.240134;     0.001192;     0.065626;    -0.015392;     0.637558;     0.700993;     0.005547;     0.028368;     0.004151;     0.248947;    -0.000526
HE7         ;     0.035931;     0.000901;     0.087037;     0.081416;     0.016895;     0.088829;     3.352607;    19.144371;     0.008328;     0.023361;     0.029058;     0.396019;     0.462125;     0.006274;     0.046827;     0.126701;    -0.012764;     0.009889;     0.071813;     0.001505;     0.022850;     0.005411;     0.573900;     0.387588;     0.783755;     0.000779;     0.037146;    -0.010878;     0.097045;     3.088815;     0.004340;     0.024852;    -0.002908;     0.070535;    -0.005352
HE6         ;     0.004211;     0.000123;     0.011828;     0.010368;     0.003087;     0.011637;     0.552836;     1.693276;     0.001097;     0.003370;     0.003252;     0.047221;     0.038040;     0.000844;     0.005989;     0.011466;    -0.000890;     0.001354;     0.009147;     0.000460;     0.003728;     0.000670;     0.076820;     0.012664;     0.144387;     0.000053;     0.004685;    -0.001173;     0.013475;     0.520662;     0.000567;     0.003351;    -0.000240;     0.011055;    -0.000418
HE9         ;     0.045847;     0.001593;     0.160268;     0.058239;     0.028875;     0.101917;    21.175247;    18.000439;     0.008707;     0.029699;     0.022424;     0.497186;     0.401485;     0.009750;     0.047232;     0.128076;    -0.009507;     0.014962;     0.065164;     0.002902;     0.024746;     0.003215;     1.186223;     0.088471;     0.938955;    -0.000550;     0.017982;    -0.005957;     0.062377;     0.399775;     0.005963;     0.022420;    -0.002076;     0.065208;    -0.008251
