          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
HE8         ;     0.019769;     0.001893;     0.034781;     0.244421;     0.008859;     0.032433;     0.340098;     0.277307;     0.169066;     0.002653;     2.275172;     0.103945;     0.021000;     0.005215;     0.011684;     0.017248;     0.000610;     0.020406;     0.104394;     0.002526;     0.097072;     0.019363;     0.098772;     0.066333;     0.333605;     0.000861;     0.037483;     0.004450;     0.285674;     0.912813;     0.005432;     0.010249;     0.004564;     0.140520;     0.066333
HE5         ;     0.544894;     0.068644;     0.373214;     7.000308;     0.225353;     0.540738;    18.098761;    15.473279;     1.158457;     0.025737;     1.560912;     1.103667;     0.062999;     0.226769;     0.707250;     0.244735;     0.013933;     0.655324;     6.591607;     0.050133;     2.288148;     0.289695;     3.833755;     0.458756;    27.704697;     0.018490;     0.826182;     0.186534;     4.234482;    21.107637;     0.113681;     0.512827;     0.041820;     3.020828;     0.458756
HE1         ;     0.003984;     0.001670;     0.008384;     0.066389;     0.002500;     0.008173;     0.082779;     0.081095;     0.025474;     0.003267;     3.341344;     0.034083;     0.004146;     0.000640;     0.002336;     0.008380;     0.000616;     0.002299;     0.023984;     0.001160;     0.017174;     0.004720;     0.031672;     0.064609;     0.079949;     0.000788;     0.009159;     0.001586;     0.090040;     0.914528;     0.001722;     0.001566;     0.001140;     0.031035;     0.064609
HE2         ;     0.010976;     0.003387;     0.045640;     0.292776;     0.008369;     0.020409;     0.384477;     0.409436;     0.134337;     0.011536;     2.984375;     0.118358;     0.016596;     0.003332;     0.021383;     0.020561;     0.001053;     0.012098;     0.105198;     0.002921;     0.096040;     0.022391;     0.180443;     0.363943;     0.271996;     0.002659;     0.044258;     0.005188;     0.340715;     3.210811;     0.002640;     0.010514;     0.003605;     0.151640;     0.363943
HE3         ;     0.034157;     0.004997;     0.050264;     0.853903;     0.014323;     0.044910;     0.509534;     0.397474;     2.356567;     0.003483;     1.403228;     0.114346;     0.043749;     0.007963;     0.024424;     0.032505;     0.001667;     0.033189;     0.319509;     0.011489;     0.256720;     0.038265;     0.169980;     0.040527;     0.558695;     0.002710;     0.115659;     0.014034;     2.783865;     0.550521;     0.004729;     0.029690;     0.019851;     0.561546;     0.040527
HE4         ;     0.032559;     0.004413;     0.034612;     0.924187;     0.011057;     0.030077;     0.460208;     0.367767;     1.066823;     0.003910;     0.124593;     0.073432;     0.023523;     0.011118;     0.021786;     0.011732;     0.000438;     0.020080;     0.675716;     0.002990;     1.390054;     0.035277;     0.125714;     0.024673;     0.759794;     0.001768;     0.054558;     0.009393;     0.546102;     0.437347;     0.008398;     0.027376;     0.015465;     0.351385;     0.024673
HE7         ;     0.036379;     0.008538;     0.056248;     0.315903;     0.013326;     0.052440;     2.224085;    17.733593;     0.001899;     0.001812;     0.029497;     0.121486;     0.015277;     0.010659;     0.055811;     0.056598;     0.001515;     0.013671;     0.146846;     0.003106;     0.020690;     0.011140;     0.660031;     0.138443;     0.790278;     0.001812;     0.048681;     0.025677;     0.073755;     3.520792;     0.004788;     0.041940;     0.002247;     0.199590;     0.138443
HE6         ;     0.003345;     0.000204;     0.006717;     0.029196;     0.002206;     0.001081;     0.399328;     1.626586;     0.000177;     0.000177;     0.000178;     0.014408;     0.000177;     0.001382;     0.001027;     0.006909;     0.000177;     0.002307;     0.014660;     0.000658;     0.001845;     0.000596;     0.097451;     0.003986;     0.165179;     0.000177;     0.002097;     0.000253;     0.003155;     0.558935;     0.000564;     0.001540;     0.000177;     0.025155;     0.003986
HE9         ;     0.038868;     0.001353;     0.092005;     0.170256;     0.023681;     0.018270;    14.037556;    20.330059;     0.001466;     0.001466;     0.001466;     0.103058;     0.011650;     0.015954;     0.026956;     0.051923;     0.001230;     0.006952;     0.046246;     0.005475;     0.005270;     0.011135;     1.596259;     0.020419;     0.776768;     0.001541;     0.032603;     0.009133;     0.003458;     0.502381;     0.004831;     0.019380;     0.001466;     0.117040;     0.020419
