          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
HE8         ;     0.300886;     0.046986;     0.546027;     1.020265;     0.185003;     0.496401;     4.335379;     1.406209;     0.342235;     0.209401;     1.185308;     1.401243;     1.232233;     0.092966;     0.335614;     0.159688;     0.001894;     0.959230;     0.494948;     0.022090;     0.322622;     0.109366;     0.575436;     0.158359;     2.896065;     0.017520;     0.419796;     0.116496;     1.266763;     1.747819;     0.075528;     0.179702;     0.079050;     1.134112;     0.158359
HE5         ;     5.691519;     0.859978;     7.745107;    25.708649;     1.815512;     9.709704;    97.913910;    33.370174;     3.775717;     2.806753;     5.238093;    21.394817;    16.308754;     2.089740;     7.544844;     2.620331;     0.036716;    12.307680;    15.705429;     0.578004;     5.487399;     1.986027;    20.602592;     2.053047;   103.905067;     0.261518;     7.473816;     2.170613;    25.392250;    28.089399;     1.485461;     5.134029;     0.502362;    26.803885;     2.053047
HE1         ;     0.051417;     0.013411;     0.174762;     0.952167;     0.066105;     0.209995;     2.027987;     0.619850;     0.277959;     0.178772;     6.184533;     0.731948;     0.881972;     0.020857;     0.123377;     0.093145;     0.003978;     0.121071;     0.347991;     0.012616;     0.187264;     0.092597;     0.735620;     0.355623;     1.750770;     0.013410;     0.280921;     0.049403;     2.487970;     1.626960;     0.012737;     0.057021;     0.119882;     1.287288;     0.355623
HE2         ;     0.269884;     0.093730;     0.867320;     3.472836;     0.324480;     0.824698;     7.769859;     2.931671;     0.854486;     0.861494;     5.596923;     3.389497;     2.706138;     0.119467;     0.598118;     0.386401;     0.007158;     1.002978;     1.431504;     0.036556;     0.850237;     0.581430;     1.712057;     0.870671;     6.101742;     0.052323;     1.879284;     0.284051;     4.508520;     5.382962;     0.083581;     0.245494;     0.171345;     4.587441;     0.870671
HE3         ;     0.599700;     0.094952;     0.721275;     4.829420;     0.387925;     1.231454;     6.894433;     2.100837;     2.569875;     0.450708;     1.492601;     2.281138;     1.323749;     0.232248;     0.850907;     0.144496;     0.002903;     1.870454;     1.585758;     0.045639;     1.017423;     0.312096;     1.184453;     0.235600;     8.476153;     0.030211;     1.462093;     0.286528;     8.220114;     1.848905;     0.150755;     0.500340;     0.423020;     6.037237;     0.235600
HE4         ;     0.349385;     0.065592;     0.485843;     3.176176;     0.157135;     0.673212;     5.391112;     1.446743;     1.017263;     0.402797;     0.326422;     1.751475;     1.252976;     0.165092;     0.564281;     0.179704;     0.002494;     0.864826;     1.960176;     0.029004;     1.770879;     0.302305;     1.422622;     0.140719;     8.014618;     0.033672;     0.959257;     0.174510;     3.087609;     1.277370;     0.105661;     0.316628;     0.139582;     3.975141;     0.140719
HE7         ;     0.395456;     0.113738;     1.375221;     1.460273;     0.220709;     1.150660;    14.376277;    23.561153;     0.127550;     0.573601;     0.169368;     3.817467;     4.039878;     0.168738;     0.643092;     0.580864;     0.005231;     0.721441;     0.659929;     0.094604;     0.215399;     0.057034;     3.784142;     0.354910;     9.765659;     0.029999;     0.449384;     0.236573;     1.399419;     4.198145;     0.076456;     0.317695;     0.022847;     1.704165;     0.354910
HE6         ;     0.053195;     0.016493;     0.174791;     0.151407;     0.038009;     0.126907;     2.351688;     2.219688;     0.007292;     0.058100;     0.016518;     0.469089;     0.469372;     0.015601;     0.053001;     0.073463;     0.000717;     0.146773;     0.064266;     0.012351;     0.014260;     0.007754;     0.590059;     0.025146;     0.908797;     0.003019;     0.036454;     0.028433;     0.138635;     0.529417;     0.009926;     0.024026;     0.001756;     0.201451;     0.025146
HE9         ;     0.443958;     0.096844;     1.650329;     0.776020;     0.315962;     1.390282;    28.123245;    17.160957;     0.035409;     0.532309;     0.145579;     4.317471;     3.761255;     0.251773;     0.577015;     0.552972;     0.004523;     1.045606;     0.245160;     0.094959;     0.066136;     0.066518;     6.283113;     0.158086;     7.014630;     0.034814;     0.474493;     0.193877;     0.755110;     1.324244;     0.117423;     0.295045;     0.012472;     1.616320;     0.158086
