EEZ100	    0.4000
EEZ108	   23.8734
EEZ109	    1.3001
EEZ110	    0.5718
EEZ119	    0.0354
EEZ123	    0.5442
EEZ185	    4.4087
EEZ187	    0.0388
EEZ188	    1.6205
EEZ189	   21.4877
EEZ190	   16.6737
EEZ191	   22.0762
EEZ209	   33.7681
EEZ212	    5.8065
EEZ213	   95.3836
EEZ215	    6.7801
EEZ216	   48.7070
EEZ224	    3.0512
EEZ273	   23.2126
EEZ48	   12.5268
EEZ65	    8.3956
EEZ71	   16.9029
EEZ91	    6.6089
EEZ99	    0.3242
HE1	    2.7914
HE2	    6.5889
HE3	    4.7071
HE4	    3.7155
HE5	   48.3414
HE6	    0.9782
HE7	    8.8918
HE8	    2.3339
HE9	    8.7882
OR1	   70.1436
OR2	  170.0949
OR3	   45.2219
OR4	   44.2579
OR5	  109.1876
