EEZ100	    0.6867
EEZ108	   40.7056
EEZ109	    1.7731
EEZ110	    0.5867
EEZ119	    0.0747
EEZ123	    1.1647
EEZ185	    4.4249
EEZ187	    0.0399
EEZ188	    1.4899
EEZ189	   22.1521
EEZ190	   16.0476
EEZ191	   23.4200
EEZ209	   45.5448
EEZ212	   11.1782
EEZ213	  120.3744
EEZ215	   15.4113
EEZ216	   90.8099
EEZ224	    7.9009
EEZ273	   32.5013
EEZ48	   25.6014
EEZ65	   15.5744
EEZ71	   36.2694
EEZ91	   12.3061
EEZ99	    0.4915
HE1	    3.6410
HE2	    7.8211
HE3	    6.8171
HE4	    4.2132
HE5	   53.0333
HE6	    0.8531
HE7	    7.7998
HE8	    3.0178
HE9	    7.0952
OR1	  158.9958
OR2	  196.2543
OR3	   53.2133
OR4	   64.7990
OR5	  238.2644
