
	AT	BA	BE	BG	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	GR	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	NOA	BIC	
HE8	0.3958402018355385	0.040095354336268055	0.9495879623191793	0.055492102550277415	1.0445884881850305	0.16657265644868124	1.179447765396586	7.365773056575318	1.8119333981517414	0.7708922578350751	0.5765382665697518	3.7764638831858335	2.078127147562433	4.895166537690454	0.05400581848623672	0.08380365445100264	0.44519446549260194	0.217435066647817	0.007360802966400904	0.6902959135836607	0.49721712585481165	0.08134779606457639	0.5123511331422066	0.03228248051466005	1.4654708943118877	0.9657205511007897	4.921809476278732	0.05587650715944074	0.3714542859066523	0.09747724982989998	4.01067971021697	3.84950075350849	0.07980821355545174	0.30962794438575253	0.035260039757942195	1.2779693909801357	0.4722368147022568	6.175087420332961	0.01680128625113791	0.16604524334470858	0.005694918047481394	3.2998234493760474	nan	
HE5	9.38786564459045	1.1859996038051162	22.580161039290285	1.1742826352706885	13.837082324664332	3.782869319390352	28.198273650895533	182.0615344521765	35.83186066533976	5.398012297073475	13.309361987397269	19.489279906456417	49.22783585365971	99.55581643824138	1.2240157981190771	1.8807531505857054	8.789988392072758	4.200630531068233	0.16156765096521816	15.433577059548938	7.146716915836534	2.043102710439602	5.9501598449855315	0.4860930684566944	33.84311910167486	11.724038505109084	106.90270484408931	1.4402981387780407	6.582946384898314	2.2895440829488765	45.01424395793354	33.996574481350876	2.098185897783888	6.281419989344903	0.9885980873047648	20.57819450268226	9.555937173974776	91.25246839997351	0.27528662881340743	3.337975940237476	0.14861367115273147	64.30820453439536	nan	
HE1	0.41437776286627287	0.025603252203098874	1.0896231176708564	0.047256178239430284	1.072559062671248	0.19409886480354896	1.2706521904519679	7.44426020341118	1.7353529123448084	0.8171934698174552	0.7508639764302952	10.649986253181746	2.2990150462363883	5.805161063831285	0.03912041931211665	0.05422302241407175	0.35465592674079965	0.2807140186872329	0.011879027563345216	0.5594415255438654	0.5109139741115576	0.09829939362019668	0.49727962645057283	0.030566601508851987	1.5455659153439962	1.9705996065133176	4.8026229984297855	0.05583690123762155	0.27225730897751804	0.06720342180528299	7.056953426100833	6.331465851028892	0.07054101088070323	0.28044845456538153	0.04472278499557189	1.3639756624763733	0.6993542229415705	5.44316240295234	0.02160830977671464	0.1655868650053614	0.009479541285490422	3.9150739989834964	nan	
HE2	1.1222861581361223	0.09238994274968064	2.5169759468132598	0.13702101671853903	2.9048445898835915	0.4949210344190326	3.0711216987423042	18.09743635123649	4.80537904714729	1.8316895432453035	1.7302896360471849	13.878742350787563	5.678428102403919	14.224048612784046	0.13798967419243727	0.193513179846917	1.0666437297110338	0.6640832740230911	0.021861729639629974	1.8023873619246153	1.3395383941988894	0.2212090753726279	1.3155767155037004	0.08539452949226496	3.8354510545531713	4.009062904210476	12.636314315078495	0.17165279644387063	0.876575355825122	0.21992949581166202	12.371543752206259	14.55001285202408	0.20045120847053335	0.8480152279713792	0.09136205487431028	3.4302636080950877	1.4555974278944825	14.390870737644997	0.04962651764109179	0.480315261919199	0.017779999500614683	9.90059985749369	nan	
HE3	0.8409443389552096	0.06867915371219697	2.0951787858199147	0.1506147510685005	3.387403181163869	0.30814685144056736	2.206348497020755	14.28061691096587	3.038153777376514	3.6776114119532792	1.1018173744947795	9.387087367680747	3.9584760633307234	9.216094139932975	0.1483641660951114	0.168014408538554	0.7561272125817956	0.4325628248663564	0.016685272268278466	1.5196582516825254	1.389371632481101	0.16828320114538065	1.4770847665967055	0.08320277065415833	3.0015796685477603	1.661827710316386	10.4160228709294	0.10181701431798833	0.8592856446348583	0.212252533197956	17.70040831687467	5.134442716262023	0.18277684441300657	0.6199897859556801	0.12833660963247365	3.9723036918470904	0.9341996886689308	11.095841831465256	0.0625140728926686	0.38390966382088837	0.008775166637754019	5.742731878787997	nan	
HE4	0.674186150060304	0.07655614927613576	1.5817922717725181	0.13210109577867818	1.7688702584812523	0.24966847861041463	1.9124223265403941	12.141136290592309	2.496066119142885	0.9008605968161746	0.9194592573228086	2.310058743951925	3.2015696889298746	7.022909364789965	0.10218990032123255	0.1418796818887018	0.6371620450180907	0.2963008911204447	0.009269649110663603	1.140650615755385	1.1760666826771244	0.1417165406132432	1.2972136217904378	0.06111889769697915	2.3602605846220195	0.8954180153090384	8.263843175592974	0.07931891605410991	0.7025071950977512	0.18213078206654498	4.314508652336296	2.9143689973209654	0.15086025678335926	0.47133442144751414	0.0928025454726349	2.148395071196831	0.6364646673068947	6.765161074791606	0.034447929546378674	0.2621102953559627	0.007826573805050778	4.277131058638893	nan	
HE7	0.8735490478729998	0.0833970015083994	4.762891781746239	0.06735207998686603	0.6690066005871865	0.3798889137136836	2.8518653376225362	24.831995711033795	7.224045358667513	0.18477085503248303	2.3349569263132444	0.85444893114414	9.189606602843389	27.35852930777773	0.07890026575336276	0.12431646093235939	0.6413332999196801	1.1401796015039836	0.026071065305456442	1.5525165379307664	0.24256278730964867	0.32012571445866844	0.1835736914075168	0.019035940273770948	7.10566446618175	2.437473483127149	8.156113544939554	0.24434744366963587	0.3836660278445139	0.15339657312509355	2.679216972783086	3.6159491132488157	0.1511639217320153	0.5174446903569991	0.07123120970567108	0.8877793414645724	2.2495343676195216	10.133933599692378	0.018142888568953724	0.3329703676783261	0.02644307504075785	17.273486752566416	nan	
HE6	0.12510119529143635	0.01173477377512377	0.5399348167193696	0.010972086592287834	0.08938490227773084	0.05036837767228763	0.38419105839519946	3.2691890061590456	1.145410842598363	0.021435944667079862	0.2674341951421582	0.09387638429250406	1.0890961654333848	2.581942416065349	0.010480823177822216	0.015597349477173677	0.08765350610498839	0.11014231243718674	0.0030021489232534403	0.2244537609061513	0.03713665829811401	0.041647577395278905	0.027860689943497302	0.0028370866863643984	0.7789672606801749	0.201953493509467	1.1293605833380795	0.029128520834367354	0.05607348024891121	0.01893820013177001	0.35877777051689796	0.4276890717536235	0.019447456271472034	0.06368683902433771	0.014046231477359642	0.1327224521908437	0.23726386680664177	1.4436252963777596	0.0020311244955969407	0.043150396701161	0.0024120941409703747	1.5801384705140122	nan	
HE9	0.8608394016912242	0.10211763165031297	5.1918925850627105	0.08168930532958632	0.5729565729441686	0.3691554049672002	2.7914428207031983	27.1841933162456	3.7669636477055217	0.16423330292471985	2.0432864088696303	0.633021005978849	8.97416330731123	23.153798669086175	0.08572049329074242	0.1232680527253352	0.6519891843175522	0.9328530654662649	0.021228015859337156	1.5553278652146867	0.2381026715341883	0.35135361770930834	0.18535503744578755	0.016693448671586387	7.233237385628667	1.3780101153248834	7.057000950726384	0.24672839172189995	0.3465568540506682	0.1709918770801472	2.4413568071086327	1.7000935971730768	0.13850251154750717	0.4734759589107127	0.08133186370364635	0.9435958678671895	1.9878693087894377	9.353480211379216	0.015103745884805236	0.3196402285666667	0.020554479973143424	14.235436840088077	nan	
EEZ48	0.3885936304207429	0.10752979246528538	2.3774011495324854	0.10176771677328587	0.09103747794238337	0.280852578974422	0.6535940641222915	6.344338480836801	0.47524821528195454	0.07933138437094099	12.046339547816862	0.14923062433388812	9.327734543721066	11.949954917023227	0.07425033824731499	0.051126261787294264	0.08244105982907894	1.195033283722487	0.06899792364262232	1.1645711193170938	0.03827971011034274	0.24451655754926394	0.030004334262252397	0.03817973213372742	2.214431059265142	0.5694191743775209	0.460901510998603	3.6990932690174696	0.09441923939621033	0.06824099854658021	0.30566864977656094	0.34572406193473787	0.07032742946594754	0.06657451049333664	0.11019525843382676	0.1263672935037816	52.28392158891691	0.5341121676610673	0.020616033433334062	1.4849307231936129	0.0716679377290453	3.800034133698135	nan	
