
	AT	BA	BE	BG	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	GR	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	NOA	BIC	
HE8	0.347831556240795	0.03919236960183244	0.6406870278323877	0.04775195280371528	0.8603661695518997	0.1350861410384767	0.8940916056063267	5.723057825353197	1.29994511456022	0.5928050002254199	0.3739439129096945	2.6241993891424387	1.738436378339572	2.956044175352936	0.05904446465303407	0.09312697256100318	0.38618192107461646	0.14901689677715185	0.018759749109037303	0.49573365370119776	0.6861833482017543	0.04814758843089464	0.3862193246713639	0.04133045445733977	1.0606150129664764	0.7816935924640256	4.757150784067345	0.04655962376342102	0.27450231870860603	0.1071044890668721	2.72893865480597	0.06098610240761001	0.2439218841687295	0.047959148370765904	0.7615688548258461	0.5463110693023047	6.506456970943469	0.01989361490665441	0.18975479136510046	0.00569484389475589	3.299780482839845	nan	
HE5	8.249278122321892	1.159289787792492	15.234835358387713	1.0104913384181728	11.396791800884747	3.0678097432319418	21.375969757658876	141.45815808324514	25.707044345572637	4.150993408560165	8.632479730288209	13.54276328526779	41.181051301559044	60.118770023218985	1.338214280470823	2.089990564206473	7.624835586664869	2.878859127451749	0.4117714616298181	11.0835706757837	9.862810202942994	1.2092579416189928	4.485335482568622	0.6223328290635698	24.493506042440497	9.489914827637131	103.32628449333724	1.2001419354525797	4.864754870652203	2.5156685239708234	24.100415137883157	1.6033460007664875	4.948441595269112	1.344647444347398	12.262979170238077	11.054865044757925	96.14928805409403	0.3259539835644509	3.814604473833438	0.14861173607505854	64.30736718632488	nan	
HE1	0.3641208282054147	0.025026643110249658	0.735168751521463	0.04066479173191738	0.8834038885226364	0.15740918819013056	0.9632299881855237	5.784040763116619	1.2450035651098281	0.6284099627875476	0.4870119291124404	7.4004911166787535	1.9232179298631185	3.5055625620901516	0.04277028438842756	0.06025543818595975	0.3076446760354805	0.1923844786929856	0.030274900410309072	0.40176102166135846	0.7050856520603902	0.05818078640108005	0.3748581569883267	0.039133657371946955	1.1185827161124393	1.595083675052518	4.641951679087355	0.046526621757525366	0.20119639329851557	0.07384069789166837	4.488421488607098	0.053904493307794704	0.22093456579154916	0.06082995640052766	0.8128218020040219	0.8090537236009055	5.735255155101439	0.025585385967252527	0.18923096132699127	0.009479417853718976	3.9150230213565744	nan	
HE2	0.9861720439759115	0.09030923516399213	1.6982037499200793	0.11790905052719165	2.3925498329817043	0.40136823224066137	2.328093037437437	14.061344808379287	3.4475489122950815	1.4085427750251645	1.1222694389745163	9.644097845383742	4.750231956010837	8.589476114452088	0.15086386372267338	0.21504189414953015	0.9252552683605768	0.4551226728153213	0.05571682396622999	1.2943783306975407	1.8486268726081532	0.13092774523067835	0.9917049416853406	0.10932848578606762	2.775856542594316	3.245098988971888	12.21356755913011	0.14303130289731059	0.6477835276809445	0.24165060381522485	10.314608319955116	0.15317643865088182	0.6680581516016151	0.12426663087321543	2.0441662736258417	1.683919937093627	15.163118326160953	0.05876043157370214	0.5488993269487452	0.017779767989746318	9.900470943177902	nan	
HE3	0.7389521750805046	0.06713243518575725	1.4136171922251417	0.12960670354939377	2.790004994952273	0.2498991726597547	1.67254348018124	11.095752711280769	2.17967899052575	2.828030002551125	0.7146410294356697	6.522924539480454	3.3114233647120037	5.565322689655942	0.1622062771442335	0.1867063353779067	0.6558991231136163	0.2964525033450495	0.0425241000197469	1.0913373854015298	1.9173991182089793	0.0996023334442802	1.1134525604318288	0.10652243162307658	2.1723532493434594	1.3451511117297377	10.067555765033243	0.08483998231731699	0.6350065427554772	0.23321543397035036	3.6398432151296607	0.13967042807400332	0.48842192540369284	0.1745577868039271	2.367179366714183	1.080736645194394	11.691270506568884	0.07401998119572807	0.43872800384980143	0.008775052377545618	5.742657103485333	nan	
HE4	0.5924189020823504	0.07483203347100383	1.0672352951642996	0.11367537002634222	1.4569145131668544	0.20247471603971878	1.4497299487942523	9.433419211107282	1.7907661288813823	0.6927487737371151	0.596363177226737	1.605219838524664	2.6782409447628805	4.240924218201077	0.11172403504914531	0.15766407000709157	0.5527033277663386	0.20306678213312343	0.023624636121714757	0.8191543455753152	1.6230281140066039	0.08387823642917187	0.9778625176248775	0.07824899999864234	1.7082071164153587	0.7247878533247442	7.987377047334401	0.06609323088617156	0.5191482809065583	0.20011873940460298	2.0660170553048207	0.11528110528417918	0.3713126745750728	0.1262259225474735	1.2802738356902432	0.7362994204270019	7.128195349865969	0.04078817743378466	0.2995369419084328	0.007826471896335997	4.277075366718009	nan	
HE7	0.7676024905135109	0.08151882333772614	3.2135232338893247	0.057957676803666286	0.5510214336673599	0.3080801403481888	2.1618836658108296	19.293962260526754	5.18278568127305	0.14208611598563445	1.5144578948699003	0.593741773394189	7.687473040208924	16.52099485968356	0.08626151927642138	0.13814690686189215	0.5563216639228883	0.7814104164712895	0.06644474065780227	1.1149344514940067	0.3347482153981282	0.1894738627419792	0.1383810877669354	0.02437123944612764	5.1426298803931525	1.9729904281208632	7.883251501760117	0.20360479964055486	0.28352671714630917	0.16854662619064462	2.5633722242975265	0.11551315335080418	0.4076378961058394	0.09688554460957283	0.52904639280811	2.6023924597690447	10.677744042244093	0.021482143277016242	0.38051510164849917	0.026442730729203473	17.273261836929183	nan	
HE6	0.10992856017156877	0.011470495737021802	0.364294037702726	0.009441677951173373	0.07362109276360322	0.04084745909190771	0.2912396888934342	2.5400942413716154	0.8217582558602149	0.016483931514485354	0.17345837245516885	0.06523307462627399	0.9110724508461038	1.5591575447620232	0.01145866521429229	0.01733258467426837	0.07603463654718892	0.07548490616664683	0.007651279465742677	0.16119070211980344	0.05125035966573944	0.024650089032281903	0.02100187968525324	0.003632251308230784	0.5637671648707151	0.16346939254024376	1.0915779268610684	0.024271613237442185	0.04143793982297861	0.020808611778634935	0.3031918461329827	0.014860933566887153	0.050171872575600275	0.01910506352509365	0.07909210239154313	0.2744806689068932	1.5210935868080293	0.0024049592357931284	0.04931182826087895	0.00241206273343242	1.5801178957536228	nan	
HE9	0.7564343070137624	0.09981784744779397	3.5029700892846454	0.07029511720397398	0.4719106687075038	0.2993755407621704	2.1160798017041205	21.121572588443026	2.7025529721764365	0.12629303535973357	1.325279793610138	0.43987534068581063	7.507246116720733	13.981884204768766	0.09371806183135162	0.13698186122076972	0.565565062541885	0.6393212976543207	0.05410174045163272	1.1169533965852103	0.32859304290500185	0.20795682486277278	0.13972389784268863	0.021372205885592424	5.234959079245577	1.115417577343916	6.820909620275356	0.20558874694057738	0.2561032773361916	0.1878797120478153	1.2052085273357267	0.10583783268220341	0.37299975696706295	0.11062400795380523	0.5623086355447661	2.299683069823148	9.85540971023672	0.01788363698999127	0.36528155616987573	0.020554212336155744	14.235251482470703	nan	
EEZ48	0.34146386998525474	0.10510812135898086	1.6040326298358192	0.08757295155462654	0.07498222225198402	0.22776421954972706	0.4954632018056096	4.929423661380653	0.3409598809147305	0.061004687557725784	7.813280762005493	0.10369777795623192	7.803022580846297	7.21621917379401	0.08117776185980195	0.056814156969679196	0.07151312365258988	0.8190038259751997	0.175848170707523	0.8363327735446434	0.052827825683899536	0.14472282160017522	0.022617796597640367	0.04888055858749333	1.6026649425464574	0.4609110984846472	0.44548209250931553	3.082304167291841	0.06977520822434675	0.07498074982110042	0.24508626362791505	0.05374128331408143	0.052446752082925874	0.14988272234697045	0.07530492958623013	60.48508761132499	0.5627738686097332	0.024410478096442364	1.6969635136507577	0.07166700455092587	3.7999846539890894	nan	
