EEZ100	    1.3450
EEZ108	   75.4767
EEZ109	    2.2550
EEZ110	    0.6443
EEZ119	    0.1386
EEZ123	    2.4472
EEZ185	    6.5259
EEZ187	    0.0610
EEZ188	    1.4286
EEZ189	   33.0512
EEZ190	   21.9808
EEZ191	   36.5651
EEZ209	   56.3253
EEZ212	   23.9304
EEZ213	  207.5063
EEZ215	   27.2956
EEZ216	  154.7470
EEZ224	   15.5148
EEZ273	   49.1928
EEZ48	   46.2397
EEZ65	   35.3769
EEZ71	   67.4198
EEZ91	   27.5098
EEZ99	    0.5930
HE1	    4.3848
HE2	   11.3366
HE3	    8.0390
HE4	    5.7062
HE5	   68.3689
HE6	    1.1947
HE7	   11.1852
HE8	    3.3302
HE9	    9.0015
OR1	  290.1690
OR2	  315.0704
OR3	   94.4005
OR4	   95.2863
OR5	  449.2873
