EEZ100	    0.3375
EEZ108	   25.2631
EEZ109	    0.9530
EEZ110	    0.4554
EEZ119	    0.0269
EEZ123	    0.7843
EEZ185	    3.9045
EEZ187	    0.0316
EEZ188	    0.9924
EEZ189	   15.2182
EEZ190	   12.7031
EEZ191	   18.0202
EEZ209	   28.0669
EEZ212	    8.1025
EEZ213	   70.0581
EEZ215	    8.4415
EEZ216	   44.1840
EEZ224	    4.7924
EEZ273	   20.1769
EEZ48	    9.9031
EEZ65	    7.7284
EEZ71	   15.8229
EEZ91	    6.2178
EEZ99	    0.2642
HE1	    2.3278
HE2	    5.1655
HE3	    4.1406
HE4	    3.3459
HE5	   39.9487
HE6	    0.8703
HE7	    7.3118
HE8	    1.8817
HE9	    7.2324
OR1	   79.6213
OR2	  123.7855
OR3	   42.6759
OR4	   38.1665
OR5	  123.8725
