            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ187      ;     0.002442;     0.000406;     0.014203;     0.000493;     0.001257;     0.000798;     0.006307;     0.071109;     0.028191;     0.000266;     0.004600;     0.000528;     0.026038;     0.043653;     0.000392;     0.000437;     0.003372;     0.002405;     0.000030;     0.001645;     0.000890;     0.000872;     0.000403;     0.000303;     0.027681;     0.006503;     0.024492;     0.000557;     0.003071;     0.002158;     0.004053;     0.017083;     0.000280;     0.002089;     0.000812;     0.003938;     0.005546;     0.032725;     0.000173;     0.001933;     0.000906;     0.077136;     0.002824
EEZ188      ;     0.012815;     0.000450;     0.282385;     0.002005;     0.003787;     0.014961;     0.006186;     0.704026;     0.056150;     0.000390;     0.187139;     0.004026;     1.509425;     2.412859;     0.001287;     0.000829;     0.001027;     0.160270;     0.002629;     0.043140;     0.003672;     0.021186;     0.001204;     0.000868;     0.504158;     0.063510;     0.024472;     0.027483;     0.004406;     0.000966;     0.009642;     0.027425;     0.000738;     0.000715;     0.002857;     0.010241;     0.384540;     0.042745;     0.001402;     0.037792;     0.022657;     2.493186;     0.247350
EEZ189      ;     0.402682;     0.012209;     6.608333;     0.021109;     0.135821;     0.291825;     0.597489;    13.898521;     1.790868;     0.016877;     3.269608;     0.087364;    20.028173;    53.132801;     0.019256;     0.036340;     0.080214;     3.183069;     0.059187;     0.512305;     0.097163;     0.297604;     0.033598;     0.008247;    10.652084;     1.126379;     1.253210;     0.447932;     0.054355;     0.027062;     0.360493;     0.610933;     0.046059;     0.065479;     0.050568;     0.302945;     6.137977;     1.508257;     0.017877;     0.585215;     0.337240;    42.128757;     3.657528
EEZ190      ;     0.601981;     0.046535;     5.819826;     0.019125;     0.080934;     0.315554;     0.872579;    18.621681;     1.522065;     0.016384;     1.834825;     0.089314;    11.345239;    29.633951;     0.016082;     0.091658;     0.189532;     1.819771;     0.043856;     0.538354;     0.084493;     0.387257;     0.037975;     0.005736;    12.273097;     0.856520;     1.481336;     0.233966;     0.058815;     0.100572;     0.272011;     0.509392;     0.066974;     0.101177;     0.027197;     0.174503;     3.424681;     1.778517;     0.008402;     0.474711;     0.206391;    28.654119;     1.908920
EEZ191      ;     1.328607;     0.179477;     7.525278;     0.141992;     0.350791;     0.479517;     2.348963;    35.163551;     7.154686;     0.051144;     2.415034;     0.150521;    14.989502;    43.920231;     0.093838;     0.234439;     0.884298;     2.712501;     0.049753;     0.977341;     0.279681;     0.580634;     0.146628;     0.065037;    15.030017;     2.008398;     6.393430;     0.315609;     0.615206;     0.731703;     0.894965;     2.107097;     0.156674;     0.493785;     0.165966;     0.821825;     4.746932;     7.344672;     0.038207;     0.832519;     0.340677;    40.800247;     2.639612
EEZ209      ;     0.290249;     0.061780;     4.267793;     0.081222;     0.027628;     0.359381;     0.452853;    11.157007;     0.686579;     0.018421;    40.968903;     0.140482;    31.252844;    32.397121;     0.080362;     0.071980;     0.133514;     6.791619;     0.082159;     1.375585;     0.018747;     0.331157;     0.011844;     0.018917;     5.743508;     0.567247;     0.979951;     7.954856;     0.161584;     0.178343;     0.379772;     0.492141;     0.052825;     0.069848;     0.093326;     0.265752;    57.392269;     0.855894;     0.017809;     5.064321;     3.948335;    33.681404;    20.298695
EEZ212      ;     0.087267;     0.015659;     1.095097;     0.025786;     0.355289;     0.054455;     0.199895;     3.408729;     0.867721;     0.139419;     0.321161;     1.131045;     2.445272;     8.416807;     0.013158;     0.019135;     0.069311;     0.935546;     2.569079;     0.165727;     0.178939;     0.071138;     0.121339;     0.025289;     1.450605;     4.566279;     0.728964;     0.069680;     0.122589;     0.062054;     6.959121;     1.421952;     0.015259;     0.045629;     0.071000;     0.645808;     5.730105;     1.525649;     0.012506;     0.089335;     0.022250;     6.425846;    69.369095
EEZ213      ;     1.755822;     0.120633;    16.305788;     0.094178;     0.635410;     1.143512;     2.888668;    56.624683;     7.809762;     0.099865;    17.195190;     0.643088;    55.726906;   244.165131;     0.074738;     0.236818;     0.669864;    40.481625;     1.683009;     3.243877;     0.391745;     1.246620;     0.193455;     0.061020;    26.759636;    15.815615;     8.709241;     3.244321;     0.420005;     0.341461;     1.573390;     3.376372;     0.250839;     0.431335;     0.139342;     1.331686;    62.632996;     8.242489;     0.063961;     3.257683;     2.258579;   128.667404;    61.134331
EEZ215      ;     0.153289;    -0.002002;     0.874257;     0.035036;     0.644646;     0.064135;     0.495775;     5.206933;     1.095165;     0.310514;     0.293415;     3.238099;     1.622958;     6.755052;     0.035953;     0.008556;     0.101237;     0.703364;     0.467881;     0.022382;     0.402164;     0.087380;     0.332132;     0.030248;     1.648640;     9.059792;     2.276564;     0.039244;     0.144961;     0.059304;    18.463652;     2.542273;     0.012337;     0.096401;     0.136020;     0.821490;    10.395221;     3.116133;     0.022029;     0.090011;    -0.037011;     6.422611;    71.768768
EEZ216      ;     2.203586;     0.295227;    15.500808;     0.489149;     2.200153;     0.890779;     4.767243;    71.438171;    18.022049;     0.615565;     5.770133;     6.175187;    33.866096;   165.064301;     0.425478;     0.332459;     1.733220;    13.224035;     2.145246;     2.043216;     1.368368;     1.083979;     0.857619;     0.206894;    30.122509;    79.319199;    16.043280;     0.893737;     1.539038;     1.367850;    19.676592;    14.382238;     0.234391;     1.031466;     1.423121;     4.688616;    50.706059;    21.592142;     0.226429;     2.068959;     0.656459;   136.976379;    64.187523
EEZ224      ;     0.093739;     0.001274;     1.717124;     0.007730;     0.147328;     0.090332;     0.162495;     4.486266;     0.822179;     0.075381;     0.491820;     0.794031;     3.461236;    11.953529;     0.002801;     0.008842;     0.063421;     1.114021;     1.407584;     0.103782;     0.091107;     0.130011;     0.065881;     0.011037;     2.471627;     5.044552;     0.841880;     0.103171;     0.063631;     0.040466;     1.956860;     1.095184;     0.009176;     0.060724;     0.010903;     0.241103;     5.537092;     1.348526;     0.004766;     0.101356;     0.003335;     8.855605;    26.903093
EEZ273      ;     0.300280;     0.045069;     2.616511;     0.045174;     0.030291;     0.317993;     0.476244;     8.889881;     0.381121;     0.012999;    44.419067;     0.092517;    16.400995;    10.285487;     0.057208;     0.057438;     0.121590;     2.686949;     0.068724;     1.170479;     0.026896;     0.278559;     0.013851;     0.014496;     4.002856;     0.430848;     1.084099;    12.485090;     0.117638;     0.121832;     0.356896;     0.309486;     0.042155;     0.094104;     0.080113;     0.241596;    64.514175;     0.611146;     0.013405;     6.774812;     5.598056;    11.238083;    23.458788
OR1         ;     2.149238;     0.200160;    15.844322;     0.602747;     7.661609;     1.098244;     5.403377;    77.941536;    17.442387;     3.098262;     5.875494;    28.132093;    33.065449;   174.584503;     0.486798;     0.286852;     1.643293;    18.057148;    21.480442;     1.942961;     4.167005;     1.265522;     3.139710;     0.394677;    30.284500;   116.359215;    24.275007;     1.269045;     2.156047;     1.188895;   153.270767;    27.705688;     0.254663;     1.210055;     2.227565;    11.230578;   108.408188;    36.722610;     0.366077;     2.064007;     0.536588;   143.554581;   401.398041
OR2         ;     5.598938;     0.595023;    44.584740;     0.554559;     1.904773;     2.645462;     9.874284;   165.248047;    32.124969;     0.291560;    24.024246;     1.247012;   122.699593;   419.166901;     0.435803;     0.842281;     3.218913;    32.236786;     1.150907;     5.995976;     1.356832;     3.002731;     0.686236;     0.249676;    81.633186;    36.009083;    27.636890;     3.765064;     2.184523;     2.269903;     5.463881;    11.594008;     0.654833;     1.891019;     0.935216;     4.565546;    59.936123;    31.885502;     0.230370;     5.711057;     2.860873;   312.106750;    41.427986
OR3         ;     0.399605;     0.056609;     6.395643;     0.025541;     0.068388;     0.480147;     0.805725;    19.201628;     1.290199;     0.030169;    14.660860;     0.183312;    25.911236;    82.461479;     0.017849;     0.094604;     0.145298;    34.272884;     0.488236;     1.883404;     0.057525;     0.486793;     0.033876;     0.009922;     9.558616;     2.011072;     1.681882;     3.093997;     0.100836;     0.118311;     0.392844;     0.634523;     0.087644;     0.076966;     0.023861;     0.153942;    52.204205;     1.504336;     0.008884;     2.532173;     1.858888;    39.558182;    41.415924
OR4         ;     0.463332;     0.096145;     4.729519;     0.114040;     0.046247;     0.485603;     0.693199;    14.603358;     0.720575;     0.024586;    81.417221;     0.172806;    31.144508;    24.819338;     0.130932;     0.111392;     0.220554;     6.483542;     0.113859;     2.189585;     0.033159;     0.426502;     0.019175;     0.028360;     6.768596;     0.662780;     1.577094;    25.776022;     0.234254;     0.271966;     0.600664;     0.596874;     0.077179;     0.133762;     0.152067;     0.427560;   127.520752;     1.101880;     0.027585;    14.561583;    11.384482;    23.594219;    38.802105
OR5         ;     1.160882;     0.149573;    13.790565;     0.106515;     0.339385;     1.348865;     2.182004;    44.282829;     2.545378;     0.058246;    52.729523;     0.319522;    63.436111;   106.356033;     0.095235;     0.202232;     0.430864;    30.647657;     6.283223;     4.410394;     0.150595;     1.395850;     0.105022;     0.060923;    21.163691;     6.330484;     5.469748;    22.203161;     0.450643;     0.407063;     2.225218;     1.574542;     0.174060;     0.395560;     0.303105;     1.336241;   219.548965;     3.400295;     0.048467;    10.962132;     7.735485;    72.242676;   900.351929
